ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap	MaxCastleVIPPlayerCount	CanJoinCastleVIPQueue	BanTradeItemMask	CanTradeMoney	BanEquipItemMask	CanExistItemMask	IsBattlefield	IsDungeonRoleProgressMap
1	稻香村	稻香村	100	1	2	0	0	3	100		1	120		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\稻香村\稻香村.jsonmap	20	30	0	375	1	0	0	0	0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0		0	0	1	1	1	0		0
2	万花	万花	100	1	2	0	1	0	1	0	1	1800	1024	10	0	0	0	10	1	0	0	0	0	0	0	data\source\maps\万花\万花.jsonmap	0	1024	0	378	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
3	测试1	测试1	100	2	4	0	0	0	1	0	1	1200		10	1	0	0		1	1	5	0	0	0	0	data\source\maps\测试\测试1.jsonmap	0	16	0		1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
5	少林	少林	100	1	2	0	1	0	1	0	1	1800	1024	10	0	0	0	7	1	0	0	0	0	0	0	data\source\maps\少林\少林.jsonmap	0	1024	0	376	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
6	扬州	扬州	100	1	2	0	1	0	1	0	1	2500	1800	10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\扬州\扬州.jsonmap	0	1024	0	384	1	0	0		0	1	0	1	0	0	1		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
7	纯阳	纯阳	100	1	2	0	1	0	1	0	1	1800	1024	10	0	0	0	5	1	0	0	0	0	0	0	data\source\maps\纯阳\纯阳.jsonmap	0	1024	0	377	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
8	洛阳	洛阳	100	1	2	0	1	0	1	0	1	2500	1800	10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\洛阳\洛阳.jsonmap	0	1024	0	786	1	0	0		0	1	0	1	0	0	1		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
9	洛道	洛道	100	1	2	1	1	0	1	0	1	1800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\洛道\洛道.jsonmap	0	1024	0	386	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
10	寇岛	寇岛	100	1	4	1	1	0	1	0	1	1800		10	0	0	0	12	1	0	0	0	0	0	0	data\source\maps\寇岛\寇岛.jsonmap	0	1024	0	387	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
11	天策	天策	100	1	2	0	1	0	1	0	1	1800	1024	10	0	0	0	9	1	0	0	0	0	0	0	data\source\maps\天策\天策.jsonmap	0	1024	0	380	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
12	枫华谷	枫华谷	100	1	2	1	1	0	1	0	1	1800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\枫华谷\枫华谷.jsonmap	0	1024	0	388	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
13	金水镇	金水镇	100	1	2	1	1	0	1	0	1	1800		10	0	0	0	1	1	0	0	0	0	0	0	data\source\maps\金水镇\金水镇.jsonmap	0	1024	0	389	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
14	灵霄峡	灵霄峡	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\灵霄峡\灵霄峡.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
15	长安	长安	100	1	2	0	1	0	1	0	1	2000	1400	10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\长安\长安.jsonmap	0	1024	0	383	1	0	0		0	1	0	1	0	0	1		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
16	七秀	七秀	100	1	2	0	1	0	1	0	1	1800	1024	10	0	0	0	6	1	0	0	0	0	0	0	data\source\maps\七秀\七秀.jsonmap	0	1024	0	379	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
17	天工坊	天工坊	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\天工坊\天工坊.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
18	无盐岛	无盐岛	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\无盐岛\无盐岛.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
19	空雾峰	空雾峰	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\空雾峰\空雾峰.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
20	天地三才阵	天地三才阵	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\天地三才阵\天地三才阵.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
