CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(108,1,59319,67887,1072384)	30	传送
/cmd PlayerData.GetClientPlayer().HideHat(not false)	10	关闭隐藏帽子
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	15	切换原本画质
/cmd SearchPanel.SetCustomOptions(""同屏NPC数"",0)	5	设置同屏npc为0
/gm player.SetPosition(61147,67074,1072384)	10	调整面向和视角
/gm player.AddBuff(player.dwID,player.nLevel,3994,1,3600)	5	加隐身
/cmd SetCameraStatus(500,0.47979998588562,4.8056597709656,-0.038397260010242)	10	调整视角
/cmd SetCameraStatus(500,0.47979998588562,4.8056597709656,-0.038397260010242)	10	调整视角
/cmd TurnTo(194)	20	调整朝向
/cmd EquipData.SwitchEquip(2)	10	切换装备
/cmd FrameMgr.SetFrameLimit(200)	10	设置200帧
/cmd CreateEmptyFile("perfeye_start")	60	采集数据
/cmd CreateEmptyFile("Test")	120	结束游戏
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
