[剧情部分]
x	y	z	stay	mapid	action
17429	34396	1048832	0	623	0
17598	34268	1048832	0	623	0
17774	34147	1048832	0	623	0
17950	34026	1048832	0	623	0
18126	33905	1048960	0	623	0
18302	33784	1048960	0	623	0
18478	33663	1048768	0	623	0
18632	33521	1048896	0	623	0
18765	33362	1049088	0	623	0
18897	33201	1049344	0	623	0
19029	33036	1049536	0	623	0
19160	32875	1050048	0	623	0
19288	32721	1050688	0	623	0
19413	32559	1051328	0	623	0
19530	32394	1051968	0	623	0
19646	32225	1052480	0	623	0
19760	32058	1052992	0	623	0
19880	31883	1053440	0	623	0
19995	31715	1054016	0	623	0
20117	31536	1054784	0	623	0
20240	31355	1055488	0	623	0
20349	31183	1056064	0	623	0
20459	31007	1056832	0	623	0
20566	30831	1057280	0	623	0
20675	30645	1057408	0	623	0
20785	30458	1057600	0	623	0
20947	30337	1057664	0	623	0
21145	30425	1057536	0	623	0
21163	30433	1057536	0	623	0
Sleep=15
[笑妆娘boss]
x	y	z	stay	mapid	action
21163	30433	1057536	0	623	0
21353	30535	1057664	0	623	0
21502	30380	1057536	0	623	0
21615	30198	1057536	0	623	0
21725	30022	1057536	0	623	0
21835	29846	1057536	0	623	0
21998	29726	1057664	0	623	0
22207	29671	1057600	0	623	0
22416	29616	1057600	0	623	0
22615	29546	1057664	0	623	0
22813	29458	1057664	0	623	0
23011	29370	1057664	0	623	0
23209	29282	1057600	0	623	0
23410	29221	1057536	0	623	0
23591	29345	1057600	0	623	0
23762	29475	1057600	0	623	0
23938	29596	1057600	0	623	0
24114	29717	1057472	0	623	0
24290	29838	1057472	0	623	0
24466	29957	1057408	0	623	0
24646	30064	1057280	0	623	0
24833	30163	1057344	0	623	0
25020	30262	1057280	0	623	0
25207	30361	1057280	0	623	0
25394	30460	1057280	0	623	0
25581	30559	1057280	0	623	0
25768	30653	1057280	0	623	0
25955	30741	1057280	0	623	0
26142	30829	1057280	0	623	0
26333	30913	1057280	0	623	0
26531	30979	1057280	0	623	0
26740	30997	1057280	0	623	0
26949	30983	1057280	0	623	0
27150	30913	1057280	0	623	0
27327	30795	1057280	0	623	0
27462	30632	1057280	0	623	0
27583	30456	1057280	0	623	0
27704	30280	1057280	0	623	0
27814	30104	1057280	0	623	0
27915	29918	1057280	0	623	0
28022	29738	1057280	0	623	0
28132	29562	1057344	0	623	0
28242	29386	1057280	0	623	0
28352	29202	1057280	0	623	0
28462	29015	1057280	0	623	0
28572	28828	1057344	0	623	0
28682	28641	1057344	0	623	0
28702	28607	1057344	0	623	0
Sleep=15
Fight=1
[白兆霆boss剧情]
x	y	z	stay	mapid	action
28702	28607	1057344	0	623	0
28515	28497	1057344	0	623	0
28328	28396	1057280	0	623	0
28139	28304	1057280	0	623	0
27941	28216	1057280	0	623	0
27743	28128	1057344	0	623	0
27553	28040	1057344	0	623	0
27366	27952	1057344	0	623	0
27179	27864	1057344	0	623	0
26998	27768	1057472	0	623	0
26827	27659	1057600	0	623	0
26640	27571	1057664	0	623	0
26455	27483	1057856	0	623	0
26270	27395	1058112	0	623	0
26083	27303	1058304	0	623	0
25896	27201	1058368	0	623	0
25709	27091	1058304	0	623	0
25522	26981	1058048	0	623	0
25346	26882	1057728	0	623	0
25160	26773	1057600	0	623	0
24973	26663	1057600	0	623	0
24786	26553	1057600	0	623	0
24599	26443	1057600	0	623	0
24412	26333	1057600	0	623	0
24225	26223	1057600	0	623	0
24038	26113	1057536	0	623	0
23870	25985	1057536	0	623	0
23824	25784	1057536	0	623	0
23824	25565	1057664	0	623	0
23842	25364	1058304	0	623	0
23865	25150	1058880	0	623	0
23876	24941	1059200	0	623	0
23883	24732	1059200	0	623	0
23883	24514	1059136	0	623	0
23900	24304	1059200	0	623	0
23962	24102	1059200	0	623	0
24049	23904	1059200	0	623	0
24137	23706	1059200	0	623	0
24177	23501	1059136	0	623	0
24066	23326	1059200	0	623	0
23868	23243	1059200	0	623	0
23680	23142	1059200	0	623	0
23493	23032	1059200	0	623	0
23306	22922	1059264	0	623	0
23119	22812	1059328	0	623	0
22932	22702	1059328	0	623	0
22745	22592	1059328	0	623	0
22558	22482	1059328	0	623	0
22371	22372	1059328	0	623	0
22184	22262	1059328	0	623	0
21997	22152	1059328	0	623	0
21810	22042	1059328	0	623	0
21725	21992	1059328	0	623	0
Sleep=10
[白兆霆boss]
x	y	z	stay	mapid	action
21725	21992	1059328	0	623	0
21901	22113	1059328	0	623	0
22081	22226	1059328	0	623	0
22166	22271	1059328	0	623	0
Sleep=5
Fight=1
Sleep=5
[赫达剧情]
x	y	z	stay	mapid	action
22166	22271	1059328	0	623	0
22353	22370	1059328	0	623	0
22540	22469	1059328	0	623	0
22727	22568	1059328	0	623	0
22914	22667	1059328	0	623	0
23101	22766	1059328	0	623	0
23288	22865	1059264	0	623	0
23475	22964	1059200	0	623	0
23662	23063	1059200	0	623	0
23849	23162	1059200	0	623	0
24036	23261	1059200	0	623	0
24223	23360	1059200	0	623	0
24409	23458	1059136	0	623	0
24596	23557	1059200	0	623	0
24730	23405	1059200	0	623	0
24840	23227	1059200	0	623	0
24950	23051	1059200	0	623	0
25060	22875	1059200	0	623	0
25170	22699	1059200	0	623	0
25280	22523	1059648	0	623	0
25386	22351	1060288	0	623	0
25492	22179	1060928	0	623	0
25600	22005	1061440	0	623	0
25710	21829	1061568	0	623	0
25820	21653	1061568	0	623	0
25930	21477	1061440	0	623	0
26039	21302	1062144	0	623	0
26146	21129	1062784	0	623	0
26260	20943	1063488	0	623	0
26370	20767	1063680	0	623	0
26480	20591	1063616	0	623	0
26590	20415	1063616	0	623	0
26700	20239	1063680	0	623	0
26810	20063	1063616	0	623	0
26920	19887	1063616	0	623	0
27030	19711	1063616	0	623	0
27245	19727	1063616	0	623	0
27432	19826	1063616	0	623	0
27619	19925	1063616	0	623	0
27806	20024	1063616	0	623	0
27993	20123	1063616	0	623	0
28180	20222	1063616	0	623	0
28372	20145	1063616	0	623	0
28489	19966	1063616	0	623	0
28599	19779	1063616	0	623	0
28709	19592	1063616	0	623	0
28819	19405	1063616	0	623	0
28929	19218	1063616	0	623	0
29039	19031	1063616	0	623	0
29149	18844	1063616	0	623	0
29259	18657	1063616	0	623	0
29369	18470	1063616	0	623	0
29467	18280	1063616	0	623	0
29355	18113	1063616	0	623	0
29153	18049	1063616	0	623	0
28964	17954	1063616	0	623	0
28777	17855	1063616	0	623	0
28590	17756	1063616	0	623	0
28403	17657	1063616	0	623	0
28301	17484	1063616	0	623	0
28329	17275	1063616	0	623	0
28443	17098	1063616	0	623	0
28549	16918	1063616	0	623	0
28648	16731	1063616	0	623	0
28751	16548	1063616	0	623	0
28854	16365	1063616	0	623	0
28953	16178	1063616	0	623	0
29063	15994	1063616	0	623	0
29173	15818	1063680	0	623	0
29274	15632	1063680	0	623	0
29378	15446	1063616	0	623	0
29488	15259	1063616	0	623	0
29598	15072	1063616	0	623	0
29708	14885	1063616	0	623	0
29818	14698	1063616	0	623	0
29928	14511	1063616	0	623	0
30038	14324	1063616	0	623	0
30148	14137	1063616	0	623	0
30258	13950	1063616	0	623	0
30368	13763	1063616	0	623	0
30478	13576	1063616	0	623	0
30588	13389	1063616	0	623	0
30698	13202	1063872	0	623	0
30808	13015	1063808	0	623	0
30913	12835	1064640	0	623	0
31018	12658	1065216	0	623	0
31128	12471	1065152	0	623	0
31238	12284	1065216	0	623	0
31348	12097	1065216	0	623	0
31458	11910	1065216	0	623	0
31568	11723	1065216	0	623	0
Sleep=30
[赫达boss]
x	y	z	stay	mapid	action
31578	11706	1065216	0	623	0
31468	11882	1065216	0	623	0
31358	12063	1065216	0	623	0
31248	12250	1065216	0	623	0
31138	12437	1065280	0	623	0
31028	12624	1065216	0	623	0
30921	12805	1064768	0	623	0
30819	12978	1064000	0	623	0
30709	13165	1063808	0	623	0
30599	13352	1063680	0	623	0
30489	13539	1063616	0	623	0
30379	13726	1063616	0	623	0
30269	13913	1063616	0	623	0
30159	14100	1063616	0	623	0
30049	14287	1063616	0	623	0
29939	14474	1063616	0	623	0
29829	14661	1063616	0	623	0
29719	14848	1063616	0	623	0
29829	14661	1063616	0	623	0
29839	14644	1063616	0	623	0
Sleep=10
Fight=1
[结束]
