CommandName	WaitTime	Description
/cmd UINodeControl.BtnTriggerByLable("BtnCharacter","角色")	8	打开主界面角色栏
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面角色栏
/cmd UINodeControl.BtnTriggerByLable("BtnActivity","花萼楼")	8	打开主界面花萼楼按钮
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面花萼楼按钮
/cmd UINodeControl.BtnTrigger("BtnMap","WidgetMainCityRightTop")	8	打开主界面地图 
/cmd UINodeControl.BtnTrigger("BtnWorldMap","WidgetAniBottomBtn")	8	打开主界面地图点击世界地图
/cmd UINodeControl.BtnTrigger("BtnClose01","WidgetAnchorRightTop")	8	关闭主界面地图点击世界地图
/cmd UINodeControl.BtnTrigger("BtnMenu","WidgetMainCityRightTop")	8	打开主界面菜单
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","角色")	8	打开主界面菜单-角色
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-角色
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","武学")	8	打开主界面菜单-武学
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-武学
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","宠物")	8	打开主界面菜单-宠物
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-宠物
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","称号")	8	打开主界面菜单-称号
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-称号
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","外观")	8	打开主界面菜单-外观
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-外观
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","商店")	8	打开主界面菜单-商店
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-商店
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","武学")	8	打开主界面菜单-武学
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-武学
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","坐骑")	8	打开主界面菜单-坐骑
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-坐骑
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","侠影")	8	打开主界面菜单-侠影
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-侠影
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","家园")	8	打开主界面菜单-家园
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetContentRightTop")	8	关闭主界面菜单-家园
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","竞技")	8	打开主界面菜单-竞技
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-竞技
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","阵营")	8	打开主界面菜单-阵营
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-阵营
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","秘境")	8	打开主界面菜单-秘境
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-秘境
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","师徒")	8	打开主界面菜单-师徒
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-师徒
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","帮会")	8	打开主界面菜单-帮会
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetAnchorRightTop")	8	关闭主界面菜单-帮会
/cmd UINodeControl.BtnTriggerByLable("BtnSystem","奇遇")	8	打开主界面菜单-奇遇
/cmd UINodeControl.BtnTrigger("BtnClose","WidgetContentAnchor")	8	关闭主界面菜单-奇遇
