CommandName	WaitTime	Description
/cmd CreateEmptyFile("ArenaPvP")	2	ø™∆Ù≈‹Õº
x	y	z	stay	mapid	action
4841	11225	1057344	0	362	0
4841	11434	1057344	0	362	0
4841	11643	1057088	0	362	0
4841	11852	1057088	0	362	0
4841	12061	1057088	0	362	0
4841	12270	1057152	0	362	0
4841	12479	1057152	0	362	0
4841	12688	1057152	0	362	0
4841	12897	1057152	0	362	0
4841	13106	1057152	0	362	0
4841	13315	1057152	0	362	0
4841	13524	1057152	0	362	0
4841	13733	1057152	0	362	0
4841	13942	1057152	0	362	0
4841	14151	1057152	0	362	0
4841	14360	1057152	0	362	0
4841	14574	1057728	0	362	0
4841	14793	1058304	0	362	0
4841	15002	1058304	0	362	0
4841	15211	1058304	0	362	0
4841	15420	1058368	0	362	0
4841	15629	1058240	0	362	0
4841	15838	1058240	0	362	0
4841	16047	1058368	0	362	0
4841	16256	1058368	0	362	0
4841	16465	1058560	0	362	0
4841	16674	1058560	0	362	0
4841	16883	1058560	0	362	0
/cmd CreateEmptyFile("ExitGame")	2	Ω· ¯”Œœ∑
