CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(_mapid_,_mapIndex_,71935,73687,1055936)	30	切换地图
/gm player.SetPosition(71935,73687,1055936)	20	设置坐标
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd CreateEmptyFile("perfeye_start")	20	采集数据
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
71935	73687	1055936	15	6	1
72053	73855	1055936	0	6	0
72100	74061	1055936	0	6	0
72102	74270	1055936	0	6	0
72113	74479	1055936	0	6	0
72114	74688	1055936	0	6	0
72094	74898	1055936	0	6	0
72162	75098	1055936	0	6	0
72182	75308	1055936	0	6	0
72177	75520	1055936	0	6	0
72177	75735	1055936	0	6	0
72177	75948	1056256	15	6	1
72177	76165	1056704	0	6	0
72177	76367	1057088	0	6	0
72171	76567	1057408	0	6	0
72150	76768	1057728	0	6	0
72147	76973	1057984	0	6	0
72165	77183	1058176	0	6	0
72156	77392	1058368	0	6	0
72138	77601	1058432	0	6	0
72094	77807	1058368	0	6	0
72006	78002	1058368	15	6	1
71924	78193	1058368	0	6	0
71867	78400	1058368	0	6	0
72062	78472	1058432	0	6	0
72149	78655	1058240	0	6	0
72148	78864	1058240	0	6	0
72114	79072	1058240	0	6	0
72037	79270	1058240	0	6	0
71972	79471	1058240	0	6	0
71945	79680	1058240	0	6	0
71926	79889	1058176	0	6	0
71926	80099	1058176	15	6	1
71927	80308	1058176	0	6	0
71938	80517	1058240	0	6	0
71987	80726	1058240	0	6	0
71999	80937	1058240	0	6	0
71995	81150	1058240	0	6	0
71984	81359	1058240	0	6	0
71965	81568	1058240	0	6	0
72068	81759	1058240	0	6	0
72043	81966	1058240	0	6	0
71846	82047	1058240	0	6	0
71643	82100	1058240	15	6	1
71431	82098	1058240	0	6	0
71222	82075	1058240	0	6	0
71013	82042	1058240	0	6	0
70804	82017	1058240	0	6	0
70586	82017	1058240	0	6	0
70377	82051	1058176	0	6	0
70210	82181	1058240	0	6	0
70045	82319	1058176	0	6	0
69878	82450	1058240	0	6	0
69686	82534	1058304	0	6	0
69477	82568	1058304	15	6	1
69268	82579	1058240	0	6	0
69059	82590	1058240	0	6	0
68850	82601	1058240	0	6	0
68641	82607	1058240	0	6	0
68432	82607	1058240	0	6	0
68223	82607	1058240	0	6	0
68049	82720	1058304	0	6	0
67847	82776	1058304	0	6	0
67638	82792	1058176	0	6	0
67436	82736	1058304	0	6	0
67245	82651	1058240	0	6	0
67036	82596	1058240	0	6	0
66827	82541	1058240	0	6	0
66617	82511	1058304	15	6	1
66408	82529	1058304	0	6	0
66199	82582	1058432	0	6	0
66001	82648	1058240	0	6	0
65807	82715	1057856	0	6	0
65615	82788	1057408	0	6	0
65414	82847	1057024	0	6	0
65215	82823	1056512	0	6	0
65007	82790	1056192	0	6	0
64798	82775	1056256	0	6	0
64591	82797	1056192	0	6	0
64382	82824	1056192	0	6	0
64173	82842	1056256	0	6	0
63964	82851	1056192	0	6	0
63755	82862	1056256	15	6	1
63548	82873	1056320	0	6	0
63339	82884	1056256	0	6	0
63130	82895	1056256	0	6	0
62921	82906	1056256	0	6	0
62711	82915	1056256	0	6	0
62502	82948	1056256	0	6	0
62293	82992	1056192	0	6	0
62084	83036	1056064	0	6	0
61951	83198	1056064	0	6	0
61953	83406	1055680	0	6	0
61967	83608	1055040	0	6	0
61968	83811	1054272	0	6	0
61947	84011	1053696	0	6	0
61800	84153	1053312	15	6	1
61609	84250	1053312	0	6	0
61407	84310	1053312	0	6	0
61198	84324	1053312	0	6	0
60987	84328	1053312	0	6	0
60787	84292	1053312	0	6	0
60698	84103	1053312	0	6	0
60677	83894	1053312	0	6	0
60687	83685	1053312	0	6	0
60725	83476	1053312	0	6	0
60791	83275	1053312	0	6	0
60755	83075	1053312	0	6	0
60551	83036	1053312	0	6	0
60342	83055	1053312	0	6	0
60133	83107	1053376	0	6	0
59924	83148	1053440	15	6	1
59720	83160	1053440	0	6	0
59511	83160	1053440	0	6	0
59304	83141	1053440	0	6	0
59095	83107	1053440	0	6	0
58893	83153	1053440	0	6	0
58694	83228	1053376	0	6	0
58487	83194	1053440	0	6	0
58310	83081	1053376	0	6	0
58168	82920	1053376	0	6	0
58032	82756	1053440	0	6	0
58232	82830	1053376	0	6	0
58435	82890	1053440	15	6	1
58425	82677	1053376	0	6	0
58550	82505	1053376	0	6	0
58740	82438	1053376	0	6	0
58928	82347	1053376	0	6	0
59102	82244	1053120	0	6	0
59171	82049	1052191	0	6	0
59183	81834	1051328	0	6	0
59137	81625	1051456	0	6	0
59082	81416	1051520	0	6	0
59103	81211	1051456	0	6	0
59168	81012	1051520	0	6	0
59250	80814	1051392	0	6	0
59316	80612	1051328	15	6	1
59437	80451	1051328	0	6	0
59227	80450	1051328	0	6	0
59018	80469	1051392	0	6	0
58875	80321	1051328	0	6	0
58993	80149	1051328	0	6	0
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/gm player.Die()	2	死亡
/gm player.Revive()	2	复活
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
