CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/cmd UIMgr.Close(VIEW_ID.PanelHotSpotBanner)	5	首次下载游戏会出现这个弹窗
/cmd UIMgr.Close(VIEW_ID.PanelHintSelectMode)	2	操作模式
/cmd PlayerLevelUpToNew(120)	40	升级
/cmd UIMgr.Close(1705)	2	关闭升级弹窗
/cmd UIMgr.Close(1701)	2	关闭升级弹窗
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.AddBuff(player.dwID,player.nLevel,3994,1,3600)	2	加隐身
/gm player.SwitchMap(652,1,4491, 27092, 1056384)	30	切换地图
/cmd CustomRunMapByData.SetCamera(1)	2	开启摄像机转动
/cmd CreateEmptyFile("perfeye_start")	10	开始采集
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
4710	26791	1056384	0	652	0
4705	26579	1056384	0	652	0
4706	26367	1056384	0	652	0
4717	26158	1056384	0	652	0
4738	25949	1056384	0	652	0
4745	25740	1056320	0	652	0
4748	25531	1056320	0	652	0
4759	25322	1056320	0	652	0
4770	25113	1056320	0	652	0
4781	24904	1056320	0	652	0
4792	24695	1056320	0	652	0
4805	24486	1056320	0	652	0
4827	24277	1056320	0	652	0
4842	24068	1056320	0	652	0
4853	23859	1056320	0	652	0
4864	23650	1056320	0	652	0
4875	23441	1056320	0	652	0
4888	23232	1056320	0	652	0
4899	23023	1056320	0	652	0
4910	22814	1056320	0	652	0
4916	22605	1056320	0	652	0
4938	22396	1056320	0	652	0
4968	22187	1056320	0	652	0
4987	21978	1056320	0	652	0
5088	21794	1056256	0	652	0
5165	21596	1056256	0	652	0
5222	21389	1056256	0	652	0
5271	21180	1056256	0	652	0
5329	20974	1056256	0	652	0
5362	20765	1056256	0	652	0
5395	20556	1056256	0	652	0
5417	20347	1056256	0	652	0
5439	20138	1056256	0	652	0
5461	19929	1056320	0	652	0
5484	19720	1056256	0	652	0
5497	19511	1056256	0	652	0
5497	19302	1056320	0	652	0
5497	19085	1056320	0	652	0
5497	18876	1056448	0	652	0
5504	18667	1056576	0	652	0
5515	18458	1056704	0	652	0
5526	18249	1056704	0	652	0
5537	18042	1056576	0	652	0
5549	17835	1056448	0	652	0
5560	17626	1056384	0	652	0
5571	17420	1056320	0	652	0
5576	17211	1056320	0	652	0
5570	17000	1056320	0	652	0
5558	16791	1056320	0	652	0
5563	16581	1056320	0	652	0
5559	16371	1056320	0	652	0
5545	16162	1056320	0	652	0
5522	15953	1056320	0	652	0
5500	15744	1056384	0	652	0
5470	15535	1056384	0	652	0
5434	15326	1056384	0	652	0
5386	15117	1056448	0	652	0
5331	14908	1056512	0	652	0
5276	14699	1056640	0	652	0
5233	14490	1056768	0	652	0
