CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(108,59319,67887,1072384)	30	传送
/cmd SearchExterior.InitTools()	10	初始化外装
/cmd SearchHair.InitTools()	10	初始化发型
/cmd PlayerData.GetClientPlayer().HideHat(not false)	10	关闭隐藏帽子
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	15	切换原本画质
/cmd SearchPanel.SetCustomOptions("同屏NPC数",0)	5	设置同屏npc为0
/gm player.AddBuff(player.dwID,player.nLevel,3994,1,3600)	5	加隐身
/gm player.SetPosition(61564,65610,1072384)	10	调整面向和视角
/cmd SearchExterior.Apply("3904",false)	10	穿上外装
/cmd SearchHair.Apply_Head("1561")	10	发型
/cmd SetCameraStatus(500,0.689,3.174,-0.131);	10	视角
/cmd SetCameraStatus(500,0.689,3.174,-0.131);	10	视角
/cmd TurnTo(65)	20	调整面向
/cmd App_SetFrameLimitCount(200)	5	解除帧数限制
/gm player.AddEmotionAction(399)	10	加入特效
/gm player.DoEmotionAction(399)	10	进入特效
/cmd CreateEmptyFile("perfeye_start")	5	采集数据
/gm player.CastSkill(41589,1)	35	释放特效
/gm player.CastSkill(41589,1)	35	释放特效
/gm player.CastSkill(41589,1)	35	释放特效
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
