CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(_mapid_,_mapIndex_, _X_, _Y_, _Z_)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.AddBuff(player.dwID,player.nLevel,3994,1,3600)	5	加隐身
/gm player.SetPosition(42246,101959,1131328)	15	触发地图光亮
/gm player.SetPosition(73899, 29723, 1103296)	30	传送
/cmd TurnTo(210)	2	转动视角
/cmd TurnToFaceDirection()	2	调整摄像机角度正对人物
/cmd SetCameraStatus(1083,1,3,-0.5)	5	初始化视角
/cmd CreateEmptyFile("perfeye_start")	2	采集数据
/cmd CreateEmptyFile("Test")	120	开始
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
