CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(713,74157,169705,1623040)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd CreateEmptyFile("perfeye_start")	20	开始采集
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
236394	229229	1848768	0	713	0
236298	229013	1848832	0	713	0
236206	228807	1849280	0	713	0
236097	228626	1849472	0	713	0
236020	228428	1849600	0	713	0
235997	228314	1849728	0	713	0
235997	228314	1849728	0	713	0
236095	228128	1849920	0	713	0
236174	227944	1850560	0	713	0
236212	227731	1851136	0	713	0
236183	227601	1851136	0	713	0
236183	227601	1851136	0	713	0
236126	227808	1851200	0	713	0
236078	228012	1850240	0	713	0
236025	228212	1849792	0	713	0
235975	228402	1849600	0	713	0
235975	228402	1849600	0	713	0
236052	228204	1849792	0	713	0
236131	228019	1850304	0	713	0
236227	227827	1850944	0	713	0
236315	227646	1851136	0	713	0
236431	227471	1851392	0	713	0
236561	227300	1851264	0	713	0
236761	227232	1851264	0	713	0
236962	227167	1851200	0	713	0
237158	227088	1851200	0	713	0
237322	226957	1851392	0	713	0
237459	226792	1851456	0	713	0
237598	226630	1851840	0	713	0
237764	226512	1852224	0	713	0
237954	226424	1852288	0	713	0
238130	226318	1852480	0	713	0
238288	226179	1853056	0	713	0
238433	226026	1853248	0	713	0
238550	225852	1853376	0	713	0
238659	225666	1853376	0	713	0
238761	225479	1853312	0	713	0
238797	225433	1853312	0	713	0
238797	225433	1853312	0	713	0
238929	225268	1853312	0	713	0
239061	225103	1853248	0	713	0
239227	224986	1853312	0	713	0
239400	224868	1852736	0	713	0
239576	224747	1852672	0	713	0
239746	224626	1852416	0	713	0
239911	224492	1852160	0	713	0
240058	224350	1851712	0	713	0
240178	224180	1851520	0	713	0
240266	223997	1850688	0	713	0
240315	223788	1850368	0	713	0
240343	223579	1849920	0	713	0
240354	223372	1849472	0	713	0
240372	223166	1849024	0	713	0
240455	222972	1848832	0	713	0
240573	222798	1848704	0	713	0
240658	222608	1848576	0	713	0
240718	222413	1848192	0	713	0
240744	222204	1848000	0	713	0
240765	221997	1847744	0	713	0
240802	221786	1847168	0	713	0
240837	221588	1846720	0	713	0
240870	221381	1846400	0	713	0
240903	221175	1846080	0	713	0
240930	220969	1845824	0	713	0
240952	220763	1845568	0	713	0
240981	220556	1845312	0	713	0
241025	220347	1845248	0	713	0
241083	220144	1845056	0	713	0
241158	219946	1844928	0	713	0
241234	219749	1844672	0	713	0
241302	219541	1844224	0	713	0
241360	219343	1843840	0	713	0
241415	219145	1843392	0	713	0
241430	218945	1843072	0	713	0
241430	218725	1842624	0	713	0
241430	218505	1842496	0	713	0
241430	218289	1842496	0	713	0
241430	218080	1842496	0	713	0
241430	217871	1842496	0	713	0
