CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.SwitchMap(697,19020,16377,1232000)	30	传送
/gm player.AddBuff(0,99,377,1,7200)	2	开启无敌
/gm player.SetPosition(19020,16377,1232000)	20	设置坐标
/cmd SearchPanel.SetCustomOptions("同屏特效数",100)	5	设置其他玩家特效数
/cmd SearchPanel.SetCustomOptions("其他玩家特效数",30)	5	设置其他玩家特效数
/gm player.SetCamp(1)	3	加入阵营(1浩气2恶人)
/cmd TurnTo(240);	10	调整面向
/cmd TurnToFaceDirection();	5	调整面向
/cmd AutoBattle.Start()	5	开启武学助手
/cmd CreateEmptyFile("perfeye_start")	10	采集数据
/cmd CreateEmptyFile("Test")	600	采集数据
/cmd CreateEmptyFile("perfeye_stop")	10	结束采集
/cmd CreateEmptyFile("ExitGame")	2	关闭游戏
