[接取门派任务]
x	y	z	stay	mapid	action
15587	75353	1128896	0	666	0
15499	75155	1128832	0	666	0
15411	74958	1129024	0	666	0
15306	74852	1128960	0	666	0
Dialogue=1
[护养鲜花]
x	y	z	stay	mapid	action
15306	74852	1128960	0	666	0
15368	75054	1128960	0	666	0
15445	75252	1128832	0	666	0
15522	75450	1128896	0	666	0
15599	75648	1128128	0	666	0
15676	75846	1128128	0	666	0
15759	76044	1128128	0	666	0
15855	76231	1128128	0	666	0
15952	76412	1128128	0	666	0
16051	76598	1127936	0	666	0
15921	76756	1127872	0	666	0
15780	76914	1127744	0	666	0
15724	77122	1127552	0	666	0
15679	77329	1127424	0	666	0
15635	77538	1127296	0	666	0
15571	77740	1127296	0	666	0
15497	77938	1127232	0	666	0
15479	77992	1127232	0	666	0
Dialogue=1
Sleep=10
Dialogue=1
Sleep=10
Dialogue=1
Sleep=10
Dialogue=1
Sleep=10
[与元五对话]
x	y	z	stay	mapid	action
15479	77992	1127232	0	666	0
15689	78000	1127040	0	666	0
15898	78033	1126848	0	666	0
15710	78130	1126912	0	666	0
15558	78154	1127040	0	666	0
Dialogue=1
[接近峰箱]
x	y	z	stay	mapid	action
15558	78154	1127040	0	666	0
15723	78286	1126784	0	666	0
15888	78418	1126528	0	666	0
16051	78550	1126208	0	666	0
15855	78503	1126400	0	666	0
15668	78404	1126720	0	666	0
15651	78395	1126720	0	666	0
Sleep=6
Btn=player.ForceFinishQuest(27132)
[与元五对话]
x	y	z	stay	mapid	action
15672	78466	1126656	0	666	0
15815	78311	1126656	0	666	0
15686	78150	1126912	0	666	0
15518	78132	1127104	0	666	0
Dialogue=1
[不速之客]
x	y	z	stay	mapid	action
15518	78132	1127104	0	666	0
15600	78333	1126848	0	666	0
15729	78490	1126592	0	666	0
15859	78647	1126272	0	666	0
15987	78802	1126080	0	666	0
16119	78962	1126208	0	666	0
16205	79146	1126016	0	666	0
16176	79351	1125824	0	666	0
16147	79556	1125184	0	666	0
15971	79679	1124864	0	666	0
15813	79803	1124928	0	666	0
15664	79952	1124992	0	666	0
15517	80099	1124992	0	666	0
