[一号boss:吴添明]
x	y	z	stay	mapid	action
1189	1000	1049152	0	607	0
1258	1198	1049152	0	607	0
1335	1391	1049472	0	607	0
1412	1587	1049728	0	607	0
1489	1785	1049792	0	607	0
1568	1983	1049792	0	607	0
1655	2180	1049728	0	607	0
1759	2364	1049664	0	607	0
1869	2540	1049536	0	607	0
1979	2716	1049472	0	607	0
2097	2890	1049472	0	607	0
2236	3050	1049408	0	607	0
2379	3204	1049408	0	607	0
2543	3339	1049472	0	607	0
2719	3460	1049408	0	607	0
2895	3581	1049344	0	607	0
3065	3708	1049344	0	607	0
3230	3840	1049344	0	607	0
3394	3972	1049280	0	607	0
3559	4104	1049280	0	607	0
3703	4258	1049280	0	607	0
3811	4441	1049280	0	607	0
3899	4639	1049280	0	607	0
3974	4840	1049280	0	607	0
4018	5049	1049280	0	607	0
4059	5258	1049280	0	607	0
4092	5467	1049280	0	607	0
4125	5676	1049280	0	607	0
4158	5885	1049280	0	607	0
4191	6094	1049280	0	607	0
4224	6303	1049280	0	607	0
4257	6512	1049280	0	607	0
4292	6721	1049280	0	607	0
4347	6925	1049280	0	607	0
4413	7123	1049280	0	607	0
4479	7321	1049280	0	607	0
4547	7519	1049472	0	607	0
4633	7712	1049792	0	607	0
4734	7891	1050176	0	607	0
4902	8073	1050496	0	607	0
5041	8232	1050560	0	607	0
5170	8394	1050624	0	607	0
5302	8559	1050624	0	607	0
5434	8724	1050688	0	607	0
5559	8896	1050688	0	607	0
5680	9072	1050688	0	607	0
5801	9248	1050752	0	607	0
5922	9424	1050944	0	607	0
6043	9600	1051200	0	607	0
6164	9775	1051328	0	607	0
6285	9951	1051456	0	607	0
6406	10127	1051520	0	607	0
6527	10303	1051520	0	607	0
6648	10479	1051520	0	607	0
6769	10655	1051520	0	607	0
6901	10820	1051520	0	607	0
7033	10985	1051520	0	607	0
7165	11150	1051520	0	607	0
7297	11315	1051520	0	607	0
7429	11480	1051520	0	607	0
7561	11645	1051520	0	607	0
7691	11812	1051520	0	607	0
7480	11762	1051520	0	607	0
7282	11684	1051520	0	607	0
7089	11596	1051520	0	607	0
6905	11495	1051520	0	607	0
Sleep=10
Fight=1
[二号boss:攻击阵眼]
x	y	z	stay	mapid	action
6889	11484	1051520	0	607	0
7017	11651	1051520	0	607	0
7178	11787	1051520	0	607	0
7343	11919	1051520	0	607	0
7508	12051	1051520	0	607	0
7673	12183	1051520	0	607	0
7838	12315	1051584	0	607	0
8001	12445	1051904	0	607	0
8165	12576	1052352	0	607	0
8326	12704	1052544	0	607	0
8488	12838	1052672	0	607	0
8646	12981	1052736	0	607	0
8800	13124	1052736	0	607	0
8954	13267	1052736	0	607	0
9108	13410	1052736	0	607	0
9262	13553	1052736	0	607	0
9416	13697	1052736	0	607	0
9568	13849	1052800	0	607	0
9713	14006	1053184	0	607	0
9851	14166	1053632	0	607	0
9993	14330	1054208	0	607	0
10134	14493	1054784	0	607	0
10284	14638	1055424	0	607	0
10440	14773	1056128	0	607	0
10610	14896	1056960	0	607	0
10786	15017	1056960	0	607	0
10962	15138	1056960	0	607	0
11138	15259	1056960	0	607	0
11314	15380	1056960	0	607	0
11490	15501	1056960	0	607	0
11662	15626	1057088	0	607	0
11820	15768	1056896	0	607	0
11972	15919	1056896	0	607	0
12115	16073	1056896	0	607	0
12255	16238	1056896	0	607	0
12387	16403	1056896	0	607	0
12508	16579	1056896	0	607	0
12629	16755	1056896	0	607	0
12742	16939	1056896	0	607	0
12847	17126	1056896	0	607	0
12936	17313	1056896	0	607	0
13024	17502	1056896	0	607	0
13111	17700	1056896	0	607	0
13188	17898	1056896	0	607	0
13264	18096	1056960	0	607	0
13327	18297	1057216	0	607	0
13382	18506	1057536	0	607	0
13431	18715	1057664	0	607	0
13470	18924	1057664	0	607	0
13492	19133	1057472	0	607	0
13514	19342	1057216	0	607	0
13536	19551	1057344	0	607	0
13558	19758	1057792	0	607	0
13580	19965	1058240	0	607	0
13602	20170	1058624	0	607	0
13624	20379	1058688	0	607	0
13592	20582	1058560	0	607	0
13519	20776	1058560	0	607	0
13437	20967	1058496	0	607	0
13316	21143	1058496	0	607	0
13213	21323	1058432	0	607	0
13148	21528	1058432	0	607	0
13098	21734	1058560	0	607	0
13105	21937	1058560	0	607	0
13128	22145	1058624	0	607	0
13179	22354	1058688	0	607	0
13234	22563	1058816	0	607	0
13289	22772	1058880	0	607	0
13344	22981	1058880	0	607	0
13379	23190	1058880	0	607	0
13389	23399	1058880	0	607	0
13386	23608	1058880	0	607	0
13348	23817	1058880	0	607	0
13239	24000	1058880	0	607	0
13090	24145	1058880	0	607	0
Sleep=10
Fight=1
[三号boss:藤原广]
x	y	z	stay	mapid	action
13105	24105	1058880	0	607	0
13182	23911	1058880	0	607	0
13237	23702	1058880	0	607	0
13289	23493	1058880	0	607	0
13320	23284	1058880	0	607	0
13337	23075	1058880	0	607	0
13338	22862	1058880	0	607	0
13305	22652	1058944	0	607	0
13267	22448	1058816	0	607	0
13267	22238	1058752	0	607	0
13276	22033	1058816	0	607	0
13293	21825	1058816	0	607	0
13315	21616	1058752	0	607	0
13353	21407	1058688	0	607	0
13408	21198	1058688	0	607	0
13461	20989	1058496	0	607	0
13498	20780	1058496	0	607	0
13531	20572	1058560	0	607	0
13564	20364	1058688	0	607	0
13579	20159	1058560	0	607	0
13584	19948	1058240	0	607	0
13584	19729	1057728	0	607	0
13584	19520	1057344	0	607	0
13584	19311	1057152	0	607	0
13584	19102	1057536	0	607	0
13565	18893	1057664	0	607	0
13540	18684	1057664	0	607	0
13497	18475	1057536	0	607	0
13440	18272	1057280	0	607	0
13363	18074	1057024	0	607	0
13272	17883	1056896	0	607	0
