[一号boss:邪廷恩]
x	y	z	stay	mapid	action
34645	4322	1269056	0	708	0
34441	4322	1269056	0	708	0
34237	4322	1269120	0	708	0
34033	4322	1269120	0	708	0
33829	4322	1269120	0	708	0
33625	4322	1269120	0	708	0
33421	4322	1269120	0	708	0
33217	4322	1269120	0	708	0
33013	4322	1269120	0	708	0
32820	4386	1269120	0	708	0
32661	4534	1269120	0	708	0
32673	4738	1269120	0	708	0
32730	5707	1269120	0	708	0
32708	5503	1269120	0	708	0
32688	5299	1269120	0	708	0
32668	5095	1269120	0	708	0
32648	4891	1269120	0	708	0
32628	4687	1269120	0	708	0
32608	4483	1269120	0	708	0
32588	4279	1269120	0	708	0
32568	4075	1269120	0	708	0
32548	3871	1269120	0	708	0
32568	4075	1269120	0	708	0
Sleep=10
Fight=1
[二号boss:许灵素]
x	y	z	stay	mapid	action
32680	17950	1267776	0	708	0
32680	18154	1267584	0	708	0
32684	18358	1267584	0	708	0
32692	18562	1267584	0	708	0
32700	18766	1267584	0	708	0
32708	18970	1267584	0	708	0
32716	19174	1267584	0	708	0
32724	19378	1267584	0	708	0
32732	19582	1267584	0	708	0
32740	19786	1267584	0	708	0
32744	19983	1267584	0	708	0
Sleep=10
Fight=1
[结束副本]
