CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/cmd UINodeControl.BtnTrigger("BtnChangeMini","WidgetContentChat")	5	关闭下方聊天栏
/gm player.SwitchMap(642,119224, 80348, 928256)	30	传送前置条件
/cmd RemoteCallToServer('OnResetMapRequest', 726)	2	重置副本进度
/cmd RobotControl.CMD("Start")	60	初始化副本操作
/cmd DungeonApi.SetMapName("缚罪之渊")	5	设置对应的副本
/cmd PlayerAuto.SetNextTarget()	5	设置下个目标
/gm player.SwitchMap(720,59516,6784,1053248)	30	传送前置条件
/gm player.SetPosition(59516,6784,1053248)	10	传送剧情
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd CreateEmptyFile("perfeye_start")	10	采集数据
/cmd CreateEmptyFile("Dungeons")	10	启动副本
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/gm player.SwitchMap(642,119224, 80348, 928256)	30	传送前置条件
/cmd RobotControl.CMD("TeleportRobot")	20	召唤机器人操作
/cmd RobotControl.CMD("RequestLeaveTeam")	20	解除组队
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
