[一号boss:枯荣大师]
x	y	z	stay	mapid	action
5774	14840	1072384	0	682	0
5984	14830	1072384	0	682	0
6194	14827	1072384	0	682	0
6404	14827	1072384	0	682	0
6614	14827	1072384	0	682	0
6824	14827	1072384	0	682	0
7034	14827	1072384	0	682	0
7244	14827	1072384	0	682	0
7454	14824	1072384	0	682	0
7664	14814	1072384	0	682	0
7874	14804	1072384	0	682	0
8084	14802	1072320	0	682	0
8286	14802	1072768	0	682	0
8496	14802	1073024	0	682	0
8706	14802	1073152	0	682	0
8915	14802	1073216	0	682	0
9125	14802	1073344	0	682	0
9333	14802	1073344	0	682	0
9535	14802	1073152	0	682	0
9743	14802	1073472	0	682	0
9945	14802	1073984	0	682	0
10165	14802	1074368	0	682	0
30473	19959	809288	0	682	0
Sleep=10
[一号boss:枯荣大师]
x	y	z	stay	mapid	action
30473	19959	809152	0	682	0
30263	20019	809152	0	682	0
30053	20079	809152	0	682	0
29848	20142	809152	0	682	0
29648	20212	809152	0	682	0
29488	20268	809152	0	682	0
Sleep=10
Fight=1
Sleep=10
[二号boss:段留影]
x	y	z	stay	mapid	action
9922	14808	1073984	0	682	0
9719	14798	1073408	0	682	0
9511	14788	1073152	0	682	0
9297	14785	1073344	0	682	0
9088	14775	1073344	0	682	0
8879	14765	1073216	0	682	0
8669	14755	1073088	0	682	0
8459	14745	1073024	0	682	0
8249	14735	1072704	0	682	0
8047	14729	1072384	0	682	0
7840	14698	1072384	0	682	0
7718	14531	1072320	0	682	0
7689	14321	1072384	0	682	0
7679	14111	1072384	0	682	0
7680	13900	1072320	0	682	0
7708	13690	1072320	0	682	0
7738	13480	1072320	0	682	0
7768	13270	1072384	0	682	0
7798	13060	1072448	0	682	0
7828	12850	1072384	0	682	0
7940	12664	1072448	0	682	0
8135	12582	1072320	0	682	0
8341	12532	1072384	0	682	0
8552	12537	1072448	0	682	0
8762	12547	1072384	0	682	0
8972	12557	1072448	0	682	0
9182	12567	1072384	0	682	0
9392	12577	1072384	0	682	0
9602	12587	1072384	0	682	0
9810	12597	1072448	0	682	0
10019	12607	1072384	0	682	0
10229	12617	1072384	0	682	0
10439	12627	1072384	0	682	0
10649	12637	1072320	0	682	0
10859	12647	1072384	0	682	0
11069	12657	1072384	0	682	0
11279	12667	1072448	0	682	0
11489	12677	1072384	0	682	0
11699	12687	1072384	0	682	0
11909	12697	1072384	0	682	0
12119	12707	1072384	0	682	0
12329	12721	1072384	0	682	0
12539	12749	1072384	0	682	0
12748	12801	1072384	0	682	0
12931	12906	1072320	0	682	0
13071	13066	1072320	0	682	0
13211	13226	1072320	0	682	0
13352	13385	1072320	0	682	0
13502	13535	1072320	0	682	0
13655	13682	1072320	0	682	0
13830	13798	1072320	0	682	0
14030	13875	1072320	0	682	0
14237	13917	1072320	0	682	0
14447	13932	1072320	0	682	0
14616	13819	1072320	0	682	0
14692	13629	1072896	0	682	0
14708	13423	1073600	0	682	0
14726	13206	1074496	0	682	0
14824	13026	1074880	0	682	0
15016	12946	1074944	0	682	0
15208	13049	1074880	0	682	0
15249	13246	1075520	0	682	0
15257	13452	1076416	0	682	0
15261	13669	1077120	0	682	0
15271	13879	1077056	0	682	0
15281	14089	1077120	0	682	0
15291	14299	1077120	0	682	0
15339	14504	1077120	0	682	0
15463	14668	1077120	0	682	0
15665	14728	1076864	0	682	0
15874	14778	1076800	0	682	0
16084	14818	1076800	0	682	0
16296	14823	1076800	0	682	0
16506	14823	1076800	0	682	0
16716	14823	1076800	0	682	0
16926	14823	1076800	0	682	0
17136	14823	1076864	0	682	0
17338	14823	1077632	0	682	0
17548	14823	1077568	0	682	0
17758	14823	1077568	0	682	0
17968	14823	1077568	0	682	0
18178	14823	1077568	0	682	0
18388	14823	1077568	0	682	0
18598	14823	1077568	0	682	0
18808	14823	1077568	0	682	0
19018	14823	1077568	0	682	0
19228	14823	1077760	0	682	0
19438	14823	1077696	0	682	0
19648	14823	1077696	0	682	0
19858	14823	1077760	0	682	0
20068	14823	1077760	0	682	0
20110	14823	1077760	0	682	0
Fight=1
Sleep=10
[三号boss:段业声]
Fight=1
Sleep=10
[结束副本]
