CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/ SetCameraStatus(2000, 1, 6.280, -0.217)	2	调整面向
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd CreateEmptyFile("perfeye_start")	5	采集数据
/gm player.SwitchMap(1,30000, 30000, 1056384)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/gm player.SwitchMap(6,22128, 56182, 1049216)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/gm player.SwitchMap(11, 58091, 2370, 1048576)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/gm player.SwitchMap(108, 66289, 67368, 1072704)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/gm player.SwitchMap(1,30000, 30000, 1056384)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/gm player.SwitchMap(6,22128, 56182, 1049216)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/gm player.SwitchMap(11, 58091, 2370, 1048576)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/gm player.SwitchMap(108, 66289, 67368, 1072704)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.LOW)	10	切换简约画质
/cmd QualityMgr.SetQualityByType(GameQualityType.MID)	10	切换均衡画质
/cmd QualityMgr.SetQualityByType(GameQualityType.HIGH)	10	切换电影画质
/cmd QualityMgr.SetQualityByType(GameQualityType.EXTREME_HIGH)	10	切换极致画质
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/gm player.Stop()	2	玩家停止
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
