CommandName	WaitTime	Description
/gm player.SwitchMap(108,1, 74088, 64420, 1070336)	30	切换到成都地图
/gm player.SetPosition(74088, 64420, 1070336)	20	精确定位到指定坐标
/cmd CreateEmptyFile("perfeye_start")	2	开始性能采集
/cmd UINodeControl.BtnTriggerByLable("BtnShop","商城")	6	点击商城按钮
/cmd UIMgr.GetViewScript(VIEW_ID.PanelExteriorMain):LinkTitle(true, 3, 1, nil, nil, true)	6	打开华裳新购页签
/cmd (function() local view=UIMgr.GetViewScript(VIEW_ID.PanelExteriorMain); local tb=CoinShopData.GetExteriorList(1); return view:LinkExteriorSet(tb.tSetList[1].nSet) end)()	6	选中第一个外装套装
/cmd UINodeControl.BtnTrigger("BtnDownload")	6	下载外观资源
/cmd UINodeControl.BtnTrigger("BtnBuy")	6	点击购买按钮
/cmd UINodeControl.BtnTrigger("BtnPurchase")	6	确认购买
/cmd UINodeControl.BtnTrigger("BtnOk")	6	确认使用折扣券
/cmd UINodeControl.BtnTrigger("BtnOk")	1	二次确认折扣券
/cmd UIMgr.Close(VIEW_ID.PanelExteriorMain)	6	关闭商城面板
/cmd Camera_SetRTParams(1, 3.1412010192871, -0.11414948105812)	2	设置镜头旋转参数
/cmd TurnToFaceDirection()	2	等待面向
/cmd TurnTo((GetClientPlayer().nFaceDirection + 128) % 256)	2	旋转角色方向
/cmd CameraMgr.Zoom(0.2)	2	拉近镜头
/cmd CreateEmptyFile("wait")	60	等待1分钟
/cmd CreateEmptyFile("perfeye_stop")	20	结束性能采集
/cmd CreateEmptyFile("ExitGame")	3	退出游戏
