MapID	trafficID1	trafficID2	X	Y	Z
2	551	554	85780	73340	1169894
5	559	562	7684	13727	1049856
6	89	90	63581	45831	1054218
7	566	579	25646	17317	1160131
8	79	80	34068	68031	1053005
9	622	623	28796	66778	1128763
10	47	669	12223	34169	1048668
11	30	667	60340	8951	1050895
12	51	12	79066	46746	1080499
13	630	633	76921	16744	1056855
15	78	77	40681	92230	1062579
16	576	591	22674	12417	1058094
21	634	638	75033	48493	1074007
23	625	629	86224	7382	1056399
30	642	624	56541	4810	1054075
35	558	557	92767	105667	1149788
49	599	141	65283	28149	1122420
100	195	196	11429	14763	0
101	315	418	9119	78083	1053880
102	369	328	41202	80382	1052480
103	212	202	36170	95338	1112868
104	222	401	47844	5996	1161820
108	335	337	65493	11244	0
122	521	9529	58194	14432	1067520
