CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	40	开始跑图
/gm player.AddBuff(0,99,377,1,7200)	2	开启无敌
/gm player.SwitchMap(1,7591,37445,1076864)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd CreateEmptyFile("perfeye_start")	20	采集数据
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
7591	37445	1076864	0	1	0
7800	37434	1076800	0	1	0
8009	37423	1076736	0	1	0
8235	37411	1076608	0	1	0
8444	37400	1076672	0	1	0
8562	37461	1076672	0	1	0
8771	37505	1076736	0	1	0
8980	37549	1076736	0	1	0
9187	37491	1076800	0	1	0
9388	37466	1076800	0	1	0
9575	37370	1076800	0	1	0
9748	37263	1076864	0	1	0
9946	37197	1076864	0	1	0
10144	37131	1076864	0	1	0
12297	35710	1076608	0	1	0
12473	35600	1076672	0	1	0
12646	35482	1076800	0	1	0
12822	35372	1076864	0	1	0
12998	35262	1077120	0	1	0
13174	35152	1077376	0	1	0
12998	35281	1077120	0	1	0
12815	35388	1076864	0	1	0
12628	35487	1076800	0	1	0
12444	35583	1076736	0	1	0
12265	35691	1076608	0	1	0
12092	35812	1076544	0	1	0
11917	35933	1076480	0	1	0
11741	36054	1076544	0	1	0
11565	36175	1076544	0	1	0
11372	36250	1076608	0	1	0
11170	36201	1076672	0	1	0
11044	36042	1076544	0	1	0
10961	35843	1076480	0	1	0
10938	35638	1076224	0	1	0
10910	35434	1076032	0	1	0
10873	35231	1075776	0	1	0
10875	35026	1075456	0	1	0
10884	34820	1075008	0	1	0
10884	34619	1074496	0	1	0
10884	34400	1074176	0	1	0
10884	34195	1073664	0	1	0
10884	33988	1073408	0	1	0
10884	33779	1073024	0	1	0
10884	33570	1072640	0	1	0
10884	33361	1072064	0	1	0
10884	33155	1071552	0	1	0
10858	32947	1071232	0	1	0
10808	32740	1070848	0	1	0
10762	32531	1070464	0	1	0
10757	32322	1070272	0	1	0
10757	32117	1069952	0	1	0
10794	31920	1069568	0	1	0
10795	31715	1068864	0	1	0
10795	31497	1068288	0	1	0
10795	31280	1067840	0	1	0
10688	31103	1067456	0	1	0
10505	31019	1067328	0	1	0
10296	31001	1067520	0	1	0
10090	31039	1067840	0	1	0
9882	31009	1068096	0	1	0
9673	30954	1068096	0	1	0
9466	30899	1068160	0	1	0
9261	30837	1068224	0	1	0
9179	30643	1068288	0	1	0
9043	30488	1068224	0	1	0
8891	30340	1068224	0	1	0
8760	30180	1068288	0	1	0
8859	30367	1068224	0	1	0
8958	30554	1068224	0	1	0
9057	30741	1068224	0	1	0
9226	30874	1068224	0	1	0
