[一号boss:池清川]
x	y	z	stay	mapid	action
27142	19551	1048768	0	710	0
27133	19761	1048640	0	710	0
27122	19970	1048640	0	710	0
27106	20179	1048640	0	710	0
27084	20388	1048640	0	710	0
27062	20597	1048640	0	710	0
27040	20806	1048640	0	710	0
27014	21015	1048640	0	710	0
26815	21076	1048640	0	710	0
26606	21098	1048640	0	710	0
26815	21110	1048640	0	710	0
26999	21210	1048640	0	710	0
27083	21404	1048768	0	710	0
27111	21613	1049088	0	710	0
27118	21822	1049152	0	710	0
27118	22040	1049216	0	710	0
27118	22260	1049216	0	710	0
27118	22480	1049216	0	710	0
27118	22700	1049216	0	710	0
NpcDie=30
Sleep=60
[重新走回位置]
27096	21481	1048896	0	710	0
27096	21717	1049216	0	710	0
27106	21945	1049216	0	710	0
27118	22173	1049216	0	710	0
27130	22401	1049216	0	710	0
27141	22629	1049216	0	710	0
27147	22857	1049216	0	710	0
Fight=1
[结束副本]
