CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.SwitchMap(_mapid_,_mapIndex_,59253, 60692,1127552)	30	传送
/gm player.AddBuff(0,99,377,1,7200)	1	无敌
/cmd HotPointRunMapMax(100000,120000,1130000)	2	设置热力图的地图最大距离
/cmd HotPointRunMapMin(3000,10000, 1100000)	2	设置热力图的地图最小距离
/cmd CreateEmptyFile("HotPoint_Start")	20	信号：开始
/cmd CreateEmptyFile("HotPoint_Stop")	20	信号：关闭
/cmd CreateEmptyFile("ExitGame")	2	关闭游戏
