[辛仕徽Boss]
x	y	z	stay	mapid	action
16871	19238	912128	0	659	0
16982	19062	912320	0	659	0
17106	18898	912512	0	659	0
17243	18748	912960	0	659	0
17353	18572	913344	0	659	0
17464	18390	913664	0	659	0
17581	18220	914176	0	659	0
17693	18052	914624	0	659	0
17801	17868	915072	0	659	0
17904	17691	915584	0	659	0
18007	17511	915968	0	659	0
18114	17333	916416	0	659	0
18235	17153	916992	0	659	0
18355	16976	917824	0	659	0
18474	16793	918400	0	659	0
18554	16602	918912	0	659	0
18614	16407	919616	0	659	0
18666	16206	920128	0	659	0
18819	16064	920832	0	659	0
19019	16028	921472	0	659	0
19227	15973	921984	0	659	0
19431	15909	922624	0	659	0
19633	15832	923264	0	659	0
19816	15750	923968	0	659	0
20014	15670	924736	0	659	0
20224	15610	925440	0	659	0
20432	15548	926080	0	659	0
20630	15490	926592	0	659	0
20827	15433	927168	0	659	0
21018	15367	927744	0	659	0
21216	15291	928064	0	659	0
21251	15082	928320	0	659	0
21284	14873	928320	0	659	0
21317	14664	928320	0	659	0
21350	14455	928320	0	659	0
21372	14246	928320	0	659	0
21394	14037	928320	0	659	0
21416	13828	928320	0	659	0
21438	13619	928320	0	659	0
21460	13410	928320	0	659	0
21482	13201	928320	0	659	0
21504	12992	928320	0	659	0
21526	12783	928320	0	659	0
21547	12574	928320	0	659	0
21536	12365	928320	0	659	0
21466	12168	928320	0	659	0
21345	11992	928320	0	659	0
21224	11816	928320	0	659	0
21103	11640	928320	0	659	0
20982	11464	928320	0	659	0
20861	11288	928320	0	659	0
20741	11113	928384	0	659	0
20620	10937	928320	0	659	0
20586	10724	928576	0	659	0
Sleep=20
[辛仕徽Boss]
x	y	z	stay	mapid	action
20619	10569	929152	0	659	0
20524	10757	928384	0	659	0
20436	10944	928320	0	659	0
20348	11136	928320	0	659	0
20262	11332	928384	0	659	0
20174	11530	928320	0	659	0
20096	11728	928384	0	659	0
20019	11926	928320	0	659	0
19949	12124	928320	0	659	0
19883	12320	928320	0	659	0
Fight=1
Sleep=110
[宣骄Boss]
x	y	z	stay	mapid	action
20478	12079	928448	0	659	0
20189	12304	928320	0	659	0
20059	12444	928320	0	659	0
Fight=1
Sleep=10
[雪影]
x	y	z	stay	mapid	action
19856	12591	928320	0	659	0
19891	12382	928320	0	659	0
19924	12173	928512	0	659	0
19957	11970	928320	0	659	0
19990	11761	928320	0	659	0
20023	11552	928320	0	659	0
20056	11343	928320	0	659	0
20110	11143	928320	0	659	0
Sleep=3
Dialogue=1
Sleep=10
[魏鑫boss]
x	y	z	stay	mapid	action
16066	48641	987328	0	659	0
15941	48041	987328	0	659	0
16057	47567	946304	0	659	0
[魏鑫boss]
x	y	z	stay	mapid	action
16057	47567	946304	0	659	0
16254	47507	946176	0	659	0
16451	47432	946368	0	659	0
16651	47352	946432	0	659	0
16851	47292	946624	0	659	0
17052	47223	945928	0	659	0
17252	47153	944320	0	659	0
17450	47073	944320	0	659	0
17640	46983	944208	0	659	0
17830	46893	942656	0	659	0
17998	46763	942272	0	659	0
18165	46642	941824	0	659	0
18335	46522	941104	0	659	0
18505	46402	939648	0	659	0
18675	46281	939584	0	659	0
