[一号boss:刘重]
x	y	z	stay	mapid	action
22152	6504	1291712	0	690	0
22122	6706	1291328	0	690	0
22092	6907	1290752	0	690	0
22062	7111	1290304	0	690	0
22032	7318	1289920	0	690	0
21999	7535	1289344	0	690	0
21969	7736	1288832	0	690	0
21939	7941	1288320	0	690	0
21909	8151	1288320	0	690	0
21879	8361	1288320	0	690	0
21807	8551	1288320	0	690	0
21777	8761	1288320	0	690	0
21747	8971	1288320	0	690	0
21717	9181	1288320	0	690	0
21687	9391	1288320	0	690	0
21657	9601	1288320	0	690	0
21603	9799	1288320	0	690	0
21527	10022	1288320	0	690	0
Sleep=10
Fight=1
Sleep=10
[二号boss:野希密]
x	y	z	stay	mapid	action
21566	9986	1288320	0	690	0
21536	10196	1288320	0	690	0
21499	10406	1288320	0	690	0
21459	10616	1288320	0	690	0
21419	10826	1288320	0	690	0
21379	11036	1288320	0	690	0
21339	11246	1288320	0	690	0
21259	11434	1288320	0	690	0
21219	11637	1288768	0	690	0
21179	11844	1288832	0	690	0
21139	12054	1288768	0	690	0
21099	12264	1288704	0	690	0
21059	12474	1288512	0	690	0
21019	12684	1288320	0	690	0
20979	12893	1288192	0	690	0
20939	13101	1287872	0	690	0
20899	13311	1287744	0	690	0
20859	13519	1287552	0	690	0
20819	13716	1287104	0	690	0
20779	13920	1286656	0	690	0
20767	14123	1286464	0	690	0
20840	14314	1285888	0	690	0
20930	14504	1285632	0	690	0
21020	14694	1285504	0	690	0
21106	14880	1285312	0	690	0
21197	15063	1285056	0	690	0
21294	15250	1284736	0	690	0
21395	15429	1284416	0	690	0
21517	15595	1284032	0	690	0
21663	15741	1283648	0	690	0
21813	15885	1283136	0	690	0
21970	16022	1282624	0	690	0
22144	16139	1282240	0	690	0
22330	16240	1282048	0	690	0
22529	16313	1281920	0	690	0
22727	16383	1281728	0	690	0
22927	16453	1281536	0	690	0
23125	16523	1281344	0	690	0
23321	16593	1281088	0	690	0
23520	16663	1280832	0	690	0
23720	16733	1280640	0	690	0
23928	16790	1280832	0	690	0
24137	16838	1281216	0	690	0
24345	16878	1281408	0	690	0
24555	16918	1281472	0	690	0
24765	16958	1281536	0	690	0
24975	16998	1281600	0	690	0
25185	17038	1281728	0	690	0
25395	17078	1281792	0	690	0
25604	17118	1281984	0	690	0
25814	17158	1282048	0	690	0
26024	17198	1282176	0	690	0
26231	17252	1282560	0	690	0
26429	17328	1282880	0	690	0
26621	17416	1283200	0	690	0
26793	17536	1283456	0	690	0
26945	17678	1283840	0	690	0
27039	17856	1284096	0	690	0
27118	18048	1284544	0	690	0
27174	18251	1284864	0	690	0
27178	18462	1285056	0	690	0
27148	18669	1285376	0	690	0
27121	18869	1285952	0	690	0
27094	19071	1286464	0	690	0
27068	19285	1287040	0	690	0
27042	19491	1287232	0	690	0
27022	19701	1287232	0	690	0
27002	19911	1287232	0	690	0
26982	20121	1287232	0	690	0
26962	20331	1287232	0	690	0
26942	20541	1287232	0	690	0
26922	20751	1287232	0	690	0
27188	20406	1287232	0	690	0
Fight=1
Sleep=10
[三号boss:玛兰]
x	y	z	stay	mapid	action
26918	20793	1287232	0	690	0
26851	20985	1287232	0	690	0
26771	21183	1287232	0	690	0
26681	21373	1287232	0	690	0
26591	21563	1287232	0	690	0
26501	21753	1287232	0	690	0
26407	21943	1287232	0	690	0
26300	22126	1287232	0	690	0
26190	22306	1287232	0	690	0
26080	22486	1287232	0	690	0
25970	22666	1287168	0	690	0
25861	22845	1287040	0	690	0
25759	23019	1286336	0	690	0
25653	23198	1285376	0	690	0
25556	23379	1284288	0	690	0
25459	23560	1283520	0	690	0
25336	23718	1282944	0	690	0
25206	23892	1282368	0	690	0
25120	24080	1281984	0	690	0
25053	24289	1281280	0	690	0
24993	24487	1281216	0	690	0
24925	24687	1281216	0	690	0
24855	24887	1281280	0	690	0
24783	25086	1281280	0	690	0
24664	25261	1281280	0	690	0
24505	25402	1281280	0	690	0
24322	25506	1281280	0	690	0
24111	25533	1281280	0	690	0
23900	25506	1281216	0	690	0
23690	25463	1281152	0	690	0
23480	25414	1281216	0	690	0
23275	25442	1281408	0	690	0
23108	25569	1281344	0	690	0
22938	25699	1281536	0	690	0
22750	25796	1281920	0	690	0
22547	25827	1282176	0	690	0
22337	25849	1282240	0	690	0
22128	25869	1282432	0	690	0
21918	25889	1282560	0	690	0
21710	25909	1282624	0	690	0
21500	25911	1283200	0	690	0
21283	25883	1283392	0	690	0
21105	25791	1284224	0	690	0
20920	25682	1285120	0	690	0
20735	25597	1286208	0	690	0
20530	25551	1286656	0	690	0
20311	25556	1287104	0	690	0
20109	25586	1287616	0	690	0
19902	25616	1287936	0	690	0
19699	25646	1288384	0	690	0
19492	25685	1288640	0	690	0
19290	25742	1288832	0	690	0
19094	25802	1288960	0	690	0
18894	25862	1288896	0	690	0
18694	25922	1288832	0	690	0
18494	25982	1288896	0	690	0
18294	26042	1289088	0	690	0
18095	26102	1289216	0	690	0
17897	26162	1289280	0	690	0
17793	26347	1289344	0	690	0
17605	26458	1289344	0	690	0
17407	26528	1289344	0	690	0
17217	26628	1289344	0	690	0
17034	26737	1289344	0	690	0
16858	26857	1289344	0	690	0
16688	26987	1289344	0	690	0
16594	27129	1289344	0	690	0
Fight=1
Sleep=10
[结束副本]
