a	b	c	d	e	f
data\source\maps_source\建筑配套\wq_z镇围墙001_001_hd.mesh	1024_商城默认	24217.83984375,-1946.0592041015625,17173.24609375	0	{d4f0044a-6335-4056-b393-22bf0a8b1e82}	world_object
data\source\maps_source\建筑配套\wq_z镇围墙001_005_hd.mesh	1024_商城默认	14061.091796875,-1995.0897216796875,33590.3125	0	{f2a41845-9662-47d6-98c4-92a2b6a34690}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑围墙001_001_hd.mesh	1024_商城默认	16007.5576171875,-1959.447998046875,16302.9150390625	0	{2fe73dbf-0057-43df-bbaa-713bdae4103a}	world_object
data\source\maps_source\副本室内\永王行宫\q_yw九曲桥002_007_hd.mesh	1024_商城默认	21750.05078125,-1998.385009765625,37727.578125	0	{cdf97075-625f-4ef4-aa6a-a131023ecdef}	world_object
data\source\maps_source\门派\七秀\qx_桥001_005_hd.mesh	1024_商城默认	22343.009765625,-1998.354736328125,37722.84765625	0	{afa7b94d-a373-4b75-a7ae-4a7bc72309ee}	world_object
data\source\maps_source\副本室内\大明宫\gm_dmg灌木002_hd.mesh	1024_商城默认	25467.1640625,-1935.8096923828125,36255.58203125	0	{102e3e76-e03a-4c02-a541-41a06c7f7869}	world_object
data\source\maps_source\副本室内\大明宫\gm_dmg灌木001_hd.mesh	1024_商城默认	25631.3046875,-1997.9700927734375,37662.49609375	0	{c58b6edb-030f-4d12-a3dd-550b6ab2d063}	world_object
data\source\maps_source\石头\st_cgm石头001_001_hd.mesh	1024_商城默认	25517.20703125,-1998.2525634765625,36892.8828125	0	{367fa50e-6f64-4cdd-a0db-09ca04a960b9}	world_object
data\source\maps_source\石头\st_cgm石头001_004_hd.mesh	1024_商城默认	25469.06640625,-1997.9708251953125,37257.6875	0	{940e83a3-d214-4a8f-a210-9d851bfce7f7}	world_object
data\source\maps_source\石头\st_cgm石头001_005_hd.mesh	1024_商城默认	24618.892578125,-1997.266357421875,35577.8125	0	{57a4f95d-d5f2-4660-9cba-bfee8dbeda71}	world_object
data\source\maps_source\石头\st_cgm石头003_001_hd.mesh	1024_商城默认	26299.2578125,-1998.3734130859375,38388.08203125	0	{ba0a43cc-6b2c-4ab5-a46d-3bfbb0602254}	world_object
data\source\maps_source\副本室内\永王行宫\jz_yw亭001_001_hd.mesh	1024_商城默认	15729.943359375,-1998.622802734375,39934.1015625	0	{1a75e37f-dc3e-4561-9bfd-e239734d4510}	world_object
data\source\maps_source\门派\长歌门\pj_cgm平台001_001_hd.mesh	1024_商城默认	22360.634765625,-1985.7274169921875,31019.65234375	0	{ef5e8c99-0d4f-4959-b2ca-01f48a730830}	world_object
data\source\maps_source\石头\st_cgm石头003_005_hd.mesh	1024_商城默认	-31512.369848802686,-856.4660956652369,-1404.0510876581538	0	{d246e306-d09a-44c9-aed8-23b28ccd547f}	group_object
data\source\maps_source\石头\st_石头011_008_hd.mesh	1024_商城默认	26184.779296875,-1960.19970703125,25152.552734375	0	{321d8b71-7887-40d2-b04b-82467e0fff7c}	world_object
data\source\maps_source\石头\st_cgm登录石头001_001_hd.mesh	1024_商城默认	23146.646484375,-1997.3896484375,35529.8125	0	{b6d1dedf-0516-4c3f-9675-e90cb944912d}	world_object
data\source\maps_source\石头\st_石头011_002_hd.mesh	1024_商城默认	26515.13671875,-1961.7034912109375,27080.822265625	0	{ecd7a0bf-b4be-46c4-9375-6b786f4171c3}	world_object
data\source\maps_source\石头\st_石头011_003_hd.mesh	1024_商城默认	20847.466796875,-1940.5279541015625,25262.1640625	0	{49beaf80-bdca-462c-a1a1-fe0373df8cb8}	world_object
data\source\maps_source\石头\st_石头010_007_hd.mesh	1024_商城默认	22636.529296875,-1936.1865234375,25157.080078125	0	{9199398b-c22b-4d1f-af31-16dd24a7714f}	world_object
data\source\maps_source\石头\st_cgm石头003_003_hd.mesh	1024_商城默认	16855.5859375,-1328.2230224609375,41174.55859375	0	{c9052877-0820-4b84-9fe2-82c56b7accc3}	world_object
data\source\maps_source\门派\纯阳\cy_纯阳接引殿001_hd.mesh	1024_商城默认	39139.109375,-1956.7474365234375,37485.8515625	0	{5e0e1e7c-222c-41f5-8342-d3ddf05d0a95}	world_object
data\source\maps_source\石头\st_sl路边石头001_008_hd.mesh	1024_昼夜循环	47298.3203125,-256.708251953125,50018.0234375	0	{0008dce6-1861-4346-a7c7-1283426f8a07}	world_object
data\source\maps_source\建筑配套\pj_再来镇围堤001_003_hd.mesh	1024_昼夜循环	12752.83203125,-497.603515625,40605.015625	0	{0013f9ee-2720-4658-b90b-a669a3eec109}	world_object
data\source\maps_source\石头\st_泉水石005_hd.mesh	1024_昼夜循环	45875.0234375,-45.158447265625,50433.98046875	0	{0035f912-fa14-47c0-b520-e318033ef4b2}	world_object
data\source\maps_source\建筑配套\pj_再来镇围堤001_002_hd.mesh	1024_昼夜循环	25128.2734375,-426.640869140625,42672.97265625	0	{00f49220-90a5-4407-b080-63270cdf0858}	world_object
data\source\maps_source\建筑配套\pj_再来镇围堤001_006_hd.mesh	1024_昼夜循环	24973.5,-438.193603515625,40058.8984375	0	{016b3312-6228-4811-8e1a-ef0342d8a223}	world_object
data\source\maps_source\石头\st_石头009_005_hd.mesh	1024_昼夜循环	32659.984375,86.43359375,47761.4375	0	{01a004e9-3278-4bce-9879-9582002d834b}	world_object
data\source\maps_source\小物件\栏杆\wj_木棍001_001_hd.mesh	1024_昼夜循环	36975.234375,-76.85073852539062,35873.07421875	0	{03025d7f-1827-4d1e-b72c-7d5c9dea428a}	world_object
data\source\maps_source\石头\st_泉水石006_hd.mesh	1024_昼夜循环	35756.3203125,93.4140625,47172.73828125	0	{03115697-a656-4499-8055-3e6f99418f05}	world_object
data\source\maps_source\建筑\jz_土匪帐篷004_hd.mesh	1024_昼夜循环	4652.76171875,3137.731201171875,8824.3359375	0	{031fb1c2-11bd-4591-b525-05aa41a93a23}	world_object
data\source\maps_source\石头\st_泉水石002_hd.mesh	1024_昼夜循环	44788.03125,-26.525146484375,50856.48046875	0	{03299658-e5e0-4b2a-bd68-d98be8ce3b10}	world_object
data\source\maps_source\小物件\木箱\wj_物什箱014_002_hd.mesh	1024_昼夜循环	26849.1875,1015.3983154296875,46863.5703125	0	{03702bd2-f7b4-40d0-8ceb-bb0f1324743f}	world_object
data\source\maps_source\石头\st_sl碎石001_003_hd.mesh	1024_昼夜循环	41870.5625,275.802734375,48610.9375	0	{03934b7e-3a0c-45d9-82db-1f1dcf8ab6dd}	world_object
data\source\maps_source\小物件\栏杆\wj_木棍001_004_hd.mesh	1024_昼夜循环	46390.3828125,21.60980224609375,28269.478515625	0	{045454d2-f24e-4032-8188-e7cd9d996d33}	world_object
data\source\maps_source\门派\少林\pj_sl破月台基座001_004_hd.mesh	1024_昼夜循环	33509.3671875,-3.873046875,42033.21484375	0	{04fa4266-edd2-4e5c-bdcf-b2afda2b414a}	world_object
data\source\maps_source\石头\st_野外石头003_006_hd.mesh	1024_昼夜循环	28106.15625,543.21044921875,45390.80859375	0	{05f67686-ffdd-4385-826e-0f1816003d04}	world_object
data\source\maps_source\小物件\室内\wj_sn茅草房001_014_hd.mesh	1024_昼夜循环	27385.15625,542.55859375,39742.0390625	0	{05fc46a8-638c-4cc7-aa26-554519b8a9ca}	world_object
data\source\maps_source\建筑\jz_茅草房001_hd.mesh	1024_昼夜循环	20758.6484375,193.0009765625,29072.490234375	0	{06b006dd-616f-495c-aedf-5b9e2ba05cb8}	world_object
data\source\maps_source\小物件\农具\wj_破水车005_hd.mesh	1024_昼夜循环	50968.015625,-20.324369430541992,34883.52734375	0	{06ccf0b0-d606-452e-80b9-6c21925f76c4}	world_object
data\source\maps_source\石头\st_少林大山石001_001_hd.mesh	1024_昼夜循环	15315.6484375,-242.50439453125,26973.560546875	0	{06f5c6ca-9325-435a-ba71-5b9c66a48f65}	world_object
