[找到叶驰交任务]
x	y	z	stay	mapid	action
258918	69237	1321344	0	673	0
258709	69215	1321344	0	673	0
258500	69193	1321344	0	673	0
258303	69138	1321280	0	673	0
258138	69005	1321280	0	673	0
257971	68875	1321280	0	673	0
257795	68759	1321280	0	673	0
257608	68649	1321280	0	673	0
257421	68539	1321280	0	673	0
257234	68429	1321280	0	673	0
257045	68324	1321472	0	673	0
256851	68238	1321600	0	673	0
256652	68160	1321600	0	673	0
256443	68115	1321664	0	673	0
256234	68076	1321728	0	673	0
256025	68067	1321600	0	673	0
255816	68067	1321408	0	673	0
255600	68067	1321088	0	673	0
255391	68068	1320768	0	673	0
255184	68079	1320512	0	673	0
254980	68090	1320064	0	673	0
254773	68101	1319616	0	673	0
254569	68112	1319168	0	673	0
254360	68123	1318720	0	673	0
254159	68129	1318336	0	673	0
253947	68120	1318144	0	673	0
253739	68087	1317888	0	673	0
253530	68043	1317696	0	673	0
253321	67999	1317568	0	673	0
253112	67947	1317376	0	673	0
252913	67876	1317312	0	673	0
252715	67788	1317184	0	673	0
252530	67686	1317120	0	673	0
252363	67556	1316928	0	673	0
252209	67413	1316800	0	673	0
252055	67270	1316736	0	673	0
251901	67127	1316608	0	673	0
251747	66984	1316608	0	673	0
251593	66840	1316608	0	673	0
251465	66670	1316608	0	673	0
251367	66488	1316608	0	673	0
251319	66386	1316544	0	673	0
Dialogue=1
[失踪骆驼]
x	y	z	stay	mapid	action
251319	66386	1316544	0	673	0
251120	66456	1316608	0	673	0
250924	66405	1316544	0	673	0
250836	66218	1316544	0	673	0
250748	66031	1316352	0	673	0
250660	65846	1316288	0	673	0
250572	65664	1316032	0	673	0
250484	65480	1315712	0	673	0
250396	65292	1315328	0	673	0
250349	65081	1314816	0	673	0
250411	64890	1314368	0	673	0
250533	64727	1314048	0	673	0
250685	64589	1313600	0	673	0
250850	64457	1313536	0	673	0
251015	64325	1313472	0	673	0
251177	64193	1313408	0	673	0
251346	64065	1313344	0	673	0
251522	63944	1313344	0	673	0
251570	63911	1313344	0	673	0
Fight=1
Sleep=10
Dialogue=1
Sleep=10
[带回骆驼和叶驰交谈]
x	y	z	stay	mapid	action
251570	63911	1313344	0	673	0
251404	64051	1313344	0	673	0
251229	64163	1313408	0	673	0
251053	64273	1313408	0	673	0
250877	64383	1313472	0	673	0
250701	64493	1313472	0	673	0
250525	64606	1313792	0	673	0
250388	64757	1314176	0	673	0
250304	64943	1314496	0	673	0
