x	y	z	stay	mapid
4680	15827	1048512	0	5
4845	15695	1048448	0	5
5010	15563	1048384	0	5
5175	15431	1048448	0	5
5340	15299	1048448	0	5
5543	15303	1048256	0	5
5744	15243	1048192	0	5
5942	15166	1048192	0	5
6140	15089	1048128	0	5
6338	15012	1048064	0	5
6536	14935	1048064	0	5
6734	14858	1048128	0	5
6905	14752	1048192	0	5
6947	14549	1048320	0	5
7086	14394	1048512	0	5
7217	14235	1048704	0	5
7217	14031	1048960	0	5
7221	13829	1049024	0	5
7422	13860	1048960	0	5
7526	14043	1048896	0	5
7636	14219	1048704	0	5
7736	14398	1048576	0	5
7792	14597	1048384	0	5
7879	14786	1048512	0	5
7938	14988	1048576	0	5
7983	15195	1048704	0	5
8027	15404	1048896	0	5
8071	15611	1048960	0	5
8134	15813	1049024	0	5
8247	15993	1049024	0	5
8390	16147	1049088	0	5
8507	16322	1049024	0	5
8500	16526	1049152	0	5
8381	16697	1049216	0	5
8327	16900	1049600	0	5
8188	17061	1049792	0	5
8054	17223	1049728	0	5
7946	17400	1049920	0	5
7862	17590	1050432	0	5
7714	17737	1050432	0	5
7561	17874	1050880	0	5
7416	18012	1051584	0	5
7227	18097	1052032	0	5
7021	18138	1052416	0	5
6805	18164	1053120	0	5
6602	18157	1053376	0	5
6805	18139	1053056	0	5
7016	18139	1052416	0	5
7221	18131	1052032	0	5
7398	18028	1051648	0	5
7558	17892	1050944	0	5
7695	17734	1050432	0	5
7862	17610	1050432	0	5
7966	17420	1049920	0	5
8001	17215	1049792	0	5
8072	17014	1049792	0	5
8210	16847	1049536	0	5
8395	16753	1049280	0	5
8582	16643	1049152	0	5
8769	16547	1049088	0	5
8967	16470	1049024	0	5
9165	16393	1049088	0	5
9361	16316	1049088	0	5
9567	16263	1049088	0	5
9763	16185	1049024	0	5
9970	16154	1049088	0	5
10143	16270	1049152	0	5
10205	16468	1049344	0	5
10184	16685	1049792	0	5
10105	16876	1049792	0	5
9954	17024	1049792	0	5
9890	17226	1049792	0	5
9846	17435	1049792	0	5
9821	17644	1049792	0	5
9830	17854	1049792	0	5
9902	18052	1049792	0	5
10082	18151	1049792	0	5
10286	18106	1049792	0	5
10343	17905	1049792	0	5
10299	17700	1049792	0	5
