MapID	trafficID1	trafficID2	X	Y	Z
1	113	114	20356	25864	1051392
2	551	554	85780	73340	1169894
5	559	1856	7684	13727	1049856
6	90	1211	81390	14413	1049600
7	577	582	13262	81122	1221448
8	80	1236	53864	23995	1080975
9	611	623	58633	77211	1061514
10	85	112	13712	77496	1050481
11	667	1217	21988	57576	1073935
12	51	12	79066	46746	1080499
13	630	633	76921	16744	1056855
15	78	1191	40681	92230	1062579
16	591	1335	84011	78853	1059711
21	634	638	75033	48493	1074007
23	625	629	86224	7382	1056399
30	642	624	56541	4810	1054075
35	1218	1220	25698	114201	1251604
49	599	141	65283	28149	1122420
100	195	196	11429	14763	0
101	315	418	9119	78083	1053880
102	369	328	41202	80382	1052480
103	204	207	27549	17348	1185700
104	215	398	13316	14659	1123297
105	647	9662	64618	113394	1075973
108	335	337	65493	11244	0
122	521	9529	58194	14432	1067520
139	1275	928	86262	52516	1093130
150	677	697	15737	9354	1103114
151	1255	1262	11264	57310	1049943
153	915	866	112097	29690	1216189
156	1254	1274	11437	10356	1065283
158	834	865	18976	70183	1080806
159	978	993	14448	93908	1093497
193	1369	1402	96063	102435	1061948
194	1403	1411	43116	10347	1106049
213	1444	1574	93385	41004	1057973
214	1495	1499	41055	22271	1054638
215	1514	1519	23373	95199	1156153
216	1494	1497	9413	13284	1067706
217	1567	1573	119181	15084	1081598
239	1686	1690	64781	35705	1088077
243	1675	1651	35190	90762	1212516
325	2632	2639	119872	3484	1050925
330	2588	2592	22542	15866	1200448
332	2700	2706	73068	25906	1050100
333	2657	2662	41682	21386	1048640
334	2685	2694	6508	45105	1050232
411	2767	2773	53542	26362	1049654
419	2960	2964	60278	24624	1496299
444	2968	2969	28313	108460	1049481
464	3099	3107	8267	92545	1129450
473	3034	3066	66036	24181	1131571
474	3073	3084	34163	85597	1064764
475	3044	3051	7465	13935	1048916
488	3134	3135	93688	82397	1112817
525	3260	3267	95858	130045	1038313
526	3224	3230	22190	2167	1852532
578	3307	3310	74529	22211	1054674
579	3448	3452	97117	77787	1048665
580	3438	3445	14128	38993	1099712
581	3330	3496	32945	118953	1049014
582	3469	3475	21804	28469	1047808
627	3438	3445	14128	38993	1099712
654	90	1211	81390	14413	1049600
