CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(790,1,1212,853,1120064)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.AddBuff(player.dwID,player.nLevel,3994,1,3600)	5	加隐身
/cmd CreateEmptyFile("perfeye_start")	20	开始采集
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
60365	52547	1181888	0	790	0
60144	52604	1181888	0	790	0
59931	52697	1181888	0	790	0
59735	52613	1181888	0	790	0
59528	52539	1181888	0	790	0
59300	52509	1181760	0	790	0
59070	52484	1181760	0	790	0
59298	52496	1181760	0	790	0
59526	52508	1181888	0	790	0
59754	52520	1181888	0	790	0
59982	52523	1181952	0	790	0
60210	52523	1181888	0	790	0
60448	52523	1181888	0	790	0
60688	52523	1181888	0	790	0
60927	52523	1181888	0	790	0
61163	52523	1182144	0	790	0
61270	38917	1194048	0	790	0
61419	38747	1194048	0	790	0
61641	38681	1194048	0	790	0
61866	38644	1194048	0	790	0
62096	38657	1194048	0	790	0
62326	38697	1194048	0	790	0
62554	38689	1194048	0	790	0
62792	38689	1194048	0	790	0
63032	38689	1194048	0	790	0
63272	38689	1194048	0	790	0
63492	38620	1194048	0	790	0
63633	38440	1194048	0	790	0
63726	38227	1194048	0	790	0
63753	38000	1194048	0	790	0
63753	37772	1194048	0	790	0
63753	37544	1194048	0	790	0
63753	37316	1194048	0	790	0
63753	37088	1194048	0	790	0
63753	36860	1194048	0	790	0
63753	36632	1194048	0	790	0
63753	36404	1194048	0	790	0
63753	36176	1194048	0	790	0
63753	35948	1194048	0	790	0
63753	35720	1194048	0	790	0
63753	35492	1194048	0	790	0
63753	35264	1194048	0	790	0
63753	35036	1193984	0	790	0
63753	34808	1194048	0	790	0
63753	34580	1194048	0	790	0
63753	34352	1194048	0	790	0
63753	34124	1194048	0	790	0
63753	33896	1194048	0	790	0
63753	33668	1194048	0	790	0
63753	33440	1194048	0	790	0
63753	33212	1194048	0	790	0
63750	32984	1194048	0	790	0
63659	32787	1194048	0	790	0
63432	32787	1194048	0	790	0
63202	32781	1194048	0	790	0
62974	32763	1194048	0	790	0
62746	32745	1194048	0	790	0
62518	32728	1194048	0	790	0
62290	32716	1194048	0	790	0
62062	32704	1194048	0	790	0
61840	32704	1194048	0	790	0
61618	32704	1194048	0	790	0
61385	32736	1194048	0	790	0
61157	32731	1194048	0	790	0
60952	32817	1194048	0	790	0
60724	32805	1194048	0	790	0
60508	32793	1194240	0	790	0
60286	32781	1194176	0	790	0
60059	32769	1194048	0	790	0
59831	32757	1194048	0	790	0
59603	32745	1194048	0	790	0
59375	32733	1194176	0	790	0
59149	32721	1194048	0	790	0
59030	32903	1194112	0	790	0
59071	33128	1194112	0	790	0
59157	33344	1194112	0	790	0
59179	33566	1194112	0	790	0
59101	33782	1194112	0	790	0
59013	33995	1194112	0	790	0
59024	34225	1194112	0	790	0
59032	34453	1194112	0	790	0
59045	34681	1194112	0	790	0
59063	34909	1194112	0	790	0
59076	35137	1194112	0	790	0
59082	35365	1194112	0	790	0
59088	35593	1194112	0	790	0
59095	35859	1194112	0	790	0
59101	36087	1194112	0	790	0
59113	36315	1194112	0	790	0
59125	36543	1194112	0	790	0
59137	36771	1194112	0	790	0
59158	36999	1194112	0	790	0
59110	37214	1194112	0	790	0
59094	37442	1194112	0	790	0
59092	37672	1194112	0	790	0
59104	37900	1194112	0	790	0
59146	38125	1194112	0	790	0
59283	38311	1194112	0	790	0
59490	38411	1194048	0	790	0
59715	38454	1194048	0	790	0
59943	38460	1194048	0	790	0
60171	38460	1194048	0	790	0
60399	38460	1194048	0	790	0
60627	38460	1194048	0	790	0
60855	38460	1194048	0	790	0
61083	38460	1194048	0	790	0
61311	38460	1194048	0	790	0
61539	38460	1194048	0	790	0
61767	38460	1194048	0	790	0
61995	38460	1194048	0	790	0
62223	38460	1194048	0	790	0
62451	38460	1194048	0	790	0
62679	38460	1194048	0	790	0
62907	38460	1194048	0	790	0
63135	38460	1194048	0	790	0
63363	38460	1194048	0	790	0
63542	38322	1194048	0	790	0
63684	38144	1194048	0	790	0
63799	37944	1194048	0	790	0
63682	37768	1194048	0	790	0
63635	37542	1194048	0	790	0
63568	37327	1194048	0	790	0
63430	37153	1194048	0	790	0
63397	36925	1194048	0	790	0
63461	36703	1194048	0	790	0
63510	36477	1194048	0	790	0
63517	36249	1194048	0	790	0
63505	36021	1194048	0	790	0
63493	35793	1194048	0	790	0
63478	35565	1194048	0	790	0
63435	35341	1194048	0	790	0
63386	35116	1194048	0	790	0
63279	34910	1194048	0	790	0
63137	34730	1194048	0	790	0
62909	34706	1194048	0	790	0
62698	34649	1194048	0	790	0
62518	34499	1194048	0	790	0
62389	34306	1194048	0	790	0
62174	34221	1194048	0	790	0
61964	34122	1194048	0	790	0
61766	34014	1194048	0	790	0
61559	33917	1194112	0	790	0
61336	33857	1194240	0	790	0
61110	33877	1194240	0	790	0
60909	33989	1194240	0	790	0
60735	34141	1194048	0	790	0
60621	34339	1194048	0	790	0
60736	34514	1194176	0	790	0
60947	34588	1194240	0	790	0
61174	34605	1194112	0	790	0
61399	34551	1194112	0	790	0
61581	34663	1194176	0	790	0
61558	34892	1194112	0	790	0
61453	35097	1194112	0	790	0
61266	35220	1194112	0	790	0
61057	35317	1194176	0	790	0
60880	35470	1194176	0	790	0
60748	35662	1194112	0	790	0
60616	35854	1194112	0	790	0
60484	36046	1194112	0	790	0
60352	36238	1194176	0	790	0
60220	36430	1194304	0	790	0
60100	36628	1194240	0	790	0
59998	36834	1194176	0	790	0
59951	37059	1194240	0	790	0
60009	37309	1194112	0	790	0
60223	37386	1194240	0	790	0
60451	37415	1194240	0	790	0
60674	37357	1194304	0	790	0
60867	37237	1194048	0	790	0
60993	37044	1194048	0	790	0
61005	36815	1194112	0	790	0
61111	36618	1194176	0	790	0
61261	36444	1194112	0	790	0
61429	36288	1194112	0	790	0
61597	36128	1194112	0	790	0
61537	35916	1194176	0	790	0
61412	35724	1194304	0	790	0
61270	35544	1194304	0	790	0
61334	35323	1194176	0	790	0
61465	35147	1194112	0	790	0
61604	35000	1194112	0	790	0
61393	35031	1194112	0	790	0
61301	35231	1194112	0	790	0
61301	35459	1194176	0	790	0
61201	35656	1194432	0	790	0
61205	35892	1194368	0	790	0
61217	36116	1194176	0	790	0
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/gm player.Die()	2	死亡
/gm player.Revive()	2	复活
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
