CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.AddBuff(0,99,377,1,7200)	2	开启无敌
/gm player.SwitchMap(1,28713,33146,1056768)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.SetPosition(21857, 23565, 1048000)	15	设置坐标
/cmd local O = KG3DEngine.Get3DEngineOption();O.fCameraAngle = 0.84;KG3DEngine.Set3DEngineOption(O)	1	调整广角48
/gm player.Die()	2	自杀
/cmd TurnTo(85);SetCameraStatus(2000, 1, 2.42, -0.217);	20	调整面向
/cmd CreateEmptyFile("perfeye_start")	180	采集数据
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/gm player.Stop()	2	玩家停止
/gm player.Revive()	2	复活
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
