CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(569,1,408, 348, 1056832)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd CreateEmptyFile("perfeye_start")	20	采集数据
/cmd CustomRunMap.SetRunMapCount(1)	1	设置跑图来回次数
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
408	348	1056832	0	569	0
574	482	1056768	0	569	0
744	612	1056640	0	569	0
914	742	1056640	0	569	0
1084	872	1056576	0	569	0
1254	1002	1056576	0	569	0
1422	1130	1056576	0	569	0
1590	1258	1056576	0	569	0
1758	1386	1056512	0	569	0
1928	1516	1056512	0	569	0
2098	1646	1056512	0	569	0
2268	1776	1056512	0	569	0
2438	1906	1056512	0	569	0
2553	2076	1056512	0	569	0
2608	2286	1056512	0	569	0
2648	2496	1056512	0	569	0
2712	2698	1056512	0	569	0
2776	2902	1056512	0	569	0
2830	3112	1056512	0	569	0
2874	3343	1056512	0	569	0
2914	3553	1056512	0	569	0
2954	3763	1056512	0	569	0
2994	3971	1056576	0	569	0
3034	4181	1056576	0	569	0
3191	4319	1056576	0	569	0
3361	4449	1056576	0	569	0
3531	4579	1056576	0	569	0
3701	4706	1056576	0	569	0
3871	4826	1056576	0	569	0
4041	4946	1056576	0	569	0
4211	5066	1056576	0	569	0
4384	5184	1056512	0	569	0
4564	5304	1056512	0	569	0
4762	5436	1056512	0	569	0
4942	5556	1056512	0	569	0
5122	5676	1056576	0	569	0
5300	5794	1056512	0	569	0
5480	5914	1056512	0	569	0
5675	5969	1056512	0	569	0
5885	5959	1056512	0	569	0
6095	5949	1056512	0	569	0
6305	5939	1056512	0	569	0
6515	5929	1056512	0	569	0
6722	5919	1056576	0	569	0
6932	5909	1056576	0	569	0
7142	5899	1056576	0	569	0
7352	5889	1056576	0	569	0
7562	5879	1056576	0	569	0
7756	5805	1056576	0	569	0
7946	5715	1056576	0	569	0
8136	5625	1056512	0	569	0
8334	5504	1056512	0	569	0
8514	5394	1056448	0	569	0
8694	5284	1056448	0	569	0
8874	5174	1056512	0	569	0
9057	5061	1057216	0	569	0
