CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.AddBuff(0,99,377,1,7200)	2	开启无敌
/gm player.SwitchMap(581,20298,21176,1059264)	30	切换地图
/gm player.SetPosition(20298,21176,1059264)	20	设置坐标
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd CreateEmptyFile("perfeye_start")	20	采集数据
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
20297	21165	1059264	0	581	0
20473	21277	1059264	0	581	0
20649	21387	1059264	0	581	0
20825	21497	1059264	0	581	0
20759	21695	1059264	0	581	0
20693	21893	1059264	0	581	0
20627	22091	1059264	0	581	0
20567	22295	1059264	0	581	0
20512	22504	1059264	0	581	0
20457	22713	1059264	0	581	0
20402	22922	1059264	0	581	0
20347	23131	1059264	0	581	0
20507	23267	1059264	0	581	0
20705	23333	1059264	0	581	0
20903	23399	1059264	0	581	0
21101	23465	1059264	0	581	0
21299	23531	1059264	0	581	0
21497	23597	1059264	0	581	0
21695	23663	1059264	0	581	0
21839	23511	1059264	0	581	0
21938	23324	1059264	0	581	0
22037	23137	1059264	0	581	0
22136	22950	1059264	0	581	0
22226	22763	1059264	0	581	0
22314	22576	1059264	0	581	0
22500	22496	1059264	0	581	0
22698	22584	1059264	0	581	0
22888	22680	1059264	0	581	0
23075	22779	1059264	0	581	0
23262	22878	1059200	0	581	0
23449	22977	1059200	0	581	0
23636	23076	1059200	0	581	0
23823	23175	1059200	0	581	0
24010	23274	1059200	0	581	0
24197	23373	1059200	0	581	0
24379	23482	1059200	0	581	0
24555	23603	1059200	0	581	0
24467	23800	1059200	0	581	0
24379	23998	1059200	0	581	0
24291	24196	1059136	0	581	0
24206	24394	1059200	0	581	0
24129	24592	1059136	0	581	0
24052	24790	1059200	0	581	0
23975	24988	1059200	0	581	0
23899	25184	1059008	0	581	0
23825	25380	1057792	0	581	0
23748	25578	1057664	0	581	0
23557	25668	1057600	0	581	0
23348	25712	1057600	0	581	0
23139	25756	1057536	0	581	0
22930	25800	1057536	0	581	0
22721	25844	1057536	0	581	0
22512	25896	1057536	0	581	0
22303	25951	1057536	0	581	0
22094	26006	1057536	0	581	0
21888	26028	1057536	0	581	0
21690	25962	1057536	0	581	0
21492	25896	1057536	0	581	0
21294	25830	1057536	0	581	0
21096	25764	1057536	0	581	0
20898	25698	1057600	0	581	0
20700	25632	1057600	0	581	0
20507	25566	1057600	0	581	0
20324	25465	1057536	0	581	0
20159	25322	1057472	0	581	0
19994	25179	1057472	0	581	0
19829	25036	1057472	0	581	0
19664	24893	1057536	0	581	0
19485	24785	1057536	0	581	0
19296	24697	1057536	0	581	0
19477	24810	1057536	0	581	0
19620	24964	1057536	0	581	0
19763	25118	1057536	0	581	0
19944	25211	1057472	0	581	0
20124	25320	1057472	0	581	0
20302	25438	1057536	0	581	0
20382	25630	1057600	0	581	0
20294	25817	1057600	0	581	0
20207	26007	1058112	0	581	0
20123	26197	1059008	0	581	0
20035	26388	1059328	0	581	0
19947	26586	1059328	0	581	0
19812	26740	1058880	0	581	0
19726	26933	1057984	0	581	0
19639	27129	1057536	0	581	0
19509	27283	1057536	0	581	0
19421	27481	1057536	0	581	0
19334	27679	1057536	0	581	0
19257	27877	1057536	0	581	0
19182	28071	1057664	0	581	0
19105	28269	1057664	0	581	0
18913	28210	1057536	0	581	0
18728	28100	1057536	0	581	0
18535	28026	1057536	0	581	0
18348	27916	1057536	0	581	0
18520	28041	1057536	0	581	0
18696	28162	1057536	0	581	0
18875	28270	1057536	0	581	0
19052	28389	1057536	0	581	0
19233	28484	1057536	0	581	0
19409	28594	1057536	0	581	0
19585	28704	1057536	0	581	0
19761	28814	1057536	0	581	0
19937	28924	1057536	0	581	0
20113	29034	1057536	0	581	0
20289	29144	1057536	0	581	0
20465	29254	1057536	0	581	0
20641	29364	1057536	0	581	0
20520	29540	1057664	0	581	0
20399	29716	1057664	0	581	0
20278	29892	1057664	0	581	0
20465	29991	1057536	0	581	0
20652	30090	1057536	0	581	0
20839	30189	1057536	0	581	0
21026	30288	1057536	0	581	0
21213	30387	1057536	0	581	0
21400	30486	1057664	0	581	0
21508	30312	1057536	0	581	0
21629	30136	1057536	0	581	0
21750	29960	1057536	0	581	0
21871	29784	1057536	0	581	0
21992	29608	1057664	0	581	0
22196	29583	1057664	0	581	0
22405	29605	1057600	0	581	0
22594	29517	1057664	0	581	0
22781	29418	1057664	0	581	0
22968	29319	1057664	0	581	0
23155	29209	1057600	0	581	0
23354	29142	1057536	0	581	0
23530	29263	1057600	0	581	0
23706	29384	1057600	0	581	0
23882	29505	1057600	0	581	0
24058	29626	1057600	0	581	0
24234	29747	1057472	0	581	0
24410	29868	1057472	0	581	0
24583	29991	1057344	0	581	0
24748	30117	1057344	0	581	0
24902	30260	1057280	0	581	0
25056	30403	1057280	0	581	0
25210	30546	1057280	0	581	0
25364	30694	1057280	0	581	0
25412	30892	1057280	0	581	0
25225	31002	1057280	0	581	0
25039	31112	1057280	0	581	0
24873	31235	1057280	0	581	0
24774	31422	1057280	0	581	0
24742	31622	1057280	0	581	0
24899	31767	1057280	0	581	0
25022	31931	1057280	0	581	0
25231	31975	1057280	0	581	0
25411	32065	1057280	0	581	0
25620	32105	1057280	0	581	0
25762	31958	1057280	0	581	0
25894	31793	1057280	0	581	0
26002	31619	1057280	0	581	0
26134	31454	1057280	0	581	0
26266	31289	1057280	0	581	0
26398	31124	1057280	0	581	0
26557	30983	1057280	0	581	0
26766	30983	1057280	0	581	0
26979	30983	1057280	0	581	0
27199	30983	1057280	0	581	0
27351	30842	1057280	0	581	0
27431	30641	1057280	0	581	0
27575	30481	1057280	0	581	0
27674	30294	1057280	0	581	0
27773	30107	1057280	0	581	0
27861	29920	1057280	0	581	0
27949	29733	1057280	0	581	0
28037	29546	1057280	0	581	0
28125	29361	1057280	0	581	0
28213	29174	1057344	0	581	0
28401	29277	1057344	0	581	0
28578	29400	1057344	0	581	0
28721	29554	1057280	0	581	0
28864	29708	1057280	0	581	0
29077	29749	1057280	0	581	0
29277	29692	1057280	0	581	0
29417	29537	1057344	0	581	0
29507	29356	1057344	0	581	0
29588	29165	1057280	0	581	0
