CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(108,69501,71258,1073088)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.SetRepresentID(5, 1544);player.SetRepresentID(6, 0)	5	切换衣服
/gm player.SetRepresentID(11, 1544);player.SetRepresentID(12, 0);	5	切换衣服
/gm player.SetRepresentID(8, 1544);player.SetRepresentID(9, 0);	5	切换衣服
/gm player.SetRepresentID(14, 1544);player.SetRepresentID(15, 0);	5	切换衣服
/cmd GetClientPlayer().HideHat(true)	5	切换头发
/gm player.SetRepresentID(1,1717)	5	切换头发
/cmd TurnTo(68);	10	调整面向
/cmd CreateEmptyFile("perfeye_start")	20	开始采集
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
69501	71258	1073088	10	108	1
69495	71048	1073088	0	108	0
69495	70839	1073088	0	108	0
69495	70623	1073088	0	108	0
69495	70403	1073088	0	108	0
69495	70163	1073088	0	108	0
69495	69943	1073088	0	108	0
69495	69723	1073088	0	108	0
69495	69503	1073088	0	108	0
69495	69283	1073152	0	108	0
69495	69063	1072384	0	108	0
69495	68843	1072384	0	108	0
69495	68623	1072384	0	108	0
69495	68403	1072384	0	108	0
69495	68163	1072384	0	108	0
69495	67923	1072384	0	108	0
69495	67703	1072384	10	108	1
69356	67553	1072384	0	108	0
69147	67575	1072384	0	108	0
68938	67597	1072384	0	108	0
68729	67618	1072384	0	108	0
68517	67624	1072384	0	108	0
68307	67624	1072384	0	108	0
68098	67624	1072384	0	108	0
67889	67623	1072384	0	108	0
67680	67612	1072384	0	108	0
67471	67601	1072384	0	108	0
67262	67590	1072384	0	108	0
67055	67579	1072320	0	108	0
66846	67568	1072320	0	108	0
66637	67557	1072320	0	108	0
66430	67546	1072384	0	108	0
66221	67535	1072384	0	108	0
66012	67524	1072384	5	108	1
65875	67675	1072384	0	108	0
65849	67882	1072384	0	108	0
65869	68091	1072384	0	108	0
65880	68300	1072384	0	108	0
65873	68529	1072384	0	108	0
65862	68738	1072384	0	108	0
65851	68947	1072384	0	108	0
65840	69156	1072384	0	108	0
65829	69365	1072384	0	108	0
65817	69593	1072384	0	108	0
65804	69840	1072384	0	108	0
65793	70049	1072384	0	108	0
65782	70258	1072384	0	108	0
65770	70486	1072384	0	108	0
65567	70460	1072384	0	108	0
65358	70505	1072384	0	108	0
65172	70591	1072384	5	108	1
64962	70623	1072384	0	108	0
64745	70623	1072384	0	108	0
64877	70457	1072448	0	108	0
64699	70348	1072384	0	108	0
64488	70322	1072384	0	108	0
64276	70330	1072384	0	108	0
64201	70523	1072384	0	108	0
64203	70733	1072384	0	108	0
64203	70953	1072384	0	108	0
64203	71173	1072384	0	108	0
64190	71382	1072384	0	108	0
64162	71610	1072384	0	108	0
64136	71819	1072384	0	108	0
64103	72028	1072384	0	108	0
64077	72237	1072384	0	108	0
64062	72446	1072384	0	108	0
64041	72655	1072384	0	108	0
64019	72864	1072384	0	108	0
64008	73073	1072384	0	108	0
64003	73283	1072384	0	108	0
64039	73492	1072384	0	108	0
64094	73701	1072448	0	108	0
64149	73910	1072384	0	108	0
64214	74133	1072384	0	108	0
64306	74312	1072448	0	108	0
64516	74314	1072448	0	108	0
64725	74308	1072448	0	108	0
64934	74281	1072384	0	108	0
65143	74266	1072384	0	108	0
65352	74255	1072384	0	108	0
65561	74244	1072384	0	108	0
65770	74233	1072448	0	108	0
65979	74222	1072448	0	108	0
66188	74211	1072384	0	108	0
66397	74200	1072384	0	108	0
66606	74189	1072384	0	108	0
66815	74185	1072384	0	108	0
67026	74185	1072384	0	108	0
67235	74204	1072384	0	108	0
67444	74237	1072384	0	108	0
67653	74270	1072384	0	108	0
67862	74303	1072384	0	108	0
68071	74336	1072384	0	108	0
68280	74369	1072384	0	108	0
68489	74392	1072384	0	108	0
68698	74414	1072448	0	108	0
68907	74436	1072448	3	108	1
69116	74458	1072448	0	108	0
69325	74480	1072448	0	108	0
69534	74502	1072448	0	108	0
69661	74677	1072448	0	108	0
69750	74871	1072448	0	108	0
69819	75071	1072448	0	108	0
69857	75280	1072448	0	108	0
69868	75510	1072448	0	108	0
69868	75720	1072448	0	108	0
69893	75929	1072448	0	108	0
69924	76138	1072448	0	108	0
69943	76347	1072448	0	108	0
69943	76556	1072448	0	108	0
69943	76766	1072448	0	108	0
69940	76976	1072448	0	108	0
69919	77185	1072448	0	108	0
69864	77407	1072448	0	108	0
69816	77610	1072448	0	108	0
69805	77819	1072448	0	108	0
69794	78028	1072448	0	108	0
69783	78237	1072448	0	108	0
69774	78446	1072448	0	108	0
69766	78655	1072448	0	108	0
69766	78864	1072448	0	108	0
69766	79073	1072448	0	108	0
69766	79282	1072448	0	108	0
69766	79491	1072448	0	108	0
69766	79707	1072448	0	108	0
69766	79926	1072448	0	108	0
69766	80146	1072512	0	108	0
69766	80360	1071744	0	108	0
69766	80569	1070848	0	108	0
69766	80774	1070336	0	108	0
69766	80983	1070336	5	108	1
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/gm player.Die()	2	死亡
/gm player.Revive()	2	复活
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
