CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/cmd RemoteCallToServer('OnResetMapRequest', 723)	2	重置副本进度
/gm player.SwitchMap(723,29393,10165,1620736)	30	切换地图
/gm player.SetPosition(33872,9847,1614784)	20	等待剧情
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.GetScene().SetProgress(1,true);player.GetScene().SetProgress(2,true);player.GetScene().SetProgress(3,true);player.GetScene().SetProgress(4,true);	2	跳过流程
/cmd CreateEmptyFile("perfeye_start")	20	开始采集
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
33872	9847	1614784	0	723	0
33627	9840	1615424	0	723	0
33423	9840	1615872	0	723	0
33172	9840	1616448	0	723	0
32970	9851	1616768	0	723	0
32766	9865	1617152	0	723	0
32562	9885	1617408	0	723	0
32358	9905	1617728	0	723	0
32156	9925	1618112	0	723	0
31952	9945	1618368	0	723	0
31748	9965	1618624	0	723	0
31544	9985	1618816	0	723	0
31340	10005	1619008	0	723	0
31093	10030	1619328	0	723	0
30893	10050	1619456	0	723	0
30646	10071	1619904	0	723	0
30444	10083	1620160	0	723	0
30195	10098	1620352	0	723	0
29991	10100	1620416	0	723	0
29787	10100	1620608	0	723	0
29583	10100	1620736	0	723	0
29379	10100	1620736	0	723	0
29175	10100	1620672	0	723	0
28971	10092	1620544	0	723	0
28767	10080	1620416	0	723	0
28563	10070	1620416	0	723	0
28359	10062	1620416	0	723	0
28153	10060	1620416	0	723	0
27949	10066	1620416	0	723	0
27745	10081	1620416	0	723	0
27859	10257	1620480	0	723	0
28029	10378	1620416	0	723	0
28183	10514	1620416	0	723	0
28335	10654	1620416	0	723	0
28487	10794	1620544	0	723	0
28643	10926	1620672	0	723	0
28800	11058	1620736	0	723	0
28964	11182	1620736	0	723	0
29128	11306	1620672	0	723	0
29292	11430	1620736	0	723	0
29456	11554	1620608	0	723	0
29456	11799	1620224	0	723	0
29427	11997	1620096	0	723	0
29378	12194	1620032	0	723	0
29313	12384	1619776	0	723	0
29248	12574	1619456	0	723	0
29212	12812	1618752	0	723	0
29214	13016	1618560	0	723	0
29253	13217	1618112	0	723	0
29318	13408	1617792	0	723	0
29435	13576	1617472	0	723	0
29588	13710	1617152	0	723	0
29781	13867	1616448	0	723	0
29948	14050	1615744	0	723	0
30111	14232	1615040	0	723	0
30276	14417	1614272	0	723	0
30414	14568	1613888	0	723	0
30554	14720	1613632	0	723	0
30690	14870	1613376	0	723	0
30820	15022	1613056	0	723	0
30980	15212	1612672	0	723	0
31109	15366	1612352	0	723	0
31269	15556	1611904	0	723	0
31427	15744	1611328	0	723	0
31585	15932	1610624	0	723	0
31733	16125	1609856	0	723	0
31879	16316	1609024	0	723	0
32029	16511	1608320	0	723	0
32181	16710	1607872	0	723	0
32304	16872	1607616	0	723	0
32425	17042	1607360	0	723	0
32539	17214	1607168	0	723	0
32651	17386	1607104	0	723	0
32761	17563	1606976	0	723	0
32861	17737	1606784	0	723	0
32973	17957	1606336	0	723	0
33042	18145	1605888	0	723	0
33108	18341	1605568	0	723	0
33157	18543	1605376	0	723	0
33177	18747	1605056	0	723	0
33133	18948	1604864	0	723	0
33024	19125	1604800	0	723	0
32910	19299	1604736	0	723	0
32786	19463	1604736	0	723	0
32663	19626	1604800	0	723	0
32540	19789	1604864	0	723	0
32416	19949	1604672	0	723	0
32229	20114	1604672	0	723	0
32044	20204	1604672	0	723	0
31845	20261	1604736	0	723	0
31643	20293	1604928	0	723	0
31439	20325	1605056	0	723	0
31235	20357	1605056	0	723	0
31031	20386	1605120	0	723	0
30827	20414	1605120	0	723	0
30623	20442	1605184	0	723	0
30419	20471	1605248	0	723	0
30225	20543	1605312	0	723	0
30045	20645	1605248	0	723	0
29881	20768	1605120	0	723	0
29737	20918	1604864	0	723	0
29593	21070	1604672	0	723	0
29450	21220	1604544	0	723	0
29310	21364	1604480	0	723	0
29166	21508	1604416	0	723	0
29023	21651	1604160	0	723	0
28879	21795	1604160	0	723	0
28735	21939	1604032	0	723	0
28591	22083	1603904	0	723	0
28447	22227	1603904	0	723	0
28297	22371	1603968	0	723	0
28145	22515	1603904	0	723	0
27993	22659	1603968	0	723	0
27841	22803	1604032	0	723	0
27689	22947	1604096	0	723	0
27537	23091	1604032	0	723	0
27385	23235	1604032	0	723	0
27233	23379	1604032	0	723	0
27081	23523	1603968	0	723	0
26929	23667	1603968	0	723	0
26777	23811	1603968	0	723	0
26625	23955	1603968	0	723	0
26490	24111	1603968	0	723	0
26373	24281	1604032	0	723	0
26261	24456	1604032	0	723	0
26155	24635	1604096	0	723	0
26051	24815	1603968	0	723	0
25947	24995	1603776	0	723	0
25843	25175	1603648	0	723	0
25739	25355	1603584	0	723	0
25635	25535	1603584	0	723	0
25525	25711	1603456	0	723	0
25380	25856	1603328	0	723	0
25203	25963	1603200	0	723	0
25019	26049	1602944	0	723	0
24835	26133	1602752	0	723	0
24651	26217	1602688	0	723	0
24467	26301	1602560	0	723	0
24283	26385	1602560	0	723	0
24099	26469	1602624	0	723	0
23915	26553	1602624	0	723	0
23731	26639	1602624	0	723	0
23547	26735	1602624	0	723	0
23368	26840	1602624	0	723	0
23196	26956	1602624	0	723	0
23046	27096	1602624	0	723	0
22932	27270	1602624	0	723	0
22838	27454	1602624	0	723	0
22789	27655	1602624	0	723	0
22872	27840	1602624	0	723	0
22984	28012	1602624	0	723	0
23096	28184	1602624	0	723	0
23208	28356	1602624	0	723	0
23320	28528	1602624	0	723	0
23432	28700	1602624	0	723	0
23560	28861	1602624	0	723	0
23704	29013	1602624	0	723	0
23848	29165	1602624	0	723	0
23992	29317	1602624	0	723	0
24136	29469	1602496	0	723	0
24280	29621	1602496	0	723	0
24424	29773	1602496	0	723	0
24603	29940	1602496	0	723	0
24722	30108	1602560	0	723	0
24834	30280	1602400	0	723	0
24945	30447	1602255	0	723	0
25071	30641	1602095	0	723	0
25183	30836	1602035	0	723	0
25282	31043	1602368	0	723	0
25354	31235	1602688	0	723	0
25417	31429	1602880	0	723	0
25379	31631	1602880	0	723	0
25315	31827	1603008	0	723	0
25252	32024	1603072	0	723	0
25213	32227	1603008	0	723	0
25181	32431	1603008	0	723	0
25147	32635	1603136	0	723	0
25105	32839	1603392	0	723	0
25056	33041	1603648	0	723	0
24996	33241	1603840	0	723	0
24936	33438	1604032	0	723	0
24856	33630	1604160	0	723	0
24759	33812	1604160	0	723	0
24642	33983	1604224	0	723	0
24486	34114	1604288	0	723	0
24283	34160	1604288	0	723	0
24079	34194	1604224	0	723	0
23888	34268	1604160	0	723	0
23743	34412	1604416	0	723	0
23643	34638	1604992	0	723	0
23676	34836	1605376	0	723	0
23708	35040	1605504	0	723	0
23740	35244	1605504	0	723	0
23788	35445	1605632	0	723	0
23938	35582	1605888	0	723	0
24112	35682	1606016	0	723	0
24267	35812	1606208	0	723	0
24407	35963	1606400	0	723	0
24529	36130	1606528	0	723	0
24641	36302	1606592	0	723	0
24753	36478	1606720	0	723	0
24865	36654	1607040	0	723	0
24977	36830	1607360	0	723	0
25087	37004	1607872	0	723	0
25198	37179	1608320	0	723	0
25307	37352	1608896	0	723	0
25419	37528	1609280	0	723	0
25531	37704	1609536	0	723	0
25642	37879	1609856	0	723	0
25754	38055	1610240	0	723	0
25863	38228	1610624	0	723	0
25972	38401	1611072	0	723	0
26080	38573	1611584	0	723	0
26181	38747	1612096	0	723	0
26279	38923	1612544	0	723	0
26379	39103	1613056	0	723	0
26500	39320	1613760	0	723	0
26598	39496	1614272	0	723	0
26696	39672	1614848	0	723	0
26821	39889	1615488	0	723	0
26923	40065	1616000	0	723	0
27104	40165	1616192	0	723	0
27305	40188	1616256	0	723	0
27510	40166	1616320	0	723	0
27695	40074	1616320	0	723	0
27875	39973	1616192	0	723	0
28054	39867	1616000	0	723	0
28224	39750	1615872	0	723	0
28384	39628	1615616	0	723	0
28541	39500	1615360	0	723	0
28693	39367	1615040	0	723	0
28833	39223	1614784	0	723	0
28971	39072	1614528	0	723	0
29116	38924	1614272	0	723	0
29282	38800	1614016	0	723	0
29464	38702	1613824	0	723	0
29648	38606	1613568	0	723	0
29832	38510	1613312	0	723	0
30016	38414	1613120	0	723	0
30200	38318	1612928	0	723	0
30384	38222	1612736	0	723	0
30568	38126	1612544	0	723	0
30752	38030	1612352	0	723	0
30935	37933	1612160	0	723	0
31115	37829	1611968	0	723	0
31293	37721	1611840	0	723	0
31468	37609	1611648	0	723	0
31640	37497	1611520	0	723	0
31812	37381	1611328	0	723	0
31982	37260	1611200	0	723	0
32146	37136	1611072	0	723	0
32310	37012	1611008	0	723	0
32474	36888	1611008	0	723	0
32638	36764	1611072	0	723	0
32800	36642	1611456	0	723	0
32997	36494	1612032	0	723	0
33194	36376	1612800	0	723	0
33410	36295	1613440	0	723	0
33647	36217	1613696	0	723	0
33842	36154	1613632	0	723	0
34033	36092	1613504	0	723	0
34226	36029	1613312	0	723	0
34414	35953	1613120	0	723	0
34606	35873	1612928	0	723	0
34798	35793	1612672	0	723	0
34990	35713	1612480	0	723	0
35180	35632	1612160	0	723	0
35355	35523	1611968	0	723	0
35515	35391	1611776	0	723	0
35677	35263	1611776	0	723	0
35851	35161	1611968	0	723	0
36077	35058	1612160	0	723	0
36266	34987	1612288	0	723	0
36463	34950	1612416	0	723	0
36665	34955	1612480	0	723	0
36865	35010	1612672	0	723	0
37059	35080	1612736	0	723	0
37251	35158	1612928	0	723	0
37443	35238	1613184	0	723	0
37631	35316	1613376	0	723	0
