[且寻天玄细细询]
x	y	z	stay	mapid	action
26741	111417	1124608	0	653	0
26928	111307	1124608	0	653	0
27115	111197	1124544	0	653	0
27302	111087	1124480	0	653	0
27489	110977	1124480	0	653	0
27665	110867	1124480	0	653	0
27841	110757	1124480	0	653	0
28017	110647	1124480	0	653	0
28200	110537	1124480	0	653	0
28387	110427	1124480	0	653	0
28574	110317	1124544	0	653	0
28761	110207	1124928	0	653	0
28778	110197	1124928	0	653	0
Dialogue=1
[操戟甲士砺身手]
x	y	z	stay	mapid	action
28778	110197	1124928	0	653	0
28961	110084	1124928	0	653	0
29137	109963	1124928	0	653	0
29305	109846	1125440	0	653	0
29470	109732	1126080	0	653	0
29639	109616	1126784	0	653	0
29815	109495	1126784	0	653	0
29991	109374	1126720	0	653	0
30074	109370	1126720	0	653	0
Sleep=10
Fight=1
[九天重玄天探出路]
x	y	z	stay	mapid	action
30118	109518	1126720	0	653	0
30283	109386	1126720	0	653	0
30448	109254	1126720	0	653	0
30613	109122	1126720	0	653	0
30778	108985	1126656	0	653	0
30932	108842	1126592	0	653	0
31086	108699	1126592	0	653	0
31176	108507	1126592	0	653	0
31187	108298	1126592	0	653	0
31198	108089	1126592	0	653	0
31209	107882	1126912	0	653	0
31220	107679	1127744	0	653	0
31236	107471	1128448	0	653	0
31260	107261	1129152	0	653	0
31291	107058	1129792	0	653	0
31346	106862	1130560	0	653	0
31406	106655	1131328	0	653	0
31461	106452	1131520	0	653	0
31524	106251	1131520	0	653	0
31605	106053	1131520	0	653	0
31708	105866	1131520	0	653	0
31886	105750	1131520	0	653	0
Sleep=10
Fight=1
[执剑甲卫守庭关]
x	y	z	stay	mapid	action
32234	105558	1131520	0	653	0
32366	105393	1131520	0	653	0
32498	105228	1131520	0	653	0
32630	105063	1131520	0	653	0
32759	104895	1131520	0	653	0
32880	104719	1131520	0	653	0
Dialogue=1
[玄天龙将威震天]
x	y	z	stay	mapid	action
32861	104719	1131520	0	653	0
33070	104719	1131520	0	653	0
33289	104719	1131520	0	653	0
33507	104719	1131520	0	653	0
33716	104719	1131456	0	653	0
33925	104710	1131440	0	653	0
34134	104699	1130752	0	653	0
34343	104699	1130752	0	653	0
34552	104731	1130752	0	653	0
34761	104764	1129872	0	653	0
34970	104788	1129728	0	653	0
35171	104855	1129728	0	653	0
35369	104932	1128832	0	653	0
35567	105009	1128000	0	653	0
35765	105086	1128000	0	653	0
35965	105158	1128128	0	653	0
36174	105183	1128128	0	653	0
36383	105194	1128192	0	653	0
36593	105201	1128192	0	653	0
36802	105158	1128320	0	653	0
36992	105064	1128768	0	653	0
37161	104938	1128832	0	653	0
37337	104817	1128832	0	653	0
37513	104696	1128832	0	653	0
37689	104585	1128832	0	653	0
37873	104475	1128832	0	653	0
38060	104376	1128768	0	653	0
38247	104277	1128768	0	653	0
38434	104178	1128832	0	653	0
Fight=1
[玄天龙将威震天]
x	y	z	stay	mapid	action
38570	104106	1128832	0	653	0
38757	103996	1128832	0	653	0
38948	103899	1128832	0	653	0
39146	103821	1128768	0	653	0
39344	103744	1128832	0	653	0
39542	103667	1128768	0	653	0
Dialogue=1
[乾坤九应缘开]
x	y	z	stay	mapid	action
39650	103625	1128832	0	653	0
39835	103513	1128832	0	653	0
40005	103386	1129152	0	653	0
40178	103262	1129728	0	653	0
40385	103235	1129728	0	653	0
Btn=Event.Dispatch(EventType.OnSceneInteractByHotkey,false)
Sleep=5
[玄宫原在村之北]
x	y	z	stay	mapid	action
40527	103306	1129728	0	653	0
40533	103097	1129728	0	653	0
40610	102901	1129728	0	653	0
40745	102738	1129728	0	653	0
40928	102633	1129728	0	653	0
41126	102563	1129728	0	653	0
41324	102494	1129728	0	653	0
41522	102406	1129728	0	653	0
41720	102318	1129728	0	653	0
41912	102234	1130176	0	653	0
42093	102133	1130688	0	653	0
42251	101994	1131328	0	653	0
42394	101841	1131520	0	653	0
42533	101680	1131648	0	653	0
42670	101521	1131904	0	653	0
[击退山贼护稻香]
x	y	z	stay	mapid	action
43327	99293	1135040	0	653	0
43349	99500	1134848	0	653	0
43371	99709	1134656	0	653	0
43389	99918	1134464	0	653	0
43390	100124	1134208	0	653	0
43376	100331	1133952	0	653	0
43318	100537	1133888	0	653	0
43212	100720	1133760	0	653	0
43094	100893	1133504	0	653	0
42959	101051	1132992	0	653	0
42813	101196	1132352	0	653	0
42643	101069	1131776	0	653	0
42614	100853	1131456	0	653	0
42614	100637	1131392	0	653	0
42616	100427	1131008	0	653	0
42627	100221	1130880	0	653	0
42669	100018	1130560	0	653	0
42735	99826	1130240	0	653	0
42801	99630	1130048	0	653	0
42842	99422	1129856	0	653	0
42875	99215	1129728	0	653	0
42908	99008	1129536	0	653	0
42941	98805	1129024	0	653	0
42979	98606	1128576	0	653	0
43034	98408	1128064	0	653	0
43115	98207	1127424	0	653	0
43197	98016	1126976	0	653	0
43291	97821	1126272	0	653	0
43395	97635	1125824	0	653	0
43506	97454	1125184	0	653	0
43615	97279	1124544	0	653	0
44335	95842	1119872	0	653	0
44410	95656	1118976	0	653	0
44524	95470	1118336	0	653	0
44634	95294	1118080	0	653	0
44744	95118	1117376	0	653	0
44849	94947	1117056	0	653	0
44961	94773	1116864	0	653	0
45071	94597	1116800	0	653	0
45181	94421	1116800	0	653	0
45291	94245	1116800	0	653	0
45103	94343	1116800	0	653	0
44927	94453	1116800	0	653	0
44751	94563	1116800	0	653	0
44575	94673	1116864	0	653	0
44339	94772	1116992	0	653	0
Fight=1
Sleep=5
[回禀医师陈商]
x	y	z	stay	mapid	action
44339	94772	1116864	0	653	0
44276	94562	1116864	0	653	0
44232	94353	1116864	0	653	0
44144	94155	1116864	0	653	0
44091	93951	1116928	0	653	0
Dialogue=1
Sleep=5
[回村之路险象生]
x	y	z	stay	mapid	action
44091	93951	1116928	0	653	0
44181	93761	1116992	0	653	0
44293	93589	1116480	0	653	0
44461	93473	1116032	0	653	0
44644	93371	1115584	0	653	0
44821	93248	1115264	0	653	0
44997	93142	1114624	0	653	0
45200	93063	1113856	0	653	0
45409	93024	1113152	0	653	0
45613	93041	1112384	0	653	0
45817	93064	1111744	0	653	0
46016	93085	1110784	0	653	0
46224	93107	1110272	0	653	0
46431	93106	1109696	0	653	0
46646	93074	1108992	0	653	0
46847	92994	1108416	0	653	0
47024	92886	1108032	0	653	0
47197	92768	1107776	0	653	0
47362	92641	1107456	0	653	0
47486	92470	1107264	0	653	0
47540	92269	1107008	0	653	0
47546	92054	1106688	0	653	0
47546	91850	1106176	0	653	0
47546	91646	1105344	0	653	0
47558	91438	1104640	0	653	0
47600	91227	1103872	0	653	0
47650	91024	1103296	0	653	0
47709	90828	1102720	0	653	0
47773	90631	1102400	0	653	0
