[boss:伊玛目]
x	y	z	stay	mapid	action
16367	25891	1033792	0	348	0
16367	26100	1033792	0	348	0
16367	26309	1033792	0	348	0
16367	26518	1033792	0	348	0
16367	26727	1033792	0	348	0
16367	26936	1033792	0	348	0
16367	27145	1033792	0	348	0
16367	27354	1033856	0	348	0
16367	27572	1033344	0	348	0
16367	27777	1032576	0	348	0
16367	27982	1032256	0	348	0
16367	28191	1032256	0	348	0
16367	28400	1032320	0	348	0
16367	28609	1032256	0	348	0
16367	28818	1032256	0	348	0
16367	29027	1032256	0	348	0
16367	29236	1032256	0	348	0
16367	29445	1032256	0	348	0
16367	29654	1032256	0	348	0
16367	29863	1032256	0	348	0
16367	30072	1032256	0	348	0
16367	30281	1032256	0	348	0
16367	30490	1032256	0	348	0
16367	30699	1032320	0	348	0
16367	30908	1032320	0	348	0
16367	31117	1032320	0	348	0
16367	31326	1032320	0	348	0
16367	31535	1032320	0	348	0
16367	31744	1032320	0	348	0
16367	31953	1032320	0	348	0
16367	32162	1032320	0	348	0
16367	32371	1032256	0	348	0
16367	32580	1032256	0	348	0
16367	32371	1032256	0	348	0
16367	32162	1032320	0	348	0
16367	31953	1032320	0	348	0
16367	31744	1032320	0	348	0
16367	31535	1032320	0	348	0
16367	31326	1032320	0	348	0
16367	31117	1032320	0	348	0
16367	30908	1032320	0	348	0
16367	30699	1032320	0	348	0
16367	30490	1032256	0	348	0
16367	30281	1032256	0	348	0
16367	30072	1032256	0	348	0
16367	29863	1032256	0	348	0
16367	29654	1032256	0	348	0
16367	29863	1032256	0	348	0
16367	30072	1032256	0	348	0
Sleep=30
Fight=1
Sleep=10
[结束副本]
