CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(6,64110,45677,1053056)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd TurnTo(68);	10	调整面向
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
64110	45677	1053056	10	6	1
64318	45710	1052928	0	6	0
64525	45743	1052800	0	6	0
64734	45776	1052672	0	6	0
64943	45809	1052672	0	6	0
65152	45860	1052672	0	6	0
65361	45875	1052608	0	6	0
65576	45875	1052288	0	6	0
65794	45875	1052224	0	6	0
66014	45875	1052160	0	6	0
66234	45875	1052160	0	6	0
66454	45875	1052160	0	6	0
66674	45875	1052160	0	6	0
66894	45875	1052096	0	6	0
67108	45875	1052096	0	6	0
67317	45875	1052096	0	6	0
67526	45875	1052160	0	6	0
67735	45875	1052096	10	6	1
69100	46631	1052096	0	6	0
69100	46840	1052096	0	6	0
69100	47049	1052096	0	6	0
69100	47258	1052096	0	6	0
69100	47467	1052096	0	6	0
69100	47676	1052160	0	6	0
69100	47881	1052480	0	6	0
69100	48095	1052928	0	6	0
69100	48311	1053376	0	6	0
69100	48529	1053760	0	6	0
69100	48731	1054080	0	6	0
69100	48940	1054336	0	6	0
69100	49149	1054464	0	6	0
69100	49358	1054656	0	6	0
69100	49567	1054656	0	6	0
69100	49776	1054656	0	6	0
69100	49985	1054592	0	6	0
69100	50194	1054528	0	6	0
69100	50403	1054272	10	6	1
69100	50422	1054272	0	6	0
69034	50625	1054016	0	6	0
68913	50793	1053952	0	6	0
68717	50866	1053952	0	6	0
68605	51033	1053952	0	6	0
68637	51242	1053952	0	6	0
68574	51434	1054464	0	6	0
68532	51644	1055040	0	6	0
68554	51854	1055680	0	6	0
68607	52063	1056256	0	6	0
68689	52247	1056576	0	6	0
68780	52436	1056512	0	6	0
68854	52634	1056512	0	6	0
68920	52832	1056512	0	6	0
68977	53039	1056576	0	6	0
69018	53248	1056576	0	6	0
69034	53458	1056576	0	6	0
69034	53678	1056576	0	6	0
69034	53898	1056576	0	6	0
69034	54118	1056576	0	6	0
69034	54338	1056576	0	6	0
69034	54558	1056576	0	6	0
69034	54778	1056576	0	6	0
69034	54998	1056576	0	6	0
69034	55212	1056576	0	6	0
69034	55421	1056576	0	6	0
69034	55631	1056576	0	6	0
69028	55848	1056576	0	6	0
69006	56057	1056576	0	6	0
68974	56266	1056576	0	6	0
69013	56476	1056576	0	6	0
69042	56685	1056640	0	6	0
69053	56894	1056512	0	6	0
68890	57010	1056512	0	6	0
68681	57014	1056512	0	6	0
68472	57061	1056576	0	6	0
68274	57127	1056576	0	6	0
68067	57178	1056576	0	6	0
67858	57196	1056640	0	6	0
67649	57207	1056448	0	6	0
67440	57218	1056448	0	6	0
67231	57229	1056384	0	6	0
67022	57240	1056256	0	6	0
66813	57251	1056128	0	6	0
66604	57262	1056000	0	6	0
66395	57273	1055808	0	6	0
66186	57283	1055552	0	6	0
65976	57283	1055296	0	6	0
65767	57283	1055104	0	6	0
65558	57293	1054848	0	6	0
65355	57304	1054592	0	6	0
65155	57315	1054272	0	6	0
64954	57326	1053952	0	6	0
64737	57337	1053632	0	6	0
64519	57337	1053248	0	6	0
64303	57337	1052800	0	6	0
64089	57337	1052288	0	6	0
63889	57341	1051968	0	6	0
63685	57388	1051904	0	6	0
63487	57455	1051904	0	6	0
63289	57532	1051904	0	6	0
63091	57609	1052032	0	6	0
62893	57675	1051968	0	6	0
62695	57741	1051968	10	6	1
62569	57783	1051968	0	6	0
62767	57695	1051968	0	6	0
62965	57607	1052032	0	6	0
63161	57519	1051904	0	6	0
63359	57431	1051904	0	6	0
63557	57343	1051904	0	6	0
63766	57374	1051968	0	6	0
63973	57388	1052096	0	6	0
64189	57392	1052480	0	6	0
64403	57392	1052992	0	6	0
64621	57392	1053376	0	6	0
64837	57391	1053824	0	6	0
65037	57370	1054144	0	6	0
65238	57348	1054400	0	6	0
65440	57326	1054720	0	6	0
65645	57304	1054976	0	6	0
65854	57282	1055168	0	6	0
66063	57281	1055424	0	6	0
66272	57281	1055616	0	6	0
66481	57281	1055744	0	6	0
66690	57281	1055936	0	6	0
66899	57281	1056064	0	6	0
67108	57281	1056192	0	6	0
67317	57281	1056256	0	6	0
67526	57281	1056384	0	6	0
67735	57281	1056448	0	6	0
67944	57281	1056640	0	6	0
68153	57281	1056576	0	6	0
68362	57281	1056576	0	6	0
68571	57281	1056576	0	6	0
68780	57291	1056576	0	6	0
68985	57339	1056576	0	6	0
69014	57540	1056576	0	6	0
69024	57749	1056640	0	6	0
69024	57960	1056640	0	6	0
69024	58177	1056640	0	6	0
69031	58386	1056640	0	6	0
69042	58595	1056640	0	6	0
69053	58804	1056640	0	6	0
69058	59013	1056640	0	6	0
69058	59222	1056640	0	6	0
69058	59431	1056640	0	6	0
69058	59640	1056576	0	6	0
69058	59811	1056448	0	6	0
69058	60020	1056320	0	6	0
69058	60229	1056192	0	6	0
69058	60438	1056064	0	6	0
69058	60647	1055872	0	6	0
69058	60856	1055680	0	6	0
69058	61065	1055424	0	6	0
69058	61274	1055168	0	6	0
69058	61482	1054912	0	6	0
69058	61683	1054592	0	6	0
69058	61884	1054336	0	6	0
69058	62102	1053952	0	6	0
69058	62319	1053568	0	6	0
69058	62535	1053120	0	6	0
69058	62739	1052928	0	6	0
69058	62948	1052928	0	6	0
69058	63157	1052928	10	6	1
69150	63424	1052928	0	6	0
69150	63625	1052224	0	6	0
69150	63830	1051904	0	6	0
69150	64039	1051904	0	6	0
69150	64248	1051904	0	6	0
69150	64457	1051904	0	6	0
69150	64666	1051904	0	6	0
69150	64875	1051904	0	6	0
69150	65084	1051904	0	6	0
69302	65217	1051968	0	6	0
69511	65217	1051904	0	6	0
69720	65217	1051904	10	6	1
69891	65217	1051904	0	6	0
70119	65217	1051904	0	6	0
70328	65217	1051904	0	6	0
70537	65217	1051904	0	6	0
70746	65217	1051904	0	6	0
70955	65217	1051904	0	6	0
71164	65217	1051904	0	6	0
71373	65217	1051904	0	6	0
71582	65217	1051904	0	6	0
71791	65217	1051904	0	6	0
72000	65217	1051904	0	6	0
72209	65217	1051904	0	6	0
72418	65217	1051904	0	6	0
72627	65217	1051904	0	6	0
72836	65217	1051904	0	6	0
73045	65217	1051904	0	6	0
73254	65217	1051904	0	6	0
73463	65217	1051904	0	6	0
73672	65217	1051904	0	6	0
73881	65217	1051904	0	6	0
74090	65238	1051968	0	6	0
74169	65434	1051968	0	6	0
74126	65643	1051904	0	6	0
74126	65852	1051904	0	6	0
74126	66061	1051904	0	6	0
74132	66270	1051904	0	6	0
74154	66479	1051904	0	6	0
74170	66688	1051904	0	6	0
74181	66897	1051904	0	6	0
74192	67106	1051904	0	6	0
74203	67315	1051904	0	6	0
74214	67524	1051904	0	6	0
74225	67733	1051904	0	6	0
74236	67942	1051904	0	6	0
74247	68151	1051904	0	6	0
74259	68379	1051904	0	6	0
74270	68588	1051904	0	6	0
74281	68797	1051904	0	6	0
74292	69006	1051904	0	6	0
74469	69124	1051904	0	6	0
74678	69124	1051904	0	6	0
74887	69127	1051904	0	6	0
