[一号boss:葛木寒]
x	y	z	stay	mapid	action
57523	8775	1089024	0	668	0
57318	8797	1089280	0	668	0
57111	8819	1089600	0	668	0
56903	8841	1089856	0	668	0
56694	8863	1090176	0	668	0
56491	8915	1090368	0	668	0
56303	9007	1090688	0	668	0
56124	9117	1090944	0	668	0
55955	9244	1091200	0	668	0
55805	9390	1091648	0	668	0
55694	9569	1092032	0	668	0
55596	9751	1092416	0	668	0
55498	9937	1093184	0	668	0
55399	10124	1094080	0	668	0
55286	10362	1095168	0	668	0
55198	10549	1095168	0	668	0
55110	10737	1095296	0	668	0
55022	10935	1095296	0	668	0
54934	11133	1095296	0	668	0
54846	11331	1095296	0	668	0
54758	11529	1095296	0	668	0
54670	11718	1095296	0	668	0
54575	11905	1095296	0	668	0
54476	12092	1095296	0	668	0
54377	12279	1095296	0	668	0
54319	12471	1095296	0	668	0
54502	12583	1095296	0	668	0
Sleep=10
Fight=1
[二号boss:雨轻红]
x	y	z	stay	mapid	action
54285	12418	1095296	0	668	0
54122	12287	1095296	0	668	0
53968	12144	1095296	0	668	0
53808	12006	1095296	0	668	0
53639	11879	1095296	0	668	0
53452	11769	1095296	0	668	0
53265	11679	1095296	0	668	0
53078	11591	1095296	0	668	0
52891	11503	1095296	0	668	0
52704	11415	1095296	0	668	0
52518	11327	1095680	0	668	0
52331	11239	1096064	0	668	0
52148	11149	1096384	0	668	0
51967	11046	1096768	0	668	0
51785	10941	1097088	0	668	0
51608	10835	1097408	0	668	0
51432	10725	1097664	0	668	0
51256	10615	1098048	0	668	0
51078	10506	1098304	0	668	0
50876	10482	1098432	0	668	0
50672	10534	1098688	0	668	0
50493	10647	1099008	0	668	0
50329	10803	1099520	0	668	0
50168	10945	1099968	0	668	0
50003	11075	1100416	0	668	0
49831	11192	1100800	0	668	0
49657	11311	1101312	0	668	0
49490	11423	1101760	0	668	0
49315	11543	1102208	0	668	0
49142	11661	1102720	0	668	0
48962	11761	1103040	0	668	0
48765	11849	1103552	0	668	0
48573	11934	1104192	0	668	0
48360	12026	1104896	0	668	0
48174	12100	1105472	0	668	0
47982	12176	1105920	0	668	0
47789	12253	1106432	0	668	0
47601	12330	1107008	0	668	0
47411	12408	1107456	0	668	0
47220	12489	1107968	0	668	0
47027	12572	1108352	0	668	0
46831	12658	1108864	0	668	0
46634	12745	1109312	0	668	0
46442	12828	1109760	0	668	0
46249	12914	1110272	0	668	0
46063	13000	1110976	0	668	0
45880	13108	1111744	0	668	0
45700	13220	1112448	0	668	0
45534	13338	1113216	0	668	0
45363	13458	1113920	0	668	0
45197	13576	1114752	0	668	0
45024	13690	1115584	0	668	0
44825	13746	1116480	0	668	0
44613	13746	1116672	0	668	0
44398	13747	1116608	0	668	0
44189	13758	1116480	0	668	0
43984	13775	1116032	0	668	0
43777	13797	1115648	0	668	0
43575	13823	1115072	0	668	0
43375	13856	1114432	0	668	0
43175	13889	1113856	0	668	0
42973	13922	1113280	0	668	0
42764	13955	1113152	0	668	0
42558	13985	1112768	0	668	0
42350	13985	1112384	0	668	0
42141	13967	1112256	0	668	0
41956	13866	1112192	0	668	0
41801	13723	1112320	0	668	0
41651	13590	1112960	0	668	0
41452	13541	1113536	0	668	0
41258	13491	1114304	0	668	0
41089	13382	1115264	0	668	0
40914	13266	1116032	0	668	0
40730	13157	1116864	0	668	0
40542	13060	1118080	0	668	0
40352	12965	1119168	0	668	0
40158	12873	1120576	0	668	0
39962	12811	1121280	0	668	0
39764	12742	1122176	0	668	0
39578	12664	1123456	0	668	0
39416	12534	1124800	0	668	0
39238	12636	1124928	0	668	0
39317	12833	1125184	0	668	0
39505	12929	1125888	0	668	0
39703	13006	1126144	0	668	0
39893	13081	1126656	0	668	0
40092	13160	1127424	0	668	0
40286	13240	1128256	0	668	0
40484	13329	1129088	0	668	0
40671	13414	1129600	0	668	0
40869	13502	1129920	0	668	0
41052	13584	1130560	0	668	0
41249	13673	1131456	0	668	0
41444	13759	1132224	0	668	0
41455	13973	1132224	0	668	0
41255	13937	1132672	0	668	0
41067	13844	1133760	0	668	0
40874	13790	1134336	0	668	0
40679	13741	1135360	0	668	0
40482	13689	1136576	0	668	0
40277	13633	1137920	0	668	0
40076	13565	1139072	0	668	0
39870	13505	1140160	0	668	0
39675	13447	1141568	0	668	0
39470	13361	1143040	0	668	0
39261	13315	1143360	0	668	0
39052	13305	1143360	0	668	0
38845	13328	1143296	0	668	0
38649	13408	1143168	0	668	0
38548	13597	1143168	0	668	0
38540	13802	1142976	0	668	0
38540	14009	1142912	0	668	0
38540	14227	1142144	0	668	0
38540	14428	1141760	0	668	0
38540	14631	1140586	0	668	0
38540	14840	1139288	0	668	0
38541	15041	1136576	0	668	0
38541	15254	1135744	0	668	0
38541	15470	1134656	0	668	0
38553	15680	1133632	0	668	0
38565	15890	1132650	0	668	0
38582	16099	1130944	0	668	0
38637	16301	1129984	0	668	0
38690	16496	1129152	0	668	0
38745	16705	1129088	0	668	0
38797	16914	1129024	0	668	0
38834	17119	1128768	0	668	0
38850	17319	1127872	0	668	0
38840	17535	1126912	0	668	0
38830	17740	1126400	0	668	0
38819	17958	1124864	0	668	0
38672	18105	1124800	0	668	0
38455	18107	1124928	0	668	0
38253	18107	1125248	0	668	0
38044	18107	1125376	0	668	0
37824	18107	1125504	0	668	0
37608	18107	1125824	0	668	0
37407	18107	1126080	0	668	0
37191	18107	1126336	0	668	0
36975	18130	1126912	0	668	0
36783	18203	1127168	0	668	0
36671	18379	1127232	0	668	0
36591	18574	1127488	0	668	0
36516	18761	1128000	0	668	0
36439	18958	1128192	0	668	0
36362	19150	1128128	0	668	0
36280	19343	1128512	0	668	0
36192	19529	1128576	0	668	0
36082	19703	1128448	0	668	0
35961	19877	1128448	0	668	0
35837	20050	1127936	0	668	0
35769	20250	1127936	0	668	0
35740	20459	1128000	0	668	0
35707	20667	1128128	0	668	0
35674	20872	1128448	0	668	0
35641	21078	1128640	0	668	0
35608	21282	1128832	0	668	0
35570	21488	1129024	0	668	0
35526	21693	1129280	0	668	0
35482	21897	1129600	0	668	0
35428	22106	1129408	0	668	0
35373	22315	1129664	0	668	0
35324	22524	1129600	0	668	0
35291	22733	1129600	0	668	0
35258	22942	1129600	0	668	0
35236	23151	1129536	0	668	0
35225	23360	1129664	0	668	0
Sleep=5
Fight=1
[三号boss:喜雅]
x	y	z	stay	mapid	action
25637	22443	1191424	0	668	0
25802	22586	1191488	0	668	0
25967	22729	1191360	0	668	0
26132	22872	1191296	0	668	0
26297	23007	1191168	0	668	0
26461	23139	1190848	0	668	0
26625	23269	1190464	0	668	0
26805	23384	1189568	0	668	0
26990	23483	1189504	0	668	0
27180	23573	1189440	0	668	0
27378	23661	1189440	0	668	0
27576	23749	1189440	0	668	0
27774	23837	1189440	0	668	0
27972	23925	1189440	0	668	0
28170	24013	1189440	0	668	0
28368	24101	1189440	0	668	0
28566	24189	1189440	0	668	0
28764	24277	1189504	0	668	0
28962	24365	1189440	0	668	0
29160	24453	1189504	0	668	0
29346	24534	1189760	0	668	0
29475	24691	1189568	0	668	0
29531	24891	1189376	0	668	0
29569	25095	1188992	0	668	0
29601	25311	1188992	0	668	0
29632	25510	1189504	0	668	0
29665	25719	1189632	0	668	0
29698	25928	1189952	0	668	0
29730	26129	1190656	0	668	0
29794	26338	1191296	0	668	0
29889	26532	1191936	0	668	0
30000	26709	1192256	0	668	0
30133	26874	1192512	0	668	0
30281	27046	1193024	0	668	0
30417	27204	1193408	0	668	0
30550	27369	1193728	0	668	0
30682	27533	1194048	0	668	0
30814	27697	1194304	0	668	0
30946	27861	1194432	0	668	0
