[一号boss:系筠]
x	y	z	stay	mapid	action
23322	1026	1329856	0	693	0
23111	1025	1329792	0	693	0
22901	1040	1329856	0	693	0
22691	1060	1330048	0	693	0
22484	1080	1330240	0	693	0
22274	1100	1330432	0	693	0
22064	1120	1330624	0	693	0
21854	1153	1330880	0	693	0
21653	1218	1331200	0	693	0
21463	1302	1331520	0	693	0
21284	1415	1331776	0	693	0
21136	1565	1331904	0	693	0
21004	1731	1331968	0	693	0
20894	1911	1332160	0	693	0
20825	2111	1332160	0	693	0
20783	2320	1332096	0	693	0
20775	2535	1332160	0	693	0
20783	2745	1332160	0	693	0
20793	2950	1332096	0	693	0
20803	3160	1332096	0	693	0
20813	3366	1332288	0	693	0
20823	3572	1332544	0	693	0
20833	3782	1332736	0	693	0
20843	3985	1332992	0	693	0
20850	4192	1333248	0	693	0
20830	4402	1333248	0	693	0
20782	4612	1333312	0	693	0
20705	4808	1333312	0	693	0
20595	4991	1333312	0	693	0
20467	5162	1333312	0	693	0
20301	5287	1333312	0	693	0
20131	5414	1333312	0	693	0
19954	5536	1333312	0	693	0
19766	5634	1333312	0	693	0
19566	5700	1333312	0	693	0
19359	5752	1333312	0	693	0
19149	5788	1333312	0	693	0
18939	5818	1333312	0	693	0
18729	5848	1333312	0	693	0
18519	5878	1333312	0	693	0
Sleep=10
Fight=1
Sleep=10
[二号boss:米珊]
x	y	z	stay	mapid	action
18519	5878	1333312	0	693	0
18489	6088	1333312	0	693	0
18457	6298	1333312	0	693	0
18404	6508	1333312	0	693	0
18344	6717	1333312	0	693	0
18278	6917	1333312	0	693	0
18208	7117	1333312	0	693	0
18131	7317	1333312	0	693	0
18051	7517	1333312	0	693	0
17945	7701	1333568	0	693	0
17802	7854	1333824	0	693	0
17643	7995	1334016	0	693	0
17480	8132	1334080	0	693	0
17308	8253	1334144	0	693	0
17128	8363	1334656	0	693	0
16939	8462	1335232	0	693	0
16757	8554	1335680	0	693	0
16567	8650	1335872	0	693	0
16377	8740	1336000	0	693	0
16187	8830	1336128	0	693	0
15997	8920	1336320	0	693	0
15807	9010	1336448	0	693	0
15617	9100	1336576	0	693	0
15427	9190	1336832	0	693	0
15238	9279	1337216	0	693	0
15048	9369	1337664	0	693	0
14858	9462	1337728	0	693	0
14671	9565	1337792	0	693	0
14491	9675	1337856	0	693	0
14313	9795	1337920	0	693	0
14143	9925	1338112	0	693	0
13973	10055	1338432	0	693	0
13806	10182	1339136	0	693	0
13644	10307	1339904	0	693	0
13475	10436	1339968	0	693	0
13308	10569	1339968	0	693	0
13148	10709	1339904	0	693	0
13011	10868	1339904	0	693	0
12891	11038	1339904	0	693	0
12771	11208	1339904	0	693	0
12651	11378	1339904	0	693	0
12539	11558	1339904	0	693	0
12429	11738	1339904	0	693	0
12418	11756	1339904	0	693	0
Fight=1
Sleep=10
[三号boss:香雨]
x	y	z	stay	mapid	action
12418	11756	1339904	0	693	0
12366	11960	1339904	0	693	0
12346	12170	1339904	0	693	0
12326	12380	1339904	0	693	0
12317	12590	1339904	0	693	0
12317	12807	1339904	0	693	0
12317	13017	1339904	0	693	0
12317	13227	1339968	0	693	0
12320	13437	1340032	0	693	0
12330	13647	1340096	0	693	0
12340	13857	1339968	0	693	0
12354	14066	1339904	0	693	0
12374	14274	1339648	0	693	0
12394	14484	1339328	0	693	0
12414	14693	1339008	0	693	0
12434	14903	1338944	0	693	0
12455	15113	1338624	0	693	0
12491	15323	1338368	0	693	0
12536	15533	1338304	0	693	0
12598	15736	1338304	0	693	0
12668	15936	1338304	0	693	0
12754	16130	1338304	0	693	0
12850	16320	1338240	0	693	0
12950	16510	1338240	0	693	0
13058	16692	1338176	0	693	0
13168	16869	1338624	0	693	0
13278	17045	1339072	0	693	0
13404	17209	1339840	0	693	0
13542	17358	1340608	0	693	0
13700	17501	1341568	0	693	0
13853	17634	1342336	0	693	0
14021	17763	1342656	0	693	0
14201	17883	1342848	0	693	0
14381	18003	1342976	0	693	0
14565	18112	1343168	0	693	0
14763	18189	1343296	0	693	0
14963	18259	1343360	0	693	0
15163	18329	1343424	0	693	0
15363	18399	1343488	0	693	0
15563	18469	1343488	0	693	0
15752	18562	1343488	0	693	0
15932	18672	1343488	0	693	0
16131	18753	1343488	0	693	0
16331	18833	1343488	0	693	0
16502	18954	1343488	0	693	0
16616	19131	1343488	0	693	0
16665	19341	1343488	0	693	0
Fight=1
Sleep=10
[结束副本]
