CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(108,74088,64420,1070272)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd TurnTo(68);	10	调整面向
/cmd CustomRunMap.SetRunMapCount(4)	2	跑动3轮
/cmd CreateEmptyFile("perfeye_start")	20	开始采集
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
74166	65051	1070336	10	108	1
74185	65260	1070336	0	108	0
74207	65469	1070336	0	108	0
74229	65678	1070336	0	108	0
74251	65887	1070336	0	108	0
74276	66096	1070336	0	108	0
74309	66305	1070336	0	108	0
74342	66514	1070336	0	108	0
74380	66723	1070336	0	108	0
74424	66932	1070336	0	108	0
74477	67137	1070208	0	108	0
74543	67335	1070208	0	108	0
74600	67536	1070208	0	108	0
74654	67743	1070208	0	108	0
74738	67936	1070208	0	108	0
74837	68123	1070272	0	108	0
75000	68240	1070208	0	108	0
75037	68448	1070336	0	108	0
75041	68658	1070336	0	108	0
74923	68836	1070336	0	108	0
74855	69036	1070336	0	108	0
74767	69230	1070336	10	108	1
74586	69376	1070336	0	108	0
74773	69288	1070336	0	108	0
74951	69174	1070336	0	108	0
75122	69048	1070336	0	108	0
75298	68927	1070336	0	108	0
75474	68806	1070336	0	108	0
75638	68673	1070336	0	108	0
75782	68534	1070272	0	108	0
75931	68385	1070336	0	108	0
76061	68217	1070208	0	108	0
76070	68013	1070208	0	108	0
75927	67859	1070208	0	108	0
75716	67817	1070208	0	108	0
75507	67824	1070208	0	108	0
75298	67835	1070208	0	108	0
75089	67843	1070208	0	108	0
74880	67843	1070208	0	108	0
74671	67843	1070208	0	108	0
74462	67843	1070208	0	108	0
74253	67843	1070208	0	108	0
74044	67843	1070208	0	108	0
73835	67843	1070208	0	108	0
73626	67843	1070208	0	108	0
73417	67843	1070528	0	108	0
73208	67854	1070464	0	108	0
72999	67865	1070464	0	108	0
72790	67875	1070464	0	108	0
72581	67875	1071104	0	108	0
72372	67875	1071040	0	108	0
72163	67875	1071104	0	108	0
71954	67878	1071872	0	108	0
71745	67823	1072512	0	108	0
71536	67781	1072384	0	108	0
71327	67777	1072384	10	108	1
71232	67777	1072384	0	108	0
71023	67777	1072384	0	108	0
