[一号boss:巴图仁钦]
x	y	z	stay	mapid	action
33872	9847	1614784	0	723	0
33658	9847	1615360	0	723	0
33443	9847	1615808	0	723	0
33228	9847	1616320	0	723	0
33021	9850	1616704	0	723	0
32812	9861	1617024	0	723	0
32603	9872	1617344	0	723	0
32394	9891	1617664	0	723	0
32187	9918	1618048	0	723	0
31980	9951	1618304	0	723	0
31771	9984	1618624	0	723	0
31562	10017	1618752	0	723	0
31353	10050	1618944	0	723	0
31148	10083	1619136	0	723	0
30947	10116	1619264	0	723	0
30746	10149	1619648	0	723	0
30545	10182	1619904	0	723	0
30345	10204	1620224	0	723	0
30133	10208	1620352	0	723	0
29922	10208	1620416	0	723	0
29713	10208	1620544	0	723	0
29504	10208	1620672	0	723	0
29295	10208	1620736	0	723	0
29086	10203	1620608	0	723	0
28877	10192	1620480	0	723	0
28668	10171	1620416	0	723	0
28459	10149	1620416	0	723	0
28250	10127	1620416	0	723	0
28041	10105	1620416	0	723	0
27832	10083	1620416	0	723	0
27660	10067	1620416	0	723	0
Btn=PlayerAuto.AddBuff()
Btn=PlayerAuto.SetbCoordinate(27636,10025,1632064)
Btn=RobotControl.CMD("TeleportRobot")
Sleep=30
Fight=1
[二号boss:竭勒]
x	y	z	stay	mapid	action
27626	10052	1620416	0	723	0
27830	10084	1620416	0	723	0
28034	10116	1620416	0	723	0
28238	10138	1620416	0	723	0
28442	10158	1620416	0	723	0
28646	10178	1620416	0	723	0
28850	10198	1620480	0	723	0
29054	10216	1620544	0	723	0
29258	10228	1620736	0	723	0
29462	10240	1620736	0	723	0
29666	10252	1620608	0	723	0
29870	10264	1620480	0	723	0
30074	10279	1620352	0	723	0
30331	10281	1620224	0	723	0
30531	10300	1619904	0	723	0
30731	10340	1619584	0	723	0
30925	10409	1619264	0	723	0
31157	10495	1618816	0	723	0
31339	10582	1618432	0	723	0
31513	10689	1618048	0	723	0
31668	10816	1617600	0	723	0
31797	10969	1617152	0	723	0
31947	11172	1616448	0	723	0
32054	11344	1615936	0	723	0
32172	11558	1615104	0	723	0
32286	11776	1614272	0	723	0
32393	12000	1613568	0	723	0
32498	12225	1612864	0	723	0
32603	12450	1612096	0	723	0
32701	12675	1611392	0	723	0
32785	12896	1610496	0	723	0
32869	13123	1609728	0	723	0
32932	13313	1609280	0	723	0
32996	13550	1608832	0	723	0
33060	13787	1608576	0	723	0
33112	13985	1608640	0	723	0
33177	14227	1608576	0	723	0
33237	14427	1608512	0	723	0
33307	14667	1608384	0	723	0
33364	14861	1608192	0	723	0
33425	15055	1608000	0	723	0
33505	15247	1607744	0	723	0
33587	15435	1607616	0	723	0
33669	15623	1607552	0	723	0
33748	15813	1607360	0	723	0
33807	16006	1607168	0	723	0
33846	16208	1606976	0	723	0
33879	16406	1606784	0	723	0
33902	16606	1606528	0	723	0
33924	16855	1606208	0	723	0
33926	17061	1605952	0	723	0
33918	17265	1605696	0	723	0
33904	17467	1605440	0	723	0
33859	17670	1605184	0	723	0
33781	17862	1605120	0	723	0
33700	18052	1605120	0	723	0
33608	18234	1605376	0	723	0
33511	18411	1605376	0	723	0
33401	18588	1605312	0	723	0
33292	18761	1604992	0	723	0
33180	18937	1604864	0	723	0
33068	19112	1604736	0	723	0
32950	19284	1604736	0	723	0
32827	19450	1604736	0	723	0
32705	19610	1604736	0	723	0
32534	19791	1604864	0	723	0
32392	19932	1604736	0	723	0
32239	20065	1604736	0	723	0
32077	20189	1604736	0	723	0
31902	20298	1604672	0	723	0
31711	20378	1604800	0	723	0
31501	20389	1604992	0	723	0
31289	20389	1605120	0	723	0
31077	20389	1605120	0	723	0
30871	20393	1605120	0	723	0
30667	20403	1605184	0	723	0
30464	20441	1605184	0	723	0
30278	20527	1605248	0	723	0
30114	20652	1605248	0	723	0
29954	20784	1605184	0	723	0
29801	20922	1604928	0	723	0
29657	21066	1604672	0	723	0
29513	21210	1604480	0	723	0
29336	21387	1604480	0	723	0
29193	21530	1604416	0	723	0
29016	21707	1604160	0	723	0
28872	21851	1604160	0	723	0
28728	21995	1603968	0	723	0
28584	22139	1603904	0	723	0
28440	22289	1603968	0	723	0
28298	22437	1604032	0	723	0
28155	22587	1603904	0	723	0
28011	22739	1603904	0	723	0
27867	22891	1604032	0	723	0
27723	23043	1604160	0	723	0
27579	23195	1604096	0	723	0
27435	23347	1604032	0	723	0
27291	23499	1604032	0	723	0
27147	23651	1603968	0	723	0
27003	23803	1603968	0	723	0
26859	23955	1603968	0	723	0
26715	24107	1604032	0	723	0
26571	24259	1604096	0	723	0
26433	24415	1604096	0	723	0
26307	24578	1604160	0	723	0
26183	24742	1604096	0	723	0
26063	24914	1603904	0	723	0
25943	25086	1603776	0	723	0
25823	25258	1603648	0	723	0
25703	25430	1603584	0	723	0
25583	25602	1603520	0	723	0
25449	25758	1603456	0	723	0
25298	25898	1603264	0	723	0
25140	26030	1603072	0	723	0
24980	26162	1602880	0	723	0
24820	26294	1602752	0	723	0
24658	26422	1602624	0	723	0
24494	26546	1602560	0	723	0
24330	26670	1602624	0	723	0
24166	26794	1602624	0	723	0
24002	26918	1602624	0	723	0
23838	27042	1602624	0	723	0
23674	27166	1602624	0	723	0
23510	27290	1602624	0	723	0
23346	27414	1602624	0	723	0
23188	27544	1602624	0	723	0
23032	27676	1602624	0	723	0
22876	27808	1602624	0	723	0
22720	27940	1602624	0	723	0
22564	28072	1602624	0	723	0
22702	27910	1602624	0	723	0
22846	27758	1602624	0	723	0
23071	27649	1602624	0	723	0
23122	27638	1602624	0	723	0
Btn=PlayerAuto.AddBuff()
Btn=RobotControl.CMD("TeleportRobot")
FlowGM=player.GetScene().SetProgress(1,true);
Sleep=60
Fight=1
[三号boss:图南子]
x	y	z	stay	mapid	action
23185	27656	1602624	0	723	0
23185	27656	1602624	0	723	0
23185	27656	1602624	0	723	0
Sleep=10
FlowGM=player.GetScene().SetProgress(1,true);player.GetScene().SetProgress(2,true);
FlowGM=player.GetScene().SetCustomBoolean(2,true);
Sleep=30
Btn=PlayerAuto.AddBuff()
Btn=RobotControl.CMD("TeleportRobot")
Btn=PlayerAuto.SetbCoordinate(22788,11961,1544640)
Sleep=20
Fight=1
[四号boss:叶葵]
x	y	z	stay	mapid	action
24001	28132	1602624	0	723	0
24085	28316	1602624	0	723	0
24169	28500	1602560	0	723	0
24266	28682	1602560	0	723	0
24372	28861	1602560	0	723	0
24480	29039	1602512	0	723	0
24584	29219	1602368	0	723	0
24686	29399	1602304	0	723	0
24786	29579	1602304	0	723	0
24886	29759	1602304	0	723	0
24986	29939	1602256	0	723	0
25093	30135	1602196	0	723	0
25182	30318	1602196	0	723	0
25270	30530	1602180	0	723	0
25323	30726	1601952	0	723	0
25373	30926	1602304	0	723	0
25424	31127	1602560	0	723	0
25438	31331	1602880	0	723	0
25430	31535	1602880	0	723	0
25393	31736	1602944	0	723	0
25293	31917	1603072	0	723	0
25176	32088	1603072	0	723	0
25036	32240	1603072	0	723	0
24900	32394	1603008	0	723	0
24773	32557	1603136	0	723	0
24653	32729	1603200	0	723	0
24535	32901	1603392	0	723	0
24423	33077	1603520	0	723	0
24311	33253	1603648	0	723	0
24199	33429	1603776	0	723	0
24087	33605	1603904	0	723	0
23975	33781	1603968	0	723	0
23863	33957	1603968	0	723	0
23756	34135	1604032	0	723	0
23661	34317	1604288	0	723	0
23570	34547	1604800	0	723	0
23560	34791	1605312	20	723	1
23600	34988	1605504	0	723	0
23660	35188	1605504	0	723	0
23753	35371	1605632	0	723	0
23883	35532	1605760	0	723	0
24025	35683	1605888	0	723	0
24186	35811	1606144	0	723	0
24349	35937	1606336	0	723	0
24471	36105	1606528	0	723	0
24575	36285	1606720	0	723	0
24676	36458	1606720	0	723	0
24783	36632	1606976	0	723	0
24918	36837	1607424	0	723	0
25028	37005	1607872	0	723	0
25137	37178	1608256	0	723	0
25247	37352	1608832	0	723	0
25359	37528	1609280	0	723	0
25471	37704	1609536	0	723	0
25583	37876	1609856	0	723	0
25696	38046	1610112	0	723	0
25818	38211	1610560	0	723	0
25942	38375	1610944	0	723	0
26092	38575	1611584	0	723	0
26215	38738	1612096	0	723	0
26338	38900	1612544	0	723	0
26479	39107	1613248	0	723	0
26612	39319	1613952	0	723	0
26656	39515	1614464	0	723	0
26738	39742	1615104	0	723	0
26870	39895	1615552	0	723	0
27064	39956	1615872	0	723	0
