CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(795,32077,14479,1127296)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.AddBuff(player.dwID,player.nLevel,3994,1,3600)	5	加隐身
/cmd SetCameraStatus(1083,1,2.2,-0.1369)	5	加隐身
/gm local scene = player.GetScene();local doodadSM = scene.GetDoodadByNickName("LFXC_DM_ENTER");if doodadSM then doodadSM.OpenDoor() end	10	开门
/cmd CreateEmptyFile("perfeye_start")	20	开始采集
/cmd CreateEmptyFile("CustomRunMap_start")	2	开启跑图
x	y	z	stay	mapid	action
32898	13161	1127296	0	795	0
32898	13377	1127296	0	795	0
32898	13593	1127296	0	795	0
32898	13809	1127360	0	795	0
32898	14025	1127296	0	795	0
32898	14241	1127296	0	795	0
32898	14457	1127296	0	795	0
32898	14673	1127296	0	795	0
32898	14889	1127296	0	795	0
32898	15105	1127296	0	795	0
32898	15321	1127360	0	795	0
32898	15537	1127296	0	795	0
32898	15753	1127360	0	795	0
32898	15969	1127296	0	795	0
32898	16185	1127296	0	795	0
32898	16401	1127296	0	795	0
32898	16617	1127296	0	795	0
32898	16833	1127360	0	795	0
32898	17049	1127296	0	795	0
32898	17265	1127360	0	795	0
32898	17481	1127424	0	795	0
32898	17697	1127424	0	795	0
32898	17913	1127424	0	795	0
32898	18129	1127424	0	795	0
32898	18345	1127360	0	795	0
32898	18561	1127360	0	795	0
32898	18777	1127360	0	795	0
32898	18993	1127360	0	795	0
32898	19209	1127360	0	795	0
32898	19425	1127360	0	795	0
32898	19641	1127424	0	795	0
32898	19857	1127360	0	795	0
32898	20073	1127424	0	795	0
32898	20289	1127360	0	795	0
32898	20505	1127424	0	795	0
32898	20721	1127360	0	795	0
32898	20937	1127360	0	795	0
32898	21153	1127360	0	795	0
32898	21369	1127360	0	795	0
32898	21585	1127360	0	795	0
32898	21801	1127360	0	795	0
32898	22017	1127424	0	795	0
32898	22233	1127360	0	795	0
32898	22449	1127424	0	795	0
32898	22665	1127232	0	795	0
32898	22881	1127232	0	795	0
32898	23097	1127232	0	795	0
32898	23313	1127232	0	795	0
32898	23529	1127232	0	795	0
32898	23745	1127232	0	795	0
32898	23961	1127232	0	795	0
32898	24177	1127232	0	795	0
32898	24393	1127232	0	795	0
32898	24609	1127232	0	795	0
32898	24825	1127232	0	795	0
32779	25002	1127232	0	795	0
32627	25154	1127232	0	795	0
32475	25306	1127232	0	795	0
32330	25467	1127232	0	795	0
32321	25683	1127232	0	795	0
32321	25899	1127232	0	795	0
32321	26115	1127232	0	795	0
32276	26320	1127232	0	795	0
32245	26529	1127232	0	795	0
32275	25381	1580224	0	795	0
32275	25620	1580224	0	795	0
32281	25836	1580224	0	795	0
32289	26052	1580224	0	795	0
32297	26268	1580288	0	795	0
32377	26464	1580288	0	795	0
32582	26508	1580288	0	795	0
32777	26579	1580224	0	795	0
33005	26579	1580224	0	795	0
33229	26579	1580288	0	795	0
33453	26579	1580224	0	795	0
33667	26579	1579520	0	795	0
33891	26579	1578624	0	795	0
34115	26579	1577856	0	795	0
34339	26579	1577600	0	795	0
34563	26579	1577600	0	795	0
34787	26579	1577664	0	795	0
35011	26579	1576768	0	795	0
35225	26579	1576128	0	795	0
35449	26579	1575296	0	795	0
35673	26579	1574336	0	795	0
35897	26579	1573504	0	795	0
36121	26579	1573568	0	795	0
36345	26579	1573504	0	795	0
36554	26579	1573568	0	795	0
36767	26613	1573568	0	795	0
36973	26677	1573568	0	795	0
37177	26753	1573504	0	795	0
37374	26845	1573504	0	795	0
37540	26983	1573568	0	795	0
37597	27190	1573568	0	795	0
37577	27406	1573568	0	795	0
37572	27624	1573504	0	795	0
37583	27840	1573568	0	795	0
37595	28056	1573504	0	795	0
37607	28272	1573568	0	795	0
37619	28488	1573568	0	795	0
37631	28702	1573568	0	795	0
37643	28918	1573568	0	795	0
37655	29134	1573568	0	795	0
37656	29352	1573568	0	795	0
37676	29568	1573568	0	795	0
37739	29774	1573504	0	795	0
37757	29988	1573568	0	795	0
37765	30204	1573568	0	795	0
37765	30422	1573632	0	795	0
37765	30646	1573568	0	795	0
37765	30870	1573504	0	795	0
37765	31094	1573568	0	795	0
37765	31318	1573568	0	795	0
37765	31542	1573568	0	795	0
37765	31766	1573568	0	795	0
37765	31990	1573568	0	795	0
37765	32214	1573568	0	795	0
37765	32438	1573568	0	795	0
37765	32662	1573504	0	795	0
37765	32886	1573568	0	795	0
37765	33110	1573504	0	795	0
37765	33334	1573568	0	795	0
37765	33558	1573504	0	795	0
37765	33782	1573568	0	795	0
37765	34006	1573504	0	795	0
37765	34228	1573568	0	795	0
37765	34452	1573568	0	795	0
37765	34676	1573568	0	795	0
37765	34900	1573568	0	795	0
37765	35124	1573568	0	795	0
37765	35348	1573568	0	795	0
37765	35572	1573504	0	795	0
37765	35796	1573568	0	795	0
37765	36020	1573568	0	795	0
37765	36240	1573568	0	795	0
37765	36464	1573568	0	795	0
37765	36688	1573568	0	795	0
37765	36906	1573568	0	795	0
37765	37122	1573568	0	795	0
37765	37338	1573632	0	795	0
37765	37554	1573632	0	795	0
37765	37770	1573568	0	795	0
38227	39135	1573376	0	795	0
38447	39135	1573376	0	795	0
38663	39126	1573440	0	795	0
38879	39114	1573440	0	795	0
39095	39111	1573440	0	795	0
39311	39137	1573440	0	795	0
39525	39184	1573440	0	795	0
39723	39277	1573440	0	795	0
39895	39411	1573440	0	795	0
40031	39583	1573440	0	795	0
40149	39767	1573440	0	795	0
40204	39977	1573312	0	795	0
40207	40193	1573440	0	795	0
40190	40409	1573312	0	795	0
40115	40614	1573312	0	795	0
40033	40816	1573312	0	795	0
39914	40999	1573312	0	795	0
39764	41159	1573312	0	795	0
39588	41285	1573312	0	795	0
39384	41361	1573312	0	795	0
39170	41387	1573312	0	795	0
38958	41334	1573312	0	795	0
38763	41237	1573312	0	795	0
38575	41121	1573312	0	795	0
38448	40947	1573312	0	795	0
38401	40732	1573312	0	795	0
38394	40516	1573312	0	795	0
