[一号boss:甄三笔]
x	y	z	stay	mapid	action
23793	3870	1082496	0	685	0
23676	4044	1082368	0	685	0
23572	4230	1082112	0	685	0
23476	4419	1081728	0	685	0
23388	4616	1081472	0	685	0
23307	4815	1081408	0	685	0
23268	5024	1081472	0	685	0
23258	5233	1081472	0	685	0
23279	5442	1081792	0	685	0
23345	5632	1082112	0	685	0
23424	5821	1082560	0	685	0
23508	6012	1082944	0	685	0
23581	6205	1083328	0	685	0
23640	6410	1083584	0	685	0
23693	6612	1084032	0	685	0
23745	6823	1084736	0	685	0
23800	7028	1084800	0	685	0
23859	7234	1084800	0	685	0
23936	7432	1084800	0	685	0
24023	7625	1084800	0	685	0
24127	7811	1084800	0	685	0
24237	7987	1084800	0	685	0
24347	8163	1084800	0	685	0
24457	8339	1084800	0	685	0
24477	8371	1084800	0	685	0
Sleep=10
Fight=1
Sleep=10
[二号boss:思结日]
x	y	z	stay	mapid	action
24508	8383	1084800	0	685	0
24457	8592	1084800	0	685	0
24390	8794	1084800	0	685	0
24302	8981	1084800	0	685	0
24214	9168	1084800	0	685	0
24126	9355	1084800	0	685	0
24038	9543	1084800	0	685	0
23974	9743	1084800	0	685	0
23953	9952	1084672	0	685	0
23953	10162	1084736	0	685	0
23955	10371	1084928	0	685	0
24002	10574	1085376	0	685	0
24073	10766	1085952	0	685	0
24148	10968	1086848	0	685	0
24253	11158	1087808	0	685	0
24372	11332	1087936	0	685	0
24492	11507	1088000	0	685	0
24620	11672	1088448	0	685	0
24770	11811	1089024	0	685	0
24918	11946	1089408	0	685	0
25066	12088	1089856	0	685	0
25207	12246	1090240	0	685	0
25302	12423	1090688	0	685	0
25400	12602	1091200	0	685	0
25500	12795	1091776	0	685	0
25570	12989	1092480	0	685	0
25590	13190	1092864	0	685	0
25590	13391	1093184	0	685	0
25587	13595	1093376	0	685	0
25565	13804	1093440	0	685	0
25543	14013	1093632	0	685	0
25515	14222	1093888	0	685	0
25482	14428	1094144	0	685	0
25422	14629	1094528	0	685	0
25335	14826	1094656	0	685	0
25249	15022	1094720	0	685	0
25163	15218	1094912	0	685	0
