[路人处接任务]
x	y	z	stay	mapid	action
65489	102718	1066752	0	718	0
65511	102509	1066752	0	718	0
65547	102300	1066752	0	718	0
65607	102096	1066816	0	718	0
65673	101898	1066752	0	718	0
Dialogue=1
Sleep=10
[吴天乐接推车任务]
x	y	z	stay	mapid	action
65684	101862	1066752	0	718	0
65684	101653	1066752	0	718	0
65689	101444	1066880	0	718	0
65703	101236	1066752	0	718	0
65725	101027	1066688	0	718	0
65747	100818	1066816	0	718	0
65762	100609	1066816	0	718	0
65775	100400	1066880	0	718	0
65797	100192	1066944	0	718	0
65819	99985	1067008	0	718	0
65845	99776	1067200	0	718	0
65917	99577	1067392	0	718	0
65983	99379	1067520	0	718	0
66044	99181	1067904	0	718	0
66102	98983	1068288	0	718	0
66166	98789	1068736	0	718	0
Dialogue=1
Sleep=10
Dialogue=1
Sleep=10
[推车1]
x	y	z	stay	mapid	action
66127	98877	1068608	0	718	0
66209	98689	1068992	0	718	0
66297	98499	1069376	0	718	0
66318	98460	1069504	0	718	0
Dialogue=1
Sleep=10
[推车2]
x	y	z	stay	mapid	action
66260	98529	1069312	0	718	0
66349	98345	1069696	0	718	0
66448	98165	1070144	0	718	0
66507	98110	1070272	0	718	0
Dialogue=1
Sleep=15
[却月楼]
x	y	z	stay	mapid	action
66436	98193	1070080	0	718	0
66573	98039	1070336	0	718	0
66710	97885	1070656	0	718	0
66853	97731	1070848	0	718	0
66996	97577	1070912	0	718	0
67139	97423	1070912	0	718	0
67282	97269	1071040	0	718	0
67425	97115	1071104	0	718	0
67529	96990	1071040	0	718	0
Dialogue=1
Sleep=20
[逛街市]
x	y	z	stay	mapid	action
67568	96961	1071040	0	718	0
67711	96807	1070976	0	718	0
67854	96653	1070976	0	718	0
68005	96504	1070976	0	718	0
68168	96369	1070784	0	718	0
68333	96237	1070336	0	718	0
68498	96105	1069952	0	718	0
68663	95973	1069504	0	718	0
68827	95842	1069120	0	718	0
68987	95699	1068544	0	718	0
69123	95537	1068096	0	718	0
69217	95347	1067648	0	718	0
69335	95139	1067584	0	718	0
Dialogue=1
Sleep=20
[逛街市交任务]
x	y	z	stay	mapid	action
69335	95139	1067584	0	718	0
69217	95347	1067648	0	718	0
69123	95537	1068096	0	718	0
68987	95699	1068544	0	718	0
68827	95842	1069120	0	718	0
68663	95973	1069504	0	718	0
68498	96105	1069952	0	718	0
68663	95973	1069504	0	718	0
68827	95842	1069120	0	718	0
68987	95699	1068544	0	718	0
69123	95537	1068096	0	718	0
69217	95347	1067648	0	718	0
69335	95139	1067584	0	718	0
Dialogue=1
Sleep=10
[截月楼]
x	y	z	stay	mapid	action
69290	95167	1067648	0	718	0
69400	94991	1067584	0	718	0
69510	94811	1067584	0	718	0
69617	94627	1067456	0	718	0
69725	94453	1067008	0	718	0
69883	94310	1066944	0	718	0
70048	94178	1066944	0	718	0
70143	94163	1066944	0	718	0
Dialogue=1
[味百食]
x	y	z	stay	mapid	action
70078	94154	1066944	0	718	0
70153	94348	1067264	0	718	0
70214	94550	1067264	0	718	0
70181	94577	1067264	0	718	0
Dialogue=1
[味百食交任务]
x	y	z	stay	mapid	action
70214	94550	1067264	0	718	0
70353	94404	1067264	0	718	0
70255	94215	1067200	0	718	0
70061	94147	1066944	0	718	0
70029	94123	1066944	0	718	0
Dialogue=1
Sleep=120
[大善人]
x	y	z	stay	mapid	action
70029	94157	1066944	0	718	0
70205	94047	1066944	0	718	0
70381	93937	1066944	0	718	0
70560	93831	1066944	0	718	0
70758	93761	1066944	0	718	0
70956	93695	1066944	0	718	0
71150	93629	1066496	0	718	0
71352	93580	1066048	0	718	0
71553	93575	1065536	0	718	0
71770	93575	1065024	0	718	0
71972	93576	1064448	0	718	0
72187	93601	1064000	0	718	0
72411	93649	1063680	0	718	0
72620	93693	1063744	0	718	0
72829	93746	1063680	0	718	0
73103	93807	1063744	0	718	0
Sleep=15
Dialogue=1
Sleep=10
[惊游神]
x	y	z	stay	mapid	action
73019	93796	1063680	0	718	0
73218	93861	1063744	0	718	0
73424	93919	1063744	0	718	0
73633	93967	1063808	0	718	0
73842	94004	1063808	0	718	0
74053	94015	1063808	0	718	0
74256	93965	1063872	0	718	0
74465	93910	1063808	0	718	0
74674	93855	1063808	0	718	0
74878	93792	1063808	0	718	0
74885	93590	1063936	0	718	0
74798	93399	1063872	0	718	0
74699	93280	1063872	0	718	0
Dialogue=1
[落座茶]
x	y	z	stay	mapid	action
74774	93327	1063872	0	718	0
74961	93239	1063872	0	718	0
75157	93160	1063936	0	718	0
74914	93140	1064128	0	718	0
Sleep=5
Dialogue=1
Sleep=5
Dialogue=1
Sleep=50
