[一号boss:阿里曼幻身]
x	y	z	stay	mapid	action
59516	6784	1053248	0	720	0
59418	6970	1053120	0	720	0
59319	7157	1052992	0	720	0
59220	7344	1052928	0	720	0
59121	7531	1052864	0	720	0
59025	7715	1052544	0	720	0
58926	7902	1052288	0	720	0
58832	8084	1051712	0	720	0
58737	8266	1051264	0	720	0
58640	8451	1050880	0	720	0
58543	8636	1050624	0	720	0
58446	8821	1050368	0	720	0
58349	9006	1050112	0	720	0
58250	9193	1049792	0	720	0
58151	9380	1049664	0	720	0
58037	9597	1049600	0	720	0
57942	9780	1049664	0	720	0
57843	9967	1049472	0	720	0
57746	10152	1049536	0	720	0
57649	10345	1049728	0	720	0
57551	10536	1050048	0	720	0
57457	10716	1050368	0	720	0
57357	10909	1050624	0	720	0
57258	11103	1050560	0	720	0
57161	11292	1050240	0	720	0
57064	11479	1049856	0	720	0
56967	11664	1049536	0	720	0
56868	11854	1049408	0	720	0
56772	12044	1049344	0	720	0
56676	12226	1049536	0	720	0
56579	12408	1049792	0	720	0
56478	12600	1050240	0	720	0
56383	12779	1050560	0	720	0
56282	12971	1050816	0	720	0
56188	13149	1050944	0	720	0
56093	13328	1051008	0	720	0
55999	13506	1051200	0	720	0
55898	13698	1051456	0	720	0
55799	13888	1051968	0	720	0
55699	14079	1052352	0	720	0
55603	14260	1052608	0	720	0
55511	14438	1052800	0	720	0
55416	14620	1052800	0	720	0
55323	14801	1052416	0	720	0
55218	15002	1051968	0	720	0
55123	15185	1051648	0	720	0
55026	15370	1051264	0	720	0
54927	15557	1050944	0	720	0
54829	15743	1050688	0	720	0
54735	15925	1050560	0	720	0
54636	16112	1050432	0	720	0
54538	16298	1050368	0	720	0
54441	16483	1050304	0	720	0
54345	16667	1050240	0	720	0
54249	16851	1050048	0	720	0
54154	17034	1049792	0	720	0
54057	17219	1049536	0	720	0
53953	17419	1049280	0	720	0
53857	17603	1049088	0	720	0
53763	17785	1048960	0	720	0
53665	17971	1048960	0	720	0
53568	18156	1048960	0	720	0
53469	18343	1048896	0	720	0
53370	18530	1048960	0	720	0
53272	18715	1049088	0	720	0
53155	18890	1049280	0	720	0
53016	19049	1049600	0	720	0
52879	19203	1050176	0	720	0
52734	19364	1051072	0	720	0
52584	19521	1051712	0	720	0
52427	19658	1052352	0	720	0
52268	19793	1052416	0	720	0
52106	19933	1052544	0	720	0
51928	20089	1052608	0	720	0
51774	20232	1052672	0	720	0
51620	20375	1052672	0	720	0
51455	20518	1052672	0	720	0
51292	20661	1052672	0	720	0
51138	20804	1052672	0	720	0
50984	20947	1052672	0	720	0
50830	21090	1052672	0	720	0
50676	21233	1052672	0	720	0
Sleep=30
Fight=1
FlowGM=player.GetScene().SetProgress(1,true);
[二号boss:阿萨辛]
x	y	z	stay	mapid	action
49095	26030	1053568	0	720	0
49034	26232	1053568	0	720	0
48975	26428	1053568	0	720	0
48913	26621	1053504	0	720	0
48834	26833	1053568	0	720	0
48762	27025	1053312	0	720	0
48690	27217	1053312	0	720	0
48619	27407	1052928	0	720	0
48543	27604	1053056	0	720	0
48471	27797	1052864	0	720	0
48394	27995	1052608	0	720	0
48317	28193	1052544	0	720	0
48243	28388	1052288	0	720	0
48157	28579	1052160	0	720	0
48055	28761	1052096	0	720	0
47946	28946	1051904	0	720	0
47836	29133	1051904	0	720	0
47728	29318	1051712	0	720	0
47622	29501	1051264	0	720	0
47514	29686	1051072	0	720	0
47413	29862	1050624	0	720	0
47306	30046	1050176	0	720	0
47164	30207	1049856	0	720	0
46994	30337	1049664	0	720	0
46807	30447	1049600	0	720	0
46614	30544	1049600	0	720	0
46416	30621	1049600	0	720	0
46218	30687	1049664	0	720	0
46022	30763	1049728	0	720	0
45843	30876	1049728	0	720	0
45736	31056	1049664	0	720	0
45748	31265	1049536	0	720	0
45822	31464	1049408	0	720	0
45894	31657	1049088	0	720	0
45948	31861	1048896	0	720	0
45966	32069	1048512	0	720	0
45974	32274	1048128	0	720	0
45974	32475	1047680	0	720	0
45974	32693	1047040	0	720	0
45971	32901	1046272	0	720	0
45959	33113	1045696	0	720	0
51805	42947	233536	0	720	0
51590	42969	233664	0	720	0
51382	42936	233472	0	720	0
51173	42903	233472	0	720	0
50964	42870	233472	0	720	0
50755	42837	233472	0	720	0
50546	42804	233536	0	720	0
50344	42768	234112	0	720	0
50139	42733	234688	0	720	0
49930	42702	234752	0	720	0
49721	42680	235008	0	720	0
49512	42658	234944	0	720	0
49303	42636	234944	0	720	0
49094	42614	234944	0	720	0
48885	42592	234944	0	720	0
48676	42561	234944	0	720	0
48467	42534	234944	0	720	0
48258	42512	234944	0	720	0
48049	42490	234944	0	720	0
FlowGM=player.AddBuff(player.dwID,player.nLevel,18694,1,3600)
Fight=1
Sleep=20
[结束副本]
