CommandName	WaitTime	Description
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(108,3228,2135,1048576)	30	切换地图
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/cmd FrameMgr.SetFrameLimit(200)	10	设置200帧
/gm player.SetPosition(66676,67435,1072320)	10	设置坐标
/cmd TurnTo(36)	5	转动视角
/cmd TurnToFaceDirection()	5	正对视角
/cmd CreateEmptyFile("perfeye_start")	20	采集数据
/cmd CreateEmptyFile("Test")	300	采集数据
/cmd CreateEmptyFile("perfeye_stop")	20	结束采集
/cmd CreateEmptyFile("ExitGame")	2	结束游戏
