CommandName	WaitTime	Description
/gm player.Stop()	2	玩家停止
/cmd CreateEmptyFile("BeginRunMap")	20	开始跑图
/gm player.SwitchMap(488,108604, 50417, 1112512)	30	地图传送
/cmd QualityMgr.SetQualityByType(GameQualityType._video_)	5	设置画质
/cmd QualityMgr.SetQualityByType(GameQualityType._video1_)	10	切换原本画质
/gm player.AddBuff(0,99,377,1,7200)	1	无敌
/cmd SetCustomRunMapCount(2)	1	设置跑图圈数量
/cmd CreateEmptyFile("perfeye_start")	20	采集数据
x	y	z	stay	mapid	action
108604	50417	1112512	0	488	0
108842	50347	1112512	0	488	0
109080	50277	1112448	0	488	0
109318	50207	1112400	0	488	0
109556	50129	1112288	0	488	0
109794	50051	1112128	0	488	0
110032	49973	1112128	0	488	0
110270	49895	1112128	0	488	0
110508	49817	1112128	0	488	0
110746	49739	1112128	0	488	0
110984	49661	1112128	0	488	0
111222	49583	1112128	0	488	0
111326	49359	1112128	0	488	0
111430	49135	1112128	0	488	0
111534	48911	1112128	0	488	0
111638	48687	1112128	0	488	0
111742	48463	1112128	0	488	0
111846	48239	1112128	0	488	0
111950	48015	1112128	0	488	0
111950	47761	1112128	0	488	0
111950	47507	1112128	0	488	0
111950	47253	1112128	0	488	0
111950	46999	1112128	0	488	0
111950	46745	1112128	0	488	0
111950	46491	1112128	0	488	0
111950	46237	1112128	0	488	0
111950	45983	1112128	0	488	0
111950	45729	1112128	0	488	0
111808	45523	1112128	0	488	0
111666	45317	1112128	0	488	0
111516	45119	1112128	0	488	0
111366	44921	1112128	0	488	0
111216	44723	1112128	0	488	0
111066	44525	1112128	0	488	0
110916	44327	1112128	0	488	0
110678	44247	1112128	0	488	0
110440	44167	1112128	0	488	0
110202	44087	1112128	0	488	0
109964	44007	1112128	0	488	0
109726	43927	1112128	0	488	0
109488	43847	1112128	0	488	0
109246	43831	1112128	0	488	0
109000	43879	1112256	0	488	0
108757	43926	1112512	0	488	0
108511	43974	1112512	0	488	0
108265	44022	1112448	0	488	0
108037	43935	1112432	0	488	0
107807	43847	1112352	0	488	0
107577	43759	1112208	0	488	0
