[门派流程和万花弟子对话]
x	y	z	stay	mapid	action
40309	4418	1126400	0	7	0
40133	4528	1126656	0	7	0
40133	4528	1126656	0	7	0
Dialogue=1
[接引道士]
x	y	z	stay	mapid	action
40125	4604	1126720	0	7	0
40103	4813	1126976	0	7	0
40081	5022	1127296	0	7	0
40059	5231	1127616	0	7	0
40037	5436	1128000	0	7	0
40015	5640	1128384	0	7	0
40022	5857	1128768	0	7	0
39951	6057	1129280	0	7	0
39929	6257	1129664	0	7	0
39880	6456	1130368	0	7	0
39858	6665	1130880	0	7	0
39850	6741	1130880	0	7	0
Dialogue=1
Sleep=5
[紫虚真人]
x	y	z	stay	mapid	action
39850	6741	1130880	0	7	0
39872	6950	1130880	0	7	0
39894	7159	1130880	0	7	0
39916	7368	1130880	0	7	0
39938	7577	1130880	0	7	0
39960	7786	1130880	0	7	0
39982	7995	1130560	0	7	0
40004	8200	1129920	0	7	0
40093	8400	1129920	0	7	0
40163	8598	1129920	0	7	0
40205	8807	1129920	0	7	0
40230	9016	1129920	0	7	0
40252	9225	1129920	0	7	0
40274	9434	1129920	0	7	0
40290	9644	1129920	0	7	0
40290	9853	1130304	0	7	0
40290	10065	1131392	0	7	0
40290	10272	1132288	0	7	0
40290	10487	1133248	0	7	0
40290	10705	1134336	0	7	0
40290	10910	1135232	0	7	0
40290	11113	1136320	0	7	0
40290	11329	1136512	0	7	0
40290	11536	1136576	0	7	0
40290	11746	1136640	0	7	0
40290	11955	1136640	0	7	0
40290	12164	1136640	0	7	0
40290	12373	1136640	0	7	0
40290	12582	1136640	0	7	0
40290	12791	1136640	0	7	0
40290	13000	1136768	0	7	0
40290	13207	1136640	0	7	0
40290	13416	1136640	0	7	0
40290	13625	1136640	0	7	0
40290	13834	1136640	0	7	0
40081	13821	1136640	0	7	0
39874	13807	1137280	0	7	0
39672	13807	1138048	0	7	0
39463	13807	1138688	0	7	0
39254	13802	1138624	0	7	0
39045	13791	1138624	0	7	0
38829	13791	1138624	0	7	0
38613	13791	1138752	0	7	0
38623	13831	1138752	0	7	0
Dialogue=1
[蒲团参拜]
x	y	z	stay	mapid	action
38653	13833	1138752	0	7	0
38854	13852	1138624	0	7	0
39063	13852	1138624	0	7	0
38854	13901	1138624	0	7	0
38656	13983	1138688	0	7	0
Btn=Event.Dispatch(EventType.OnSceneInteractByHotkey,false)
Sleep=10
[与邓进对话]
x	y	z	stay	mapid	action
38510	14001	1138880	0	7	0
38719	14001	1138816	0	7	0
38582	13831	1138752	0	7	0
38623	13831	1138752	0	7	0
Dialogue=1
[前往水池]
x	y	z	stay	mapid	action
38565	13821	1138752	0	7	0
38432	13656	1138752	0	7	0
38271	13521	1138752	0	7	0
38061	13499	1138752	0	7	0
37852	13524	1138752	0	7	0
37643	13562	1138752	0	7	0
37450	13656	1138752	0	7	0
37263	13766	1138624	0	7	0
37069	13851	1138624	0	7	0
36857	13865	1138304	0	7	0
36654	13854	1137792	0	7	0
36447	13843	1136960	0	7	0
36238	13832	1136640	0	7	0
36088	13674	1136640	0	7	0
35978	13498	1136640	0	7	0
35883	13312	1136576	0	7	0
35803	13116	1136640	0	7	0
35705	12928	1136640	0	7	0
35607	12742	1136640	0	7	0
35466	12580	1136112	0	7	0
35204	12295	1135406	0	7	0
Btn=UINodeControl.BtnTrigger("BtnItemUse1")
[素天白对话]
x	y	z	stay	mapid	action
35406	12505	1135680	0	7	0
35508	12699	1136512	0	7	0
35620	12873	1136640	0	7	0
35763	13027	1136640	0	7	0
35907	13181	1136640	0	7	0
36053	13335	1136640	0	7	0
36131	13417	1136704	0	7	0
Dialogue=1
Sleep=30
[拜见李忘生]
x	y	z	stay	mapid	action
10245	11823	1172544	0	7	0
10042	11812	1173120	0	7	0
9835	11801	1173440	0	7	0
9626	11790	1173440	0	7	0
9417	11784	1173440	0	7	0
9208	11784	1173504	0	7	0
8999	11784	1173568	0	7	0
8790	11784	1173568	0	7	0
8581	11784	1173568	0	7	0
8372	11784	1173568	0	7	0
8201	11784	1173760	0	7	0
Dialogue=1
Dialogue=1
Btn=UINodeControl.BtnTrigger("BtnContent_1")
Sleep=5
Dialogue=1
[前往碑文]
x	y	z	stay	mapid	action
8201	11784	1173760	0	7	0
8410	11794	1173568	0	7	0
8620	11797	1173568	0	7	0
8829	11808	1173568	0	7	0
9038	11819	1173568	0	7	0
9247	11830	1173504	0	7	0
9456	11841	1173440	0	7	0
9665	11852	1173440	0	7	0
9874	11863	1173504	0	7	0
10077	11874	1172928	0	7	0
10280	11885	1172416	0	7	0
10484	11897	1171712	0	7	0
10693	11908	1171456	0	7	0
10902	11922	1171456	0	7	0
11013	12099	1171584	0	7	0
11119	12284	1171456	0	7	0
11282	12418	1171456	0	7	0
11458	12528	1171456	0	7	0
11644	12634	1171456	0	7	0
11845	12690	1171456	0	7	0
12050	12739	1171456	0	7	0
12248	12827	1171456	0	7	0
12446	12915	1171456	0	7	0
12653	12974	1171392	0	7	0
12862	13029	1171520	0	7	0
13071	13084	1171328	0	7	0
13280	13139	1171328	0	7	0
13489	13194	1171328	0	7	0
13698	13249	1171328	0	7	0
13907	13304	1171328	0	7	0
14116	13359	1171328	0	7	0
14325	13414	1171392	0	7	0
14363	13424	1171392	0	7	0
14362	13477	1171392	0	7	0
Sleep=3
Btn=Event.Dispatch(EventType.OnSceneInteractByHotkey,false)
Sleep=15
[操作]
Btn=UINodeControl.BtnTrigger("BtnCloseRight")
[寻找素天白]
x	y	z	stay	mapid	action
14363	13424	1171392	0	7	0
14161	13365	1171328	0	7	0
13952	13352	1171328	0	7	0
13749	13405	1171328	0	7	0
13602	13565	1171328	0	7	0
13485	13739	1171328	0	7	0
13395	13927	1171328	0	7	0
13370	14130	1171328	0	7	0
13434	14329	1171328	0	7	0
13539	14510	1171392	0	7	0
13658	14686	1171392	0	7	0
13779	14862	1171328	0	7	0
Dialogue=1
Dialogue=1
Dialogue=1
Dialogue=1
[与纯阳弟子切磋]
x	y	z	stay	mapid	action
13834	14942	1171328	0	7	0
13625	14942	1171456	0	7	0
13418	14942	1171584	0	7	0
13209	14942	1171648	0	7	0
13000	14942	1171584	0	7	0
12791	14942	1171584	0	7	0
12582	14942	1171584	0	7	0
12373	14942	1171584	0	7	0
12164	14942	1171584	0	7	0
Dialogue=1
Fight=1
[回复素天白]
x	y	z	stay	mapid	action
12069	14942	1171584	0	7	0
12278	14898	1171584	0	7	0
12487	14854	1171584	0	7	0
12696	14810	1171584	0	7	0
12905	14766	1171584	0	7	0
13108	14726	1171520	0	7	0
13316	14762	1171520	0	7	0
13525	14806	1171456	0	7	0
13734	14850	1171328	0	7	0
13884	14760	1171328	0	7	0
Dialogue=1
[天下三错]
x	y	z	stay	mapid	action
13884	14760	1171328	0	7	0
13895	14551	1171392	0	7	0
13906	14342	1171392	0	7	0
13917	14133	1171328	0	7	0
13928	13924	1171328	0	7	0
13939	13715	1171328	0	7	0
13950	13506	1171328	0	7	0
13961	13297	1171328	0	7	0
13972	13088	1171328	0	7	0
13983	12879	1171328	0	7	0
13994	12670	1171328	0	7	0
14005	12461	1171328	0	7	0
14028	12252	1171328	0	7	0
14117	12061	1171392	0	7	0
14291	11954	1171392	0	7	0
14491	11890	1171392	0	7	0
14700	11853	1171392	0	7	0
14909	11828	1171392	0	7	0
15118	11823	1171392	0	7	0
15327	11823	1171008	0	7	0
15528	11823	1169984	0	7	0
15740	11823	1169152	0	7	0
15941	11823	1168192	0	7	0
16142	11823	1167360	0	7	0
16345	11823	1166656	0	7	0
16555	11823	1165696	0	7	0
16762	11823	1165120	0	7	0
