[一号boss:邪廷恩]
x	y	z	stay	mapid	action
34645	4322	1269056	0	708	0
32763	4229	1269120	0	708	0
32752	5767	1269120	0	708	0
32763	4229	1269120	0	708	0
Sleep=20
Fight=1
[二号boss:许灵素]
x	y	z	stay	mapid	action
32680	17950	1267776	0	708	0
32680	18154	1267584	0	708	0
32684	18358	1267584	0	708	0
32692	18562	1267584	0	708	0
32700	18766	1267584	0	708	0
32708	18970	1267584	0	708	0
32716	19174	1267584	0	708	0
32724	19378	1267584	0	708	0
32732	19582	1267584	0	708	0
32740	19786	1267584	0	708	0
32744	19983	1267584	0	708	0
FlowGM=player.GetScene().SetProgress(1,true)
Sleep=40
Fight=1
[三号boss:候青]
x	y	z	stay	mapid	action
33391	26094	1265280	0	708	0
33391	26304	1265280	0	708	0
33384	26514	1265280	0	708	0
33332	26716	1265408	0	708	0
33284	26918	1265408	0	708	0
33229	27117	1265472	0	708	0
33079	27250	1265472	0	708	0
32875	27222	1265472	0	708	0
32875	27222	1265472	0	708	0
FlowGM=player.GetScene().SetProgress(1,true);player.GetScene().SetProgress(2,true);
Sleep=40
Fight=1
[四号boss:李系]
x	y	z	stay	mapid	action
32029	38886	1218368	0	708	0
32057	39090	1218432	0	708	0
32112	39291	1218112	0	708	0
32171	39489	1218048	0	708	0
32231	39689	1218048	0	708	0
32291	39889	1218048	0	708	0
32351	40089	1218048	0	708	0
32411	40289	1218048	0	708	0
32471	40489	1218048	0	708	0
32531	40689	1218048	0	708	0
32591	40889	1218048	0	708	0
32651	41089	1218048	0	708	0
32702	41292	1218048	0	708	0
FlowGM=player.GetScene().SetProgress(1,true);player.GetScene().SetProgress(2,true);player.GetScene().SetProgress(3,true);player.GetScene().GetNpcByNickName("BOSS_LXZK").SetCustomBoolean(50,true)
Sleep=30
Fight=1
[五号boss:年勒]
x	y	z	stay	mapid	action
30816	48946	1259264	0	708	0
30684	49106	1259264	0	708	0
30544	49257	1258816	0	708	0
30388	49389	1259008	0	708	0
30232	49521	1259008	0	708	0
30080	49658	1259008	0	708	0
29936	49802	1259008	0	708	0
29784	49946	1259008	0	708	0
29632	50090	1259008	0	708	0
29480	50234	1259008	0	708	0
FlowGM=player.GetScene().SetProgress(1,true);player.GetScene().SetProgress(2,true);player.GetScene().SetProgress(3,true);player.GetScene().SetProgress(4,true);player.AddBuff(player.dwID,player.nLevel,18694,1,3600)
Sleep=20
Fight=1
Sleep=10
[六号boss:薛琢玉]
x	y	z	stay	mapid	action
12563	45546	1257920	0	708	0
12767	45586	1257920	0	708	0
13277	45686	1257984	0	708	0
13481	45711	1257920	0	708	0
13685	45731	1258048	0	708	0
13889	45742	1257984	0	708	0
14093	45750	1257984	0	708	0
14297	45759	1257984	0	708	0
14501	45777	1257984	0	708	0
FlowGM=player.GetScene().SetProgress(1,true);player.GetScene().SetProgress(2,true);player.GetScene().SetProgress(3,true);player.GetScene().SetProgress(4,true);player.GetScene().SetProgress(5,true);player.AddBuff(player.dwID,player.nLevel,18694,1,3600)
Sleep=10
Fight=1
[结束副本]
